settlementDate,settlementPeriod,buyPricePriceAdjustment,netBuyPriceCostAdjustmentEnergy,netBuyPriceVolumeAdjustmentEnergy,netBuyPriceVolumeAdjustmentSystem,netSellPriceCostAdjustmentEnergy,netSellPriceVolumeAdjustmentEnergy,netSellPriceVolumeAdjustmentSystem,sellPricePriceAdjustment
2025-09-08,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
