MPAN_Code,DNO_Key,DNO_Name,Short_Code,GSP_Group_ID,Region,Year,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,Count
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2018,0.16,10.49,1.8972890682435875,1.4835,885
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2020,0.34,20.61,2.038019072634878,1.225,903
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2021,0.04,20.08,2.8355048887986056,1.63,755
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2022,0.0388799278328753,20.25,3.133048856972314,1.0,904
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2023,0.1116743494586706,15.25,2.5912699334628453,1.39,901
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2025,0.09,18.089,3.826508801195645,2.3805449605176054,993
16.0,ENWL,Electricity North West,NorthWest,G,"Manchester, Cumbria",2026,0.095,16.206,4.048827176385449,2.565,220
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2020,0.00871012488207,20.61,2.308625515638901,1.885,3411
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2021,0.0018797714734992,20.39,2.2829303266795393,1.014,3757
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2022,0.0003252766742631,28.97,2.9005669853097538,0.8,5413
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2023,1.60713650644582e-06,24.56,2.565454012119196,1.014,4691
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2024,9.652889774034356e-06,32.82,3.4880958356265137,1.0110304398377776,3038
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2025,0.001369807835453,26.88,3.7414347109579253,1.343,2916
20.0,NGED-SW,NGED – South West,SouthWest,L,"Cornwall, Devon, Somerset",2026,0.00239294303604,23.5,4.127816954950635,1.418,1226
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2017,0.001,13.417267245081256,0.7350604961264822,0.9183878257934922,206
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2019,0.001,1.846570665259241,0.6850599251091377,0.8774660188169773,205
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2023,0.001,47.63809861263129,6.063712012601029,1.0,1045
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2024,0.001,47.38413652681814,5.072248129510569,0.9140831899999996,1247
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2025,0.0019081144108,16.99,1.5041127539379138,1.0,878
15.0,NPg-NE,NPg – North East,NorthEast,F,"Newcastle, Durham",2026,0.00239294303604,18.03,1.6557228517098286,0.9772273707786927,266
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2014,0.142,6.86380183320103,1.8676557314937041,1.112,1029
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2015,0.126,6.80786043388864,1.9672287695861614,1.858,286
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2016,0.128,5.56,2.089161525054152,1.91442408919306,307
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2017,0.137,4.44,1.9006258952745716,1.8779826473121033,307
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2018,0.994,4.58,2.0769324738888053,1.843,298
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2019,0.11633541,4.37,1.8837248983699757,1.50272918,307
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2020,1.0,4.39,2.119415194574159,1.938,297
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2021,0.0653206373618923,11.813,3.720556066101698,1.7113617756557655,88
21.0,NPg-Y,NPg – Yorkshire,Yorkshire,M,"Leeds, Sheffield",2022,0.04598833,16.15,3.9980914549927533,0.98637451,80
