year_month,avg_offer_price_gbp_mwh,total_offer_volume_mw,avg_bid_price_gbp_mwh,total_bid_volume_mw
2023-01,257.6558662034962,-126918.0,-2425.664716494845,-126918.0
2023-02,251.28021577380943,266662.0,-2443.434899553572,266662.0
2023-03,230.16799563172052,548304.0,-2405.737476478494,548304.0
2023-04,183.0541718749999,1237142.0,-2437.780296875001,1237142.0
2023-05,140.8755253136202,677460.0,-2441.269346438172,677460.0
2023-06,150.29166628068552,1063042.0,-2432.7789561139425,1063042.0
2023-07,141.7583084939488,1748696.0,-2441.442048408785,1748696.0
2023-08,134.65435259856628,1176416.0,-2416.1053242607522,1176416.0
2023-09,142.38521122685202,185302.0,-2418.780871527776,185302.0
2023-10,159.37957493279583,849078.0,-2448.516069108423,849078.0
2023-11,168.02730324074088,-10570.0,-2396.9992806712958,-10570.0
2023-12,155.83410874439457,741024.0,-2410.7616373318388,741024.0
2024-01,132.2091745071684,-558760.0,-2397.3908058915763,-558760.0
2024-02,125.33938629641797,325049.0,-2474.824394511995,325049.0
2024-03,114.461846438172,1619454.0,-2442.663532146058,1619454.0
2024-04,107.1953709490741,3630066.0,-2494.105248842592,3630066.0
2024-05,116.38317652329746,2718741.0,-2463.826607302867,2718741.0
2024-06,132.05945254629623,2801061.0,-2472.5656979166683,2801061.0
2024-07,124.13155073924736,3159066.0,-2473.520101366487,3159066.0
2024-08,122.01549283154121,4082016.0,-2480.085475470432,4082016.0
2024-09,128.29614699074074,2431056.0,-2460.5146799768536,2431056.0
2024-10,134.82266189703498,2495563.0,-2434.7468159020505,2495563.0
2024-11,159.8833304398148,384560.0,-2421.566825231481,384560.0
2024-12,184.81058411738348,1573052.0,-2382.8541588261646,1573052.0
2025-01,189.93284330197133,-399156.0,-2366.849488127241,-399156.0
2025-02,175.67013268849217,2337304.0,-2446.2079513888884,2337304.0
2025-03,169.10273857526883,3808248.0,-2439.5535982302863,3808248.0
2025-04,132.1115248842592,4270728.0,-2462.2977060185176,4270728.0
2025-05,124.52847751807471,5520499.0,-2462.520776715857,5520499.0
2025-06,139.57450710619824,6884718.0,-2469.520932984602,6884718.0
2025-07,137.97567237337503,5619132.0,-2451.8015653193147,5619132.0
2025-08,128.90076714710477,9559070.0,-2461.6489346998933,9559070.0
2025-09,140.9188622224932,7083452.0,-2394.236499451087,7083452.0
