Year,DNO_Code,DNO_Name,Tariff_Name,LLFCs,PCs,Red_Rate_p_kWh,Amber_Rate_p_kWh,Green_Rate_p_kWh,Fixed_Charge_p_day,Capacity_Charge_p_kVA_day,Document,Document_Reference
2024,EMID,East Midlands,Domestic Aggregated with Residual,"1, 3, 246","0, 1, 2",6.642,1.55,0.123,18.91,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Domestic Aggregated (Related MPAN),11,2,6.642,1.55,0.123,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated No Residual,"N10, N20, N30","0, 3, 4, 5-8",6.769,1.579,0.126,9.84,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated Band 1,"13, 37, 81, 80, 247, 90","0, 3, 4, 5-8",6.769,1.579,0.126,15.34,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated Band 2,"N12, N22, N32","0, 3, 4, 5-8",6.769,1.579,0.126,40.04,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated Band 3,"N13, N23, N33","0, 3, 4, 5-8",6.769,1.579,0.126,85.39,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated Band 4,"N14, N24, N34","0, 3, 4, 5-8",6.769,1.579,0.126,254.46,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Non-Domestic Aggregated (related MPAN),901,4,6.769,1.579,0.126,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Site Specific No Residual,"L00, LST",0,4.69,1.065,0.084,15.35,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Site Specific Band 1,"58, 990",0,4.69,1.065,0.084,414.18,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Site Specific Band 2,L02,0,4.69,1.065,0.084,683.95,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Site Specific Band 3,L03,0,4.69,1.065,0.084,1085.72,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Site Specific Band 4,L04,0,4.69,1.065,0.084,2321.08,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Site Specific No Residual,"S00, SST",0,3.249,0.693,0.053,12.08,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Site Specific Band 1,59,0,3.249,0.693,0.053,410.91,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Site Specific Band 2,S02,0,3.249,0.693,0.053,680.68,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Site Specific Band 3,S03,0,3.249,0.693,0.053,1082.45,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Site Specific Band 4,S04,0,3.249,0.693,0.053,2317.81,4.53,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Site Specific No Residual,"H00, HST",0,1.942,0.368,0.027,107.73,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Site Specific Band 1,"60, 991",0,1.942,0.368,0.027,2090.47,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Site Specific Band 2,H02,0,1.942,0.368,0.027,6249.9,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Site Specific Band 3,H03,0,1.942,0.368,0.027,14220.41,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Site Specific Band 4,H04,0,1.942,0.368,0.027,37438.55,5.45,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,Unmetered Supplies,"800, 801, 802, 803, 804","0, 1 or 8",16.236,4.325,2.697,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Generation Aggregated,986,0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Generation Aggregated,970,0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Generation Site Specific,"971, 973",0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-4.491,-1.048,-0.083,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Generation Site Specific,"972, 974",0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-3.917,-0.899,-0.071,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Generation Site Specific,"975, 977",0,-2.517,-0.529,-0.04,67.13,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,EMID,East Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-2.517,-0.529,-0.04,67.13,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2025,EMID,East Midlands,Domestic Aggregated or CT with Residual,"1, 3, 246, D01","0, 1, 2",10.271,1.943,0.142,8.6,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Domestic Aggregated (Related MPAN),11,2,10.271,1.943,0.142,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated or CT No Residual,"N10, N20, N30, X10, X20, X30","0, 3, 4, 5-8",10.516,1.989,0.146,11.63,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated or CT Band 1,"13, 37, 81, 80, 247, 90, X11, X21, X31","0, 3, 4, 5-8",10.516,1.989,0.146,14.21,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated or CT Band 2,"N12, N22, N32, X12, X22, X32","0, 3, 4, 5-8",10.516,1.989,0.146,15.91,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated or CT Band 3,"N13, N23, N33, X13, X23, X33","0, 3, 4, 5-8",10.516,1.989,0.146,20.79,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated or CT Band 4,"N14, N24, N34, X14, X24, X34","0, 3, 4, 5-8",10.516,1.989,0.146,36.93,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,Non-Domestic Aggregated (related MPAN),901,4,10.516,1.989,0.146,0.0,0.0,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Site Specific No Residual,"L00, LST",0,6.621,1.214,0.087,14.21,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Site Specific Band 1,"58, 990",0,6.621,1.214,0.087,61.19,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Site Specific Band 2,L02,0,6.621,1.214,0.087,92.33,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Site Specific Band 3,L03,0,6.621,1.214,0.087,137.64,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Site Specific Band 4,L04,0,6.621,1.214,0.087,270.96,7.72,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Site Specific No Residual,"S00, SST",0,4.224,0.718,0.048,11.08,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Site Specific Band 1,59,0,4.224,0.718,0.048,58.06,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Site Specific Band 2,S02,0,4.224,0.718,0.048,89.21,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Site Specific Band 3,S03,0,4.224,0.718,0.048,134.51,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,LV Sub Site Specific Band 4,S04,0,4.224,0.718,0.048,267.83,7.55,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Site Specific No Residual,"H00, HST",0,2.431,0.37,0.022,102.53,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
2025,EMID,East Midlands,HV Site Specific Band 1,"60, 991",0,2.431,0.37,0.022,340.7,8.76,EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,2025 v0.2
