nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,is_vlp_by_name,is_aggregator_code,multiple_assets,is_vlp
AG-CBS08M,V__MCEND001,,,Centrica Business Solutions UK,V,True,Brigg Battery,CENDEPUK,0.000,0.000,P,-0.0051169,0.000,0.000,0.000,0.000,True,False,_M,Yorkshire,,True,False,False,True
ARBRB-1,E_ARBRB-1,,OTHER,Octopus Energy Trading Limited,E,True,Arbroath Battery Storage,COPPER,-35.597,34.000,C,-0.0301340,-14.239,-14.239,13.600,13.600,True,False,_P,North Scotland,,True,False,True,True
ARNKB-2,E_ARNKB-2,,,Flexitricity Limited,E,True,Hutton Battery Storage,FLEXTRCY,-9.391,49.000,C,0.0042196,-3.756,-3.756,19.600,19.600,True,False,_A,Eastern,,True,False,True,True
BARNB-1,E_BARNB-1,,,EDF Energy Customers Limited,E,True,Hunningley Stairfoot BESS,LENCO,-40.602,40.383,C,-0.0051169,-16.241,-16.241,16.153,16.153,True,False,_M,Yorkshire,,False,False,True,True
BERKB-1,E_BERKB-1,,,SMS Energy Services Limited,E,False,Berkeley BESS,SMS1ENES,-50.000,50.000,C,0.0112507,-4.680,-4.680,4.680,4.680,False,False,_E,Midlands,,False,False,True,True
BHOLB-1,E_BHOLB-1,,,Tesla Motors Limited,E,True,Holes Bay Battery,TESLA,-7.426,7.120,P,0.0199799,-2.970,-2.970,2.848,2.848,True,False,_H,Southern,,False,False,True,True
BLPFB-1,T_BLPFB-1,,,EDF Energy Customers Limited,T,True,Bulphan Fen Warley Green BESS,LENCO,-50.000,50.000,C,0.0042196,-4.680,-4.680,4.680,4.680,False,False,,,,False,False,True,True
BREDB-1,T_BREDB-1,,,Pivoted Power LLP,T,True,BREDBURY BESS,PIVOT,-57.000,49.900,C,-0.0048159,-22.800,-22.800,19.960,19.960,True,False,,,,False,False,True,True
BROAB-1,E_BROAB-1,,,Tesla Motors Limited,E,True,Broadditch Battery,TESLA,-11.000,11.000,P,0.0120522,-4.400,-4.400,4.400,4.400,True,False,_J,South Eastern,,False,False,True,True
BROFB-1,E_BROFB-1,,,Arenko Cleantech Limited,E,False,Brook Farm BESS,AG,-50.000,50.000,C,0.0042196,-1.680,-1.680,1.680,1.680,False,False,_A,Eastern,,False,False,True,True
BROXB-1,E_BROXB-1,,OTHER,ENGIE Power Limited,E,True,BroxburnBattery,RWETDL,-50.000,50.000,P,-0.0088069,-20.000,-20.000,20.000,20.000,True,False,_N,South Scotland,,True,False,True,True
BURWB-1,E_BURWB-1,,OTHER,Arenko Cleantech Limited,E,True,Burwell Weirs Drove BESS,AG,-50.861,50.533,C,0.0042196,-20.344,-20.344,20.213,20.213,True,False,_A,Eastern,,False,False,True,True
CATHB-1,E_CATHB-1,,OTHER,ENGIE Power Limited,E,True,CathkinBattery,RWETDL,-49.900,49.900,P,-0.0088069,-19.960,-19.960,19.960,19.960,True,False,_N,South Scotland,,True,False,True,True
CHAPB-1,E_CHAPB-1,,,Tesla Motors Limited,E,True,Chapel Farm BESS,TESLA,-50.210,50.169,P,0.0042196,-20.084,-20.084,20.068,20.068,True,False,_A,Eastern,,False,False,True,True
CLAYB-1,E_CLAYB-1,,,Tesla Motors Limited,E,True,ClayTye Farm 1 Battery Storage,TESLA,-49.500,49.500,P,0.0042196,-19.800,-19.800,19.800,19.800,True,False,_A,Eastern,,False,False,True,True
