bmUnit,total_acceptances,active_days,discharge_count,total_mw_discharged,discharge_revenue_gbp,avg_discharge_price,max_discharge_mw,charge_count,total_mw_charged,charge_cost_gbp,avg_charge_price,max_charge_mw,net_revenue_gbp,max_capacity_mw,avg_action_size_mw,duration_hours,energy_capacity_mwh,estimated_cycles,profit_per_cycle_gbp,revenue_per_mw_gbp,revenue_per_mwh_capacity_gbp,avg_cycles_per_day,utilization_pct,price_spread_captured_per_cycle,round_trip_efficiency_pct,capex_estimate_gbp,simple_payback_years,annual_roi_pct,total_energy_discharged_mwh,total_energy_charged_mwh,is_vlp,operator_type
T_BLHLB-4,30678,234,11691,220015,8025402.709999996,76.05676792828683,53,7291,119139,4467588.469999999,79.43189240139212,53,3557814.2400000016,53,11.05528391681335,2.0,106.0,11691,304.32078008724676,67128.57056603777,33564.285283018886,49.96153846153846,2498.076923076923,-3.375124473105288,100.0,21200000.0,5.958714696695348,16.78214264150944,110007.5,59569.5,True,VLP
T_BLHLB-3,31480,234,12105,203730,7356044.4425,75.5283095008334,53,7327,105991,3935150.210000001,79.0046012093291,53,3420894.2325000004,53,9.83865946632783,2.0,106.0,12105,282.6017540272615,64545.174198113215,32272.587099056607,51.73076923076923,2586.538461538462,-3.476291708495694,100.0,21200000.0,6.197210015612488,16.136293549528304,101865.0,52995.5,True,VLP
T_PEMB-41,5814,170,1719,182537,7465100.63,84.0996324387398,224,1866,133972,4083074.5,65.09870713884203,230,3382026.130000001,449,54.439112487100104,2.0,898.0,1719,1967.4381210005822,7532.352182628064,3766.176091314032,10.111764705882353,505.5882352941176,19.000925299897773,100.0,179600000.0,53.104261497825846,1.883088045657016,91268.5,66986.0,True,VLP
T_BLHLB-1,31466,234,12100,203278,7271167.032499999,74.97114879074661,50,7332,107905,4043036.5524999998,78.44545075485263,50,3228130.4800000004,50,9.889499777537667,2.0,100.0,12100,266.78764297520667,64562.60960000001,32281.304800000005,51.70940170940171,2585.4700854700855,-3.4743019641060187,100.0,20000000.0,6.195536433211336,16.140652400000004,101639.0,53952.5,True,VLP
T_BLHLB-2,31933,234,12265,205858,7355874.869999999,75.36988706454697,50,7474,111837,4169170.4725000006,78.87320231867666,50,3186704.397499999,50,9.94879904800677,2.0,100.0,12265,259.8209863432531,63734.08794999998,31867.04397499999,52.414529914529915,2620.7264957264956,-3.5033152541296886,100.0,20000000.0,6.276076317492829,15.933521987499995,102929.0,55918.5,True,VLP
T_SUTB-1,268,4,141,25632,2507857.3850000002,209.8029078014184,360,35,3760,642714.1499999999,291.0565714285715,330,1865143.2349999999,810,109.67164179104479,2.0,1620.0,141,13227.966205673758,2302.6459691358023,1151.3229845679011,35.25,1762.5,-81.25366362715309,100.0,324000000.0,173.71320010176055,0.5756614922839506,12816.0,1880.0,True,VLP
T_PEMB-11,2964,140,958,96715,4281335.692500001,94.60602296450938,224,799,61637,2563394.775,86.20026282853567,225,1717940.9174999993,459,53.4251012145749,2.0,918.0,958,1793.25774269311,3742.790669934639,1871.3953349673195,6.8428571428571425,342.1428571428571,8.405760135973708,100.0,183600000.0,106.87212705031811,0.9356976674836598,48357.5,30818.5,True,VLP
E_JAMBB-1,39378,349,13201,150636,6568905.3774999995,90.79634129158514,30,11214,115444,5307933.307500001,92.98950578193835,30,1260972.0700000005,30,6.757072477017622,2.0,60.0,13201,95.52095068555417,42032.40233333335,21016.201166666677,37.825214899713465,1891.2607449856732,-2.1931644903532117,100.0,12000000.0,9.516467720018568,10.508100583333338,75318.0,57722.0,True,VLP
E_LITRB-1,53573,351,17154,265405,11445690.487499995,89.07001980554556,50,16249,227128,10368575.204999996,92.07105131612252,50,1077115.2825,50,9.193679652063533,2.0,100.0,17154,62.790910720531656,21542.30565,10771.152825,48.87179487179487,2443.5897435897436,-3.001031510576965,100.0,20000000.0,18.5681145973342,5.3855764125,132702.5,113564.0,True,VLP
E_JAMBB-2,34171,349,11237,84575,3752393.3525000005,91.64380255773304,19,9633,68452,3130969.9074999997,94.29014114627888,19,621423.4450000001,19,4.47827104854994,2.0,38.0,11237,55.30154356144879,32706.497105263163,16353.248552631581,32.19770773638969,1609.8853868194844,-2.646338588545845,100.0,7600000.0,12.229985947826606,8.17662427631579,42287.5,34226.0,True,VLP
E_ARBRB-1,11517,293,4026,55567,2132269.8150000004,78.44277208201893,35,3092,39394,1589160.5425000004,81.42458474004056,35,543109.2725,35,8.245289571937136,2.0,70.0,4026,134.90046510183805,15517.407785714284,7758.703892857142,13.74061433447099,687.0307167235495,-2.9818126580216244,100.0,14000000.0,25.777501340671737,3.8793519464285713,27783.5,19697.0,True,VLP
E_BARNB-1,46883,351,13179,120779,5692401.33,90.77175815153646,44,14684,122876,5309910.050000002,84.86446694796062,45,382491.2799999998,50,5.197086363927224,2.0,100.0,13179,29.02278473328779,7649.825599999996,3824.912799999998,37.547008547008545,1877.3504273504273,5.907291203575838,100.0,20000000.0,52.28877374668518,1.912456399999999,60389.5,61438.0,True,VLP
E_CORB-1,166,8,77,6510,561001.4499999998,175.6633766233766,200,27,2644,181039.06,156.81555555555556,200,379962.3899999999,220,55.14457831325301,2.0,440.0,77,4934.576493506493,1727.1017727272722,863.5508863636361,9.625,481.25,18.84782106782103,100.0,88000000.0,231.6018698587511,0.4317754431818181,3255.0,1322.0,True,VLP
E_BURWB-1,42441,330,11714,112154,5432117.492499999,91.38643948088635,50,13554,120412,5184798.6,83.32045707957839,50,247318.89250000005,50,5.47974835654202,2.0,100.0,11714,21.113103337886294,4946.377850000001,2473.1889250000004,35.4969696969697,1774.848484848485,8.065982401307963,100.0,20000000.0,80.86725521787623,1.2365944625000003,56077.0,60206.0,True,VLP
