bmUnit,total_actions,active_days,first_action,last_action,bid_actions,avg_bid_price,total_bid_mw,offer_actions,avg_offer_price,total_offer_mw,max_capacity_mw,avg_action_size_mw,estimated_revenue_gbp,is_vlp
T_KPMRW-1,65184,357,2024-11-06,2025-10-28,32644,99.88636319078545,0,76,27.932105263157897,0,90,0.0,0.0,True
T_KTHRS-2,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_PILLB-2,109587,357,2024-11-06,2025-10-28,80518,80.30368526292256,0,89318,139.46180624286265,0,98,0.0,0.0,True
E_ROOSB-1,65184,357,2024-11-06,2025-10-28,57165,78.09155514738039,0,59059,96.27353460099211,0,98,0.0,0.0,False
E_BHOLB-1,120908,357,2024-11-06,2025-10-28,88777,94.09293217837954,0,92567,138.2001788974472,0,14,0.0,0.0,True
E_CONTB-1,149145,357,2024-11-06,2025-10-28,95194,112.9512559615102,0,98753,150.9611683695685,0,68,0.0,0.0,True
T_KYPEW-1,65184,357,2024-11-06,2025-10-28,0,,,34328,999.0,0,67,0.0,0.0,False
E_STALB-1,29204,154,2025-05-28,2025-10-28,0,,,0,,,0,0.0,0.0,False
T_LARKB-1,133328,357,2024-11-06,2025-10-28,79885,53.91277874444518,0,121599,137.65665868962736,0,99,0.0,0.0,True
E_SHOS-1,162960,357,2024-11-06,2025-10-28,130322,61.84041988305884,0,162960,127.45037438635251,0,485,0.0,0.0,False
T_WBURB-43,140349,357,2024-11-06,2025-10-28,60746,39.119168669542006,0,132385,194.88280054386826,0,60,0.0,0.0,True
T_RICHB-1,85545,357,2024-11-06,2025-10-28,68634,48.42920141620768,0,81646,138.67285917252528,0,147,0.0,0.0,True
T_SUNDB-1,132453,357,2024-11-06,2025-10-28,83834,54.005735620392706,0,120692,130.70553102111157,0,98,0.0,0.0,True
T_COUWW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,20,0.0,0.0,False
E_NEWPB-1,12592,58,2025-09-01,2025-10-28,2664,61.38124624624625,0,2682,131.6075316927666,0,9999,0.0,0.0,False
E_ASHWW-1,65184,357,2024-11-06,2025-10-28,0,,,65184,92.56315230731471,0,35,0.0,0.0,True
E_THMRB-1,118601,357,2024-11-06,2025-10-28,93745,98.33664771454471,0,97742,135.3024771336785,0,99,0.0,0.0,True
T_HADHW-1,65184,357,2024-11-06,2025-10-28,32588,100.0,0,32588,500.0,0,200,0.0,0.0,False
E_CHAPB-1,115525,357,2024-11-06,2025-10-28,92009,108.40564618678594,0,95617,146.9860347009424,0,99,0.0,0.0,True
T_MIDMW-1,65184,357,2024-11-06,2025-10-28,32644,99.88636319078539,0,76,27.932105263157897,0,51,0.0,0.0,True
T_CRGHW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,46,0.0,0.0,True
T_LAGA-1,97835,357,2024-11-06,2025-10-28,75946,72.0573257314408,0,97833,129.732435681212,0,1000,0.0,0.0,True
T_DOREW-1,65184,357,2024-11-06,2025-10-28,4660,31.49473819742489,0,65024,500.0,0,114,0.0,0.0,True
T_SHBA-2,100041,357,2024-11-06,2025-10-28,88854,58.1375733225291,0,99141,118.87658314925211,0,1000,0.0,0.0,True
E_TLYMW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,15,0.0,0.0,False
T_SUTBS-1,65184,357,2024-11-06,2025-10-28,0,,,10512,999.0,0,50,0.0,0.0,True
E_PILLB-1,108710,357,2024-11-06,2025-10-28,79752,76.18555045641492,0,89385,136.3916032891423,0,100,0.0,0.0,True
T_BEINW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,108,0.0,0.0,False
T_DOREW-2,65184,357,2024-11-06,2025-10-28,4660,31.494738197424912,0,65024,500.0,0,114,0.0,0.0,True
E_CHICK-1,65184,357,2024-11-06,2025-10-28,65094,157.9184717485482,0,65184,279.7008161512026,0,50,0.0,0.0,True
I_IBD-GRMC1,57504,317,2024-12-16,2025-10-28,0,,,0,,,0,0.0,0.0,True
T_AFTOW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,50,0.0,0.0,False
T_FERRB-2,60823,334,2024-11-29,2025-10-28,66,65.66666666666666,0,77,86.42857142857144,0,500,0.0,0.0,True
T_BREDB-1,73094,343,2024-11-20,2025-10-28,11137,47.251757205710696,0,17154,132.74074268392215,0,100,0.0,0.0,True
T_LKSDB-1,124066,357,2024-11-06,2025-10-28,41438,55.298618659201686,0,51516,130.4690632036648,0,200,0.0,0.0,False
T_ACHRW-1,65184,357,2024-11-06,2025-10-28,0,,,40324,999.0,0,42,0.0,0.0,False
T_FSDLW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,22,0.0,0.0,False
E_SKELB-1,128833,357,2024-11-06,2025-10-28,92375,94.78753688768604,0,95701,131.78746909645656,0,100,0.0,0.0,True
T_WBURB-41,141739,357,2024-11-06,2025-10-28,60714,37.84245429390258,0,133900,198.46823614637776,0,60,0.0,0.0,True
E_PIBUW-1,65184,357,2024-11-06,2025-10-28,0,,,65184,999.0,0,50,0.0,0.0,True
T_LRDSC-2,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_BARNB-1,98766,357,2024-11-06,2025-10-28,66473,53.28572728777094,0,81686,133.52279680728648,0,988,0.0,0.0,True
T_WDNSO-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,191,0.0,0.0,True
2__FBPGM002,85256,357,2024-11-06,2025-10-28,62290,58.65338786322042,0,70502,121.18160945788776,0,98,0.0,0.0,True
E_GFLDW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,False
T_COSO-1,106618,357,2024-11-06,2025-10-28,85238,60.399471127900696,0,106618,122.53527331219868,0,850,0.0,0.0,False
E_CLAYB-1,113832,357,2024-11-06,2025-10-28,91402,111.74885877770717,0,95468,148.8756653538357,0,100,0.0,0.0,True
T_KTHRS-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
T_BLPFB-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_BROXB-1,29204,154,2025-05-28,2025-10-28,0,,,0,,,0,0.0,0.0,True
I_IVD-GRMC1,192,2,2024-12-13,2024-12-14,0,,,0,,,0,0.0,0.0,True
E_ABRTW-1,65184,357,2024-11-06,2025-10-28,0,,,32592,60.0,0,36,0.0,0.0,True
E_ROARB-1,124112,357,2024-11-06,2025-10-28,98029,94.78711483336568,0,102010,129.30343446720906,0,100,0.0,0.0,True
E_LITRB-1,173597,357,2024-11-06,2025-10-28,98037,94.06371074186275,0,102101,128.1176167716281,0,100,0.0,0.0,True
T_LIMKW-1,65184,357,2024-11-06,2025-10-28,0,,,35652,999.0,0,106,0.0,0.0,False
T_CREAW-1,79534,357,2024-11-06,2025-10-28,0,,,70366,158.6970980302987,0,92,0.0,0.0,False
T_RICHB-2,85749,357,2024-11-06,2025-10-28,70233,47.84298990503038,0,82982,140.9974232966185,0,200,0.0,0.0,True
T_BURWS-1,65184,357,2024-11-06,2025-10-28,0,,,10512,999.0,0,50,0.0,0.0,True
T_SAKNW-1,65184,357,2024-11-06,2025-10-28,0,,,32592,150.0,0,86,0.0,0.0,False
T_LRDSC-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_CORB-1,70615,357,2024-11-06,2025-10-28,64765,145.27103528140185,0,70615,365.63815053458916,0,800,0.0,0.0,False
E_MINSW-1,65184,357,2024-11-06,2025-10-28,0,,,808,999.0,0,37,0.0,0.0,False
E_POTES-1,119766,357,2024-11-06,2025-10-28,70594,55.22206603960679,0,88700,142.2280961668547,0,70,0.0,0.0,True
T_WDNSO-2,65184,357,2024-11-06,2025-10-28,0,,,0,,,191,0.0,0.0,True
I_IBG-PETC1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,False
T_KEAD-2,97708,357,2024-11-06,2025-10-28,65167,72.98550155753681,0,97656,97.04907696403697,0,900,0.0,0.0,False
T_NURSB-1,145728,357,2024-11-06,2025-10-28,76189,50.33965690585254,0,135308,155.63238455967127,0,98,0.0,0.0,True
E_JAMBB-1,121016,357,2024-11-06,2025-10-28,89065,89.69459967439505,0,93212,126.5797437025276,0,60,0.0,0.0,True
T_TEBWB-1,65184,357,2024-11-06,2025-10-28,108,28.411111111111108,0,3414,482.5910896309314,0,79,0.0,0.0,True
E_SOLUTIA,65184,357,2024-11-06,2025-10-28,64348,85.4288866786846,0,65184,198.30863402061848,0,16,0.0,0.0,True
