bmUnit,total_actions,active_days,first_action,last_action,bid_actions,avg_bid_price,total_bid_mw,offer_actions,avg_offer_price,total_offer_mw,max_capacity_mw,avg_action_size_mw,discharge_revenue_gbp,charge_cost_gbp,estimated_revenue_gbp,is_vlp
T_DOREW-1,10594,218,2024-11-10,2025-10-25,310,91.82419463087248,13671,5127,79.78551458670987,358321,96,35.11346044931093,13349174.545000002,592156.1399999999,12757018.405000001,True
T_DOREW-2,10763,220,2024-11-10,2025-10-26,303,93.8095172413793,10423,5212,78.8746200759848,284878,93,27.436681222707417,10427838.984999992,450251.2649999998,9977587.719999991,True
T_SOKYW-1,3981,107,2025-01-16,2025-10-27,209,58.04180327868852,16092,1897,56.3189641943734,234588,235,62.96910324039187,5056300.655000001,374991.6250000001,4681309.030000001,False
T_CREAW-1,5854,150,2024-11-15,2025-10-26,225,67.89826923076922,7926,2794,63.590307134681424,158409,92,28.413905022207025,4643116.130000001,245790.00499999998,4397326.125000001,False
T_LIMKW-1,4749,87,2025-04-30,2025-10-27,98,64.35977777777778,3849,2318,61.500448473282454,149146,152,32.21625605390607,4094235.910000001,109557.75,3984678.160000001,False
T_STRNW-1,5804,137,2024-11-15,2025-10-27,203,66.53733695652174,7215,2795,59.263088057901086,131814,67,23.9539972432805,3488625.7250000006,226075.36500000002,3262550.3600000003,False
E_BRYBW-1,6188,94,2024-11-15,2025-07-05,138,73.76484374999998,3360,4081,62.083904128567475,81237,66,13.671137685843567,2230732.7699999996,122194.48000000005,2108538.2899999996,True
E_BABAW-1,8964,147,2024-11-15,2025-10-27,187,73.29023668639054,3873,5541,59.834617535450334,79263,51,9.274431057563584,2100049.8150000004,128975.81999999999,1971073.9950000003,True
T_SAKNW-1,2339,94,2024-11-16,2025-10-27,124,55.38305555555554,5110,1097,61.55035496957401,64343,86,29.69345874305258,1772840.329999999,109937.68500000003,1662902.6449999989,False
T_FALGW-1,1481,58,2024-11-16,2025-10-24,85,49.89064102564103,5908,698,55.48010507880911,72703,144,53.079675894665755,1706250.3249999997,125166.055,1581084.2699999998,False
T_WDRGW-1,3652,123,2024-11-16,2025-10-27,157,61.43789473684212,4628,1744,58.97180564674982,62426,43,18.36089813800658,1598610.115,120281.40500000001,1478328.71,False
T_KENNW-1,2733,105,2024-11-15,2025-10-27,128,53.31,5052,1297,63.42255154639174,54861,58,21.922063666300776,1588380.895,119057.31499999997,1469323.58,False
T_KYPEW-1,2302,84,2024-11-23,2025-10-27,110,54.720200000000006,4324,1092,60.1285188866799,48863,60,23.104691572545605,1402553.3450000002,115590.62999999999,1286962.7150000003,False
T_KPMRW-1,1580,62,2024-11-15,2025-10-07,61,78.25066666666666,3377,758,78.92537634408602,37559,88,25.908860759493667,1399525.67,128906.785,1270618.885,True
E_JAMBB-1,39378,349,2024-11-10,2025-10-28,11214,92.98950578193835,115444,13201,90.79634129158514,150636,30,6.757072477017622,6568905.3774999995,5307933.307500001,1260972.0699999984,True
T_TWSHW-1,3875,127,2024-11-23,2025-10-27,169,62.62061224489796,4099,1853,57.84191554467565,53247,38,14.798967741935481,1345307.5949999993,115232.08999999997,1230075.5049999994,False
E_LITRB-1,53573,351,2024-11-10,2025-10-28,16249,92.07105131612252,227128,17154,89.07001980554556,265405,50,9.193679652063533,11445690.487499995,10368575.204999996,1077115.2824999988,True
T_CRGHW-1,2466,79,2024-11-23,2025-10-10,91,56.97975903614458,2755,1178,60.15527390900651,38144,46,16.585158150851584,1002264.495,67154.215,935110.28,True
T_GRIFW-2,1341,50,2024-11-15,2025-10-26,55,52.244888888888894,2871,643,57.2184411276949,37330,92,29.978374347501877,954994.0750000004,55729.21,899264.8650000005,True
T_GRIFW-1,1337,49,2024-11-15,2025-10-26,57,49.89391304347826,2819,640,51.74483979763911,37046,93,29.81675392670159,847646.9349999996,48861.41,798785.5249999996,True
T_DALQW-1,2343,87,2024-11-23,2025-10-27,110,49.01728260869566,3157,1109,54.507864583333344,36632,42,16.982074263764403,850072.08,67361.015,782711.065,True
E_JAMBB-2,34171,349,2024-11-10,2025-10-28,9633,94.29014114627888,68452,11237,91.64380255773304,84575,19,4.47827104854994,3752393.3525000005,3130969.9074999997,621423.4450000008,True
T_MIDMW-1,1345,60,2024-11-15,2025-10-07,57,76.17642857142859,1812,641,75.93606635071089,16988,50,13.977695167286244,621653.3250000002,68562.34499999997,553090.9800000002,True
E_ARBRB-1,11517,293,2024-11-10,2025-10-28,3092,81.42458474004056,39394,4026,78.44277208201893,55567,35,8.245289571937136,2132269.8150000004,1589160.5425000004,543109.2725,True
T_BEINW-1,948,29,2024-11-24,2025-10-27,34,47.80566666666667,1929,456,41.66004672897195,29511,103,33.1645569620253,568561.93,46757.18,521804.75000000006,False
E_BARNB-1,46883,351,2024-11-10,2025-10-27,14684,84.86446694796062,122876,13179,90.77175815153646,120779,50,5.197086363927224,5692401.33,5309910.050000002,382491.2799999984,True
E_CORB-1,166,8,2024-11-13,2025-06-25,27,156.81555555555556,2644,77,175.6633766233766,6510,220,55.14457831325301,561001.4499999998,181039.06,379962.38999999984,False
T_BDCHW-1,975,43,2024-11-15,2025-10-10,40,99.2002564102564,765,467,86.9109090909091,8518,26,9.52102564102564,363017.4699999999,36987.65,326029.8199999999,True
E_GYAR-1,1143,74,2024-11-11,2025-10-27,288,94.19093750000003,26702,389,90.26118251928018,34425,417,53.47944006999125,1554456.1049999995,1261458.9350000005,292997.169999999,True
T_GLWSW-1,506,24,2024-12-25,2025-10-04,30,55.53291666666667,882,238,66.55723809523809,9435,55,20.389328063241113,303555.4,22632.145000000004,280923.255,False
E_MINSW-1,878,35,2024-12-08,2025-09-20,53,56.57000000000001,1070,412,62.39558583106268,10482,37,13.157175398633257,299132.44,25496.775000000005,273635.665,False
E_ASHWW-1,1147,35,2024-11-23,2025-09-06,31,58.24107142857142,889,731,52.42470000000001,10797,35,10.188317349607667,272044.38,23671.305,248373.075,True
E_BURWB-1,42441,330,2024-11-10,2025-10-06,13554,83.32045707957839,120412,11714,91.38643948088635,112154,50,5.47974835654202,5432117.492499999,5184798.6,247318.89249999914,True
E_ASLVW-1,761,33,2024-11-23,2025-09-17,36,56.93741935483871,520,362,68.23827988338195,5484,24,7.889618922470444,189634.8950000001,14253.885000000006,175381.0100000001,True
E_ABRTW-1,438,27,2024-11-23,2025-10-05,24,51.155,569,206,68.42801047120419,5294,33,13.385844748858448,175534.655,12227.289999999997,163307.365,True
T_HADHW-1,229,19,2024-11-23,2025-10-27,21,54.971428571428575,1116,100,60.74154761904762,6336,99,32.5414847161572,169053.44999999998,20884.719999999998,148168.72999999998,False
T_WHLWB-1,15869,307,2024-11-10,2025-10-27,4526,91.87932944939455,22691,4984,88.13127010309279,25639,50,3.045560526813284,1103421.8499999996,998547.3024999998,104874.54749999987,False
T_WBURB-41,9229,200,2024-11-10,2025-10-28,2672,94.84826433725783,6430,2774,108.95066617592933,7842,20,1.5464297323653706,391542.26999999984,288963.58499999985,102578.685,True
T_MYGPW-1,486,23,2024-12-18,2025-10-07,33,53.96074074074074,313,302,74.34101398601399,2540,25,5.870370370370372,90948.84500000003,6775.094999999999,84173.75000000003,False
T_AFTOW-1,264,10,2024-12-06,2025-10-27,17,86.05470588235292,426,164,65.65853658536585,3019,44,13.049242424242422,99106.38,18365.5,80740.88,False
E_CUPAB-1,10818,227,2024-11-11,2025-10-27,3322,81.2669803548796,46215,3388,75.98292679127727,51605,40,9.042336845997415,1811207.4025,1742561.3599999996,68646.04250000045,True
T_WBURB-43,8077,184,2024-11-10,2025-10-25,2288,90.86635555555551,4102,2475,106.83127069536422,4822,11,1.1048656679460183,241513.2850000001,180242.17000000007,61271.11500000002,True
T_ACHRW-1,155,9,2024-11-24,2025-10-07,8,52.424,188,74,52.65931034482758,1924,42,13.62580645161291,34966.10500000001,3333.26,31632.84500000001,False
T_BURWS-1,208,20,2025-03-30,2025-10-26,27,45.01642857142857,770,90,35.09950819672132,2924,49,17.759615384615387,32682.815000000006,7810.224999999999,24872.590000000007,True
T_SUTBS-1,210,20,2025-02-24,2025-10-26,28,38.15571428571429,741,91,33.24275862068965,2740,49,16.576190476190476,28664.27999999999,6775.935,21888.34499999999,True
T_WDNSO-2,32,1,2025-07-05,2025-07-05,3,17.41333333333333,248,15,15.742666666666668,1697,191,60.78125000000001,13312.215000000002,2065.54,11246.675000000003,True
E_CRGTW-1,131,9,2025-01-24,2025-08-07,9,43.66714285714285,30,61,98.36549019607843,265,5,2.2519083969465647,11405.245,479.085,10926.160000000002,False
T_WDNSO-1,31,1,2025-07-05,2025-07-05,5,14.736,209,14,15.411428571428571,1499,191,55.096774193548384,11883.259999999998,1467.6499999999999,10415.609999999999,True
