bmUnit,total_records,active_days,bid_pairs,offer_pairs,avg_level_change_mw,stddev_level_change,first_seen,last_seen,avg_bid_price,avg_offer_price,bidirectional,variable_output,highly_active
T_HUMR-1,260736,357,6,8,0.0,0.0,2024-11-06,2025-10-28,59.209059403656134,152.06895821827456,False,False,True
E_RHEI-1,195458,357,6,6,0.0,0.0,2024-11-06,2025-10-28,569.5841998838048,2764.4525116646428,False,False,True
E_LITRB-1,173597,357,7,7,0.0,0.0,2024-11-06,2025-10-28,2492.9127154113544,2450.525965741422,False,False,True
E_TOLLB-1,171902,357,8,10,0.0,0.0,2024-11-06,2025-10-28,105.33003411331461,33042.01516030541,False,False,True
E_SHOS-1,162960,357,5,5,0.0,0.0,2024-11-06,2025-10-28,61.840419883058814,127.45037438635252,False,False,True
T_RYHPS-1,162960,357,4,5,0.0,0.0,2024-11-06,2025-10-28,70.69944474720901,233.59276570937664,False,False,True
T_DAMC-1,162960,357,5,5,0.0,0.0,2024-11-06,2025-10-28,58.60567308307218,197.53204510309277,False,False,True
V__JZENO001,150864,357,5,6,0.0,0.0,2024-11-06,2025-10-28,56.95874935105388,1245.1299954253127,False,False,True
V__AZENO002,149879,357,5,6,0.0,0.0,2024-11-06,2025-10-28,55.34417504106003,1427.3195564438101,False,False,True
E_LYNE2,149441,357,3,5,0.0,0.0,2024-11-06,2025-10-28,43.61428372655042,162.76949991091865,False,False,True
E_CONTB-1,149145,357,7,7,0.0,0.0,2024-11-06,2025-10-28,1893.9705468225404,1875.7482234528616,False,False,True
E_LYNE1,148429,357,2,5,0.0,0.0,2024-11-06,2025-10-28,55.337209302325576,586.7883297407835,False,False,True
T_KEMB-1,148322,357,5,6,0.0,0.0,2024-11-06,2025-10-28,48.94006622256541,785.6312324793934,False,False,True
T_NURSB-1,145728,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.33965690585258,858.4057833367648,False,False,True
T_PINFB-2,145367,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.07725070351896,944.1277644516925,False,False,True
2__PLOND001,144647,357,5,6,0.0,0.0,2024-11-06,2025-10-28,51.66614031478242,1427.7785936773753,False,False,True
T_PINFB-3,144322,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.21579833337979,1024.9066092814357,False,False,True
T_PINFB-4,144306,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.485810954658696,1058.2784652229961,False,False,True
T_COWB-1,143647,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.61107313593471,822.2650118731763,False,False,True
T_PINFB-1,143051,357,5,6,0.0,0.0,2024-11-06,2025-10-28,49.84775737921177,920.2823189845093,False,False,True
T_WBURB-41,141739,357,5,6,0.0,0.0,2024-11-06,2025-10-28,37.842454293902556,740.5505670281293,False,False,True
T_WBURB-43,140349,357,5,6,0.0,0.0,2024-11-06,2025-10-28,39.119168669542034,751.2669099886708,False,False,True
T_BUSTB-1,139273,357,5,6,0.0,0.0,2024-11-06,2025-10-28,54.065141872394975,780.1843776740707,False,False,True
E_ILMEB-1,138596,357,7,7,0.0,0.0,2024-11-06,2025-10-28,1307.909920500736,1296.5448077454807,False,False,True
T_COVNB-1,138570,357,5,6,0.0,0.0,2024-11-06,2025-10-28,53.10394925881788,756.7088362524046,False,False,True
2__DUKPR001,135880,357,8,8,0.0,0.0,2024-11-06,2025-10-28,58.00885338881251,3256.1025482204186,False,False,True
E_BLKPB-1,135695,357,8,8,0.0,0.0,2024-11-06,2025-10-28,1027.484945242652,3417.2389525953645,False,False,True
T_SPLN-1,135575,357,7,7,0.0,0.0,2024-11-06,2025-10-28,66.14068493459462,127.60218564199408,False,False,True
T_LARKB-1,133328,357,5,6,0.0,0.0,2024-11-06,2025-10-28,53.91277874444515,407.2191722659502,False,False,True
T_SUNDB-1,132453,357,5,6,0.0,0.0,2024-11-06,2025-10-28,54.00573562039266,584.0643459048398,False,False,True
2__GLOND001,131368,357,5,6,0.0,0.0,2024-11-06,2025-10-28,63.769213549337245,9355.005698191346,False,False,True
2__GLOND002,131306,357,5,6,0.0,0.0,2024-11-06,2025-10-28,63.99305724725943,9374.96740362209,False,False,True
T_CARR-2,130374,357,4,5,0.0,0.0,2024-11-06,2025-10-28,69.2653899562334,121.61809639958886,False,False,True
E_DOLLB-1,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,65.93208157955154,449.2838983510101,False,False,True
2__GSMAE003,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,64.02053885460221,191.91484413352978,False,False,True
2__ASTAT005,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.110035481547825,366.0995318401336,False,False,True
T_CARR-1,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,69.39001611577577,119.4603956492391,False,False,True
2__JSTAT002,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.99101426136875,342.0559404899103,False,False,True
2__HSTAT002,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.06670070282455,392.8163605476396,False,False,True
E_FAWN-1,130368,357,0,4,0.0,0.0,2024-11-06,2025-10-28,,5000.0,False,False,True
2__MSTAT001,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.96228574195706,245.46716364929966,False,False,True
T_SCCL-4,130368,357,3,3,0.0,0.0,2024-11-06,2025-10-28,46.08333333333338,57.33333333333335,False,False,True
2__HSTAT001,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,64.27797864015096,311.755140983048,False,False,True
V__PHABI004,130068,357,5,5,0.0,0.0,2024-11-06,2025-10-28,54727.771183178564,38560.596913478905,False,False,True
2__HSTAT004,130064,356,4,4,0.0,0.0,2024-11-06,2025-10-27,63.71759931727367,1524.4403424912123,False,False,True
2__JUKPR001,129421,357,7,8,0.0,0.0,2024-11-06,2025-10-28,58.08282729046905,3301.9326263809394,False,False,True
V__NHABI005,129253,357,5,5,0.0,0.0,2024-11-06,2025-10-28,54412.10649223574,38780.79811049367,False,False,True
E_SKELB-1,128833,357,7,7,0.0,0.0,2024-11-06,2025-10-28,1242.0360830996824,1241.433653723092,False,False,True
E_LYNE3,127921,357,3,5,0.0,0.0,2024-11-06,2025-10-28,43.234730011812516,2520.477171581999,False,False,True
E_ROARB-1,124112,357,7,7,0.0,0.0,2024-11-06,2025-10-28,610.2962200734867,624.7134789247775,False,False,True
T_LKSDB-1,124066,357,5,5,0.0,0.0,2024-11-06,2025-10-28,41401.07286999829,34089.332814315545,False,False,True
2__GCMRO002,123843,357,9,9,0.0,0.0,2024-11-06,2025-10-28,37565.073628687605,36198.683147653,False,False,True
2__ASTAT008,123452,343,4,4,0.0,0.0,2024-11-20,2025-10-28,61.027262519260404,337.47639935832785,False,False,True
T_WBURB-1,123180,357,5,5,0.0,0.0,2024-11-06,2025-10-28,68.87144801370805,132.45686458840717,False,False,True
2__GCMRO001,122671,357,9,9,0.0,0.0,2024-11-06,2025-10-28,38111.452193407524,36684.77139121056,False,False,True
2__GSTAT016,122084,343,4,4,0.0,0.0,2024-11-20,2025-10-28,64.60342840143922,177.4974906835447,False,False,True
T_WBURB-3,121594,357,5,5,0.0,0.0,2024-11-06,2025-10-28,68.17832406221791,138.2946373998717,False,False,True
2__MCMRO002,121217,357,7,7,0.0,0.0,2024-11-06,2025-10-28,850.1465278839948,861.0900998672286,False,False,True
E_JAMBB-1,121016,357,7,7,0.0,0.0,2024-11-06,2025-10-28,872.4052392030359,875.5462709192575,False,False,True
E_OLDHB-1,120999,357,7,7,0.0,0.0,2024-11-06,2025-10-28,3498.454138008426,6924.160740949981,False,False,True
E_BHOLB-1,120908,357,7,7,0.0,0.0,2024-11-06,2025-10-28,1174.756491256234,1176.500149428288,False,False,True
2__BUKPR001,120837,357,6,7,0.0,0.0,2024-11-06,2025-10-28,61.655876361840704,3660.702454114287,False,False,True
T_WBURB-2,120308,357,5,5,0.0,0.0,2024-11-06,2025-10-28,71.23197200933019,150.0120620407621,False,False,True
2__FFSEN005,120044,357,3,4,0.0,0.0,2024-11-06,2025-10-28,52.95847619469944,25579.05843772947,False,False,True
E_POTES-1,119766,357,3,4,0.0,0.0,2024-11-06,2025-10-28,55.222066039606744,24863.310102558447,False,False,True
E_JAMBB-2,118611,357,7,7,0.0,0.0,2024-11-06,2025-10-28,581.3137597481283,606.0521019657599,False,False,True
E_THMRB-1,118601,357,7,7,0.0,0.0,2024-11-06,2025-10-28,718.851376069743,730.7029899731783,False,False,True
2__GSTAT009,118506,357,4,4,0.0,0.0,2024-11-06,2025-10-28,57.664030113886795,2791.7143304262495,False,False,True
T_STAY-4,118461,357,4,5,0.0,0.0,2024-11-06,2025-10-28,64.25438400354027,140.3989951123153,False,False,True
2__MSTAT005,118314,357,4,4,0.0,0.0,2024-11-06,2025-10-28,62.3786429822582,197.31822392248324,False,False,True
T_PEMB-11,118078,357,4,5,0.0,0.0,2024-11-06,2025-10-28,75.7212026530659,141.27133759040635,False,False,True
T_STAY-1,117860,357,4,5,0.0,0.0,2024-11-06,2025-10-28,64.13834216822256,139.49292550483625,False,False,True
T_STAY-3,116971,357,5,5,0.0,0.0,2024-11-06,2025-10-28,63.87207527963544,136.15159381385132,False,False,True
E_HAWKB-1,116966,357,7,7,0.0,0.0,2024-11-06,2025-10-28,600.9822278741641,618.7502621336554,False,False,True
E_BROAB-1,116897,357,7,7,0.0,0.0,2024-11-06,2025-10-28,832.8084873067476,842.403878475292,False,False,True
T_BLHLB-1,116536,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.08950810069213,246.00520344255918,False,False,True
T_STAY-2,116427,357,5,5,0.0,0.0,2024-11-06,2025-10-28,66.03786997892135,138.14327361184198,False,False,True
T_SCCL-3,115987,357,5,5,0.0,0.0,2024-11-06,2025-10-28,69.34685138648182,96.46256850765229,False,False,True
E_FARNB-1,115970,357,7,7,0.0,0.0,2024-11-06,2025-10-28,819.323427737349,828.710923012909,False,False,True
T_BLHLB-2,115966,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.001224211606505,246.61112416107397,False,False,True
T_BLHLB-3,115768,357,5,6,0.0,0.0,2024-11-06,2025-10-28,50.41212592480749,245.28968552745582,False,False,True
E_CHAPB-1,115525,357,7,7,0.0,0.0,2024-11-06,2025-10-28,616.1750064434979,635.4492886039463,False,False,True
T_BLHLB-4,115275,357,5,6,0.0,0.0,2024-11-06,2025-10-28,49.98315501726888,245.45037946081524,False,False,True
2__KSTAT006,115136,342,4,4,0.0,0.0,2024-11-20,2025-10-27,62.15779349186482,1654.6985209361558,False,False,True
E_CLAYB-1,113832,357,7,7,0.0,0.0,2024-11-06,2025-10-28,582.75669340807,599.7009707437503,False,False,True
T_PEMB-41,113091,357,5,5,0.0,0.0,2024-11-06,2025-10-28,66.03536132872937,137.43919498456987,False,False,True
T_PEMB-51,112915,357,5,5,0.0,0.0,2024-11-06,2025-10-28,64.31328225756543,135.630713368463,False,False,True
T_PEMB-21,112704,357,5,5,0.0,0.0,2024-11-06,2025-10-28,72.41121037923168,131.6819012634866,False,False,True
2__HIMPO002,112649,357,10,10,0.0,0.0,2024-11-06,2025-10-28,82.90137808655254,875.8775367735718,False,False,True
T_SCCL-1,112305,357,5,5,0.0,0.0,2024-11-06,2025-10-28,73.51050976328258,95.38295659142511,False,False,True
T_PEMB-31,111879,357,5,5,0.0,0.0,2024-11-06,2025-10-28,66.31519989654153,131.32574924695422,False,False,True
E_PILLB-2,109587,357,7,7,0.0,0.0,2024-11-06,2025-10-28,679.9629333660031,3511.9087953330572,False,False,True
E_CLAYB-2,108929,357,7,7,0.0,0.0,2024-11-06,2025-10-28,773.9020567857928,780.2535422543331,False,False,True
E_PILLB-1,108710,357,7,7,0.0,0.0,2024-11-06,2025-10-28,647.1176681476583,3246.523074364111,False,False,True
T_TYLNB-1,108158,357,5,6,0.0,0.0,2024-11-06,2025-10-28,48.02954449152543,185.1576607480825,False,False,True
T_SCCL-2,107365,357,5,5,0.0,0.0,2024-11-06,2025-10-28,66.92549987016362,95.43533087025597,False,False,True
T_COSO-1,106618,357,4,4,0.0,0.0,2024-11-06,2025-10-28,60.3994711279007,122.5352733121987,False,False,True
T_SEAB-2,101674,357,4,4,0.0,0.0,2024-11-06,2025-10-28,38.32375004979089,269.1227068867165,False,False,True
T_ROCK-1,101624,357,4,4,0.0,0.0,2024-11-06,2025-10-28,47.71616368006997,107.10655632527754,False,False,True
2__MCMRO003,101348,357,9,9,0.0,0.0,2024-11-06,2025-10-28,35926.6656780954,33676.5251401922,False,False,True
