DNO_Name,DNO_Code,Tariff_Name,LLFCs,PCs,Red_Rate_p_kWh,Amber_Rate_p_kWh,Green_Rate_p_kWh,Fixed_Charge_p_day,Capacity_Charge_p_kVA_day,Document,Document_Reference,Source_Sheet
East Midlands,EMID,Domestic Aggregated with Residual,"1, 3, 246","0, 1, 2",6.642,1.55,0.123,18.91,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Domestic Aggregated (Related MPAN),11,2,6.642,1.55,0.123,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated No Residual,"N10, N20, N30","0, 3, 4, 5-8",6.769,1.579,0.126,9.84,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 1,"13, 37, 81, 80, 247, 90","0, 3, 4, 5-8",6.769,1.579,0.126,15.34,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 2,"N12, N22, N32","0, 3, 4, 5-8",6.769,1.579,0.126,40.04,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 3,"N13, N23, N33","0, 3, 4, 5-8",6.769,1.579,0.126,85.39,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated Band 4,"N14, N24, N34","0, 3, 4, 5-8",6.769,1.579,0.126,254.46,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,Non-Domestic Aggregated (related MPAN),901,4,6.769,1.579,0.126,0.0,0.0,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific No Residual,"L00, LST",0,4.69,1.065,0.084,15.35,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
East Midlands,EMID,LV Site Specific Band 1,"58, 990",0,4.69,1.065,0.084,414.18,3.7,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1,"Annex 1 LV, HV and UMS charges"
