Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2014,12,UKPN-LPN,LPN,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.97,1.053,1.0115,1.053,C,London,2,p/kWh,dno_data_enhanced/EMEB-2014-15.xlsx
2014,12,UKPN-LPN,LPN,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.97,1.068,1.0055,1.001,C,London,6,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.961,1.084,1.007524752475248,1.003,C,London,303,p/kWh,dno_data_enhanced/EMEB-2014-15.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.993,1.072,1.006897872340426,1.004,C,London,235,p/kWh,dno_data_enhanced/MIDE-2014-15.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.84,1.738888888888889,1.47,C,London,18,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.6499999999999999,2.02,1.180681818181818,1.0,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.449367088607595,1.0,C,London,158,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.64,2.163888888888889,2.27,C,London,18,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.5,1.466818181818182,1.13,C,London,22,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.006,1.00325,1.004,C,London,12,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.449367088607595,1.0,C,London,158,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.956,1.085,1.011077922077922,1.006,C,London,308,p/kWh,dno_data_enhanced/EMEB-2014-15.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.996,1.101,1.009877118644068,1.006,C,London,236,p/kWh,dno_data_enhanced/MIDE-2014-15.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.043,2.84,1.577,2.0,C,London,20,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.031,2.02,1.170416666666667,1.865,C,London,24,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.012,1.08,1.035833333333333,1.032,C,London,6,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.463414634146341,1.0,C,London,41,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.083,3.64,1.83925,2.27,C,London,20,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.057,2.5,1.370625,1.84,C,London,24,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.02,1.027,1.024,1.025,C,London,3,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.463414634146341,1.0,C,London,41,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2015,12,UKPN-LPN,LPN,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.009,1.011,1.009666666666667,1.01,C,London,6,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.61,1.878409090909091,2.133,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.85,1.511,1.513,C,London,15,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
