DNO_Name,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.009,1.011,1.009666666666667,1.01,C,London,6,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.61,1.878409090909091,2.133,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.85,1.511,1.513,C,London,15,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.45679012345679,1.0,C,London,162,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.44,2.135833333333333,2.161,C,London,18,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.36,1.705,1.483,C,London,15,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.003,1.023,1.013333333333333,1.015,C,London,12,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.45679012345679,1.0,C,London,162,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.06,3.0,1.931590909090909,2.429,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.043,2.0,1.372631578947368,1.723,C,London,19,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.01,1.06,1.033833333333333,1.056,C,London,6,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
