year,dist_id,dno_key,dno_name,dno_code,filename,sheet,row_index,tariff_code,rates_found,values_found,raw_text,voltage,customer_type,time_band
2020,13,SP-Manweb,SP Energy Networks (SPM),SPM,CDCM_v3_SPM_2020_21.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2020,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd-arp-model-2020-21.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2020,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd-cdcm-model-2020-21.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2020,18,SP-Distribution,SP Energy Networks (SPD),SPD,CDCM_v3_SPD_2020_21.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,13,SP-Manweb,SP Energy Networks (SPM),SPM,CDCM_v6_2021-22-Pre-Release_20200130_SPM_DCP341.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,13,SP-Manweb,SP Energy Networks (SPM),SPM,SPM CDCM_v8_20211122_2023_24_Published SoLR.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd-arp_v7_20211122_2023_24_pre-release.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd_cdcm_v5_2021-22-pre-release_20191108_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd_cdcm_v8_20211122_2023_24_pre-release_lrsp-updates_v1.1.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2021,18,SP-Distribution,SP Energy Networks (SPD),SPD,CDCM_v6_2021-22-Pre-Release_2020_130_SPD_DCP341.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
