year,dist_id,dno_key,dno_name,dno_code,filename,sheet,row_index,tariff_code,rates_found,values_found,raw_text,voltage,customer_type,time_band,tariff_color
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 1 LV and HV charges,12,,"['1', '2', '3']","['15', '42', '3701', '14', '41', '1', '2', '3']","DNOs paste value cells A15:I42 from CDCM 3701 into cells A14:J41 Open LLFCs PCs Unit rate 1
p/kWh
(red/black) Unit rate 2
p/kWh
(amber/yellow) Unit rate 3
p/kWh
(green) Fixed charge p/MPAN/day Capacit",,,Day,Green
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 1 LV and HV charges,21,LV HH,[],"['58', '990', '0', '10.373', '0.419', '0.024', '8.5', '2.31', '0.358', '2.31']","LV HH Metered 58, 990 0 10.373 0.419 0.024 8.5 2.31 0.358 2.31",LV,,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 1 LV and HV charges,22,LV Sub,[],"['59', '0', '9.132', '0.301', '0.015', '6.24', '3.07', '0.301', '3.07']",LV Sub HH Metered 59 0 9.132 0.301 0.015 6.24 3.07 0.301 3.07,LV,,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 1 LV and HV charges,23,HV HH,[],"['60', '991', '0', '6.69', '0.137', '0.004', '63.57', '3.97', '0.196', '3.97', '929']","HV HH Metered 60,991 0 6.69 0.137 0.004 63.57 3.97 0.196 3.97 929",HV,,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 1 LV and HV charges,28,LV UMS,[],"['804', '0', '36.992', '1.074', '0.619', '0', '0', '0']",LV UMS (Pseudo HH Metered) 804 0 36.992 1.074 0.619 0 0 0,LV,Unmetered,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 3 Preserved charges,11,,"['1', '2', '3']","['1', '2', '3']","Closed LLFCs PCs Unit rate 1
p/kWh
(red/black) Unit rate 2
p/kWh
(amber/yellow) Unit rate 3
p/kWh
(green) Fixed charge p/MPAN/day Capacity charge p/kVA/day Reactive power charge
p/kVArh Excess Capacit",,,Day,Green
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 4 LDNO charges,12,,"['1', '2', '3']","['3701', '43', '81', '14', '1', '2', '3']","Copy from CDCM table 3701 ""Tariffs!D43:I81"" and paste values into D14 Unique billing identifier PCs Unit rate 1
p/kWh
(red/black) Unit rate 2
p/kWh
(amber/yellow) Unit rate 3
p/kWh
(green) Fixed charg",,,Day,Green
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 4 LDNO charges,20,LV HH,[],"['107', '0', '7.364', '0.297', '0.017', '6.03', '1.64', '0.254', '1.64']",LDNO LV: LV HH Metered 107 0 7.364 0.297 0.017 6.03 1.64 0.254 1.64,LV,,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 4 LDNO charges,25,LV UMS,[],"['109', '0', '26.262', '0.762', '0.439', '0', '0', '0']",LDNO LV: LV UMS (Pseudo HH Metered) 109 0 26.262 0.762 0.439 0 0 0,LV,Unmetered,,Red
2014,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,EMEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx,Annex 4 LDNO charges,36,LV HH,[],"['120', '0', '5.124', '0.207', '0.012', '4.2', '1.14', '0.177', '1.14']",LDNO HV: LV HH Metered 120 0 5.124 0.207 0.012 4.2 1.14 0.177 1.14,LV,,,Red
