Dataset,Table Name,Status,Last Update,Total Rows,24h Rows
METADATA,bmrs_metadata,MISSING,N/A,0,0
BOAL,bmrs_boal,MISSING,N/A,0,0
FOUT2T14D,bmrs_fout2t14d,MISSING,N/A,0,0
STOR,bmrs_stor,MISSING,N/A,0,0
COSTS,bmrs_costs,OUTDATED,2025-09-20T00:00:00+00:00,130344,0
DISBSAD,bmrs_disbsad,OUTDATED,2025-09-20T00:00:00+00:00,1838147,0
FOU2T14D,bmrs_fou2t14d,OUTDATED,2025-09-14T00:00:00+00:00,117819,0
FOU2T3YW,bmrs_fou2t3yw,OUTDATED,2025-09-14T00:00:00+00:00,1669815,0
FREQ,bmrs_freq,OUTDATED,2025-09-20T00:00:00+00:00,19212935,0
FUELINST,bmrs_fuelinst,OUTDATED,2025-09-20T00:00:00+00:00,40880,0
MID,bmrs_mid,OUTDATED,2025-09-19T00:00:00+00:00,624231,0
MILS,bmrs_mils,OUTDATED,2025-09-20T00:00:00+00:00,96022561,0
MELS,bmrs_mels,OUTDATED,2025-09-20T00:00:00+00:00,98078439,0
MDP,bmrs_mdp,OUTDATED,2025-09-14T00:00:00+00:00,1507,0
MDV,bmrs_mdv,OUTDATED,2025-09-17T00:00:00+00:00,1314,0
MNZT,bmrs_mnzt,OUTDATED,2025-09-14T00:00:00+00:00,280445,0
MZT,bmrs_mzt,OUTDATED,2025-09-14T00:00:00+00:00,187689,0
NETBSAD,bmrs_netbsad,OUTDATED,2025-09-20T00:00:00+00:00,234034,0
NONBM,bmrs_nonbm,OUTDATED,2025-09-19T00:00:00+00:00,311504,0
NOU2T14D,bmrs_nou2t14d,OUTDATED,2025-09-14T00:00:00+00:00,7371,0
NOU2T3YW,bmrs_nou2t3yw,OUTDATED,2025-09-14T00:00:00+00:00,73935,0
NTB,bmrs_ntb,OUTDATED,2025-09-14T00:00:00+00:00,95262,0
NTO,bmrs_nto,OUTDATED,2025-09-14T00:00:00+00:00,95220,0
NDZ,bmrs_ndz,OUTDATED,2025-09-14T00:00:00+00:00,342082,0
PN,bmrs_pn,OUTDATED,2025-09-20T00:00:00+00:00,131137416,0
QAS,bmrs_qas,OUTDATED,2025-09-17T00:00:00+00:00,11394319,0
QPN,bmrs_qpn,OUTDATED,2025-09-20T00:00:00+00:00,116095169,0
RDRE,bmrs_rdre,OUTDATED,2025-09-20T00:00:00+00:00,62959,0
RDRI,bmrs_rdri_new,OUTDATED,2025-09-18T00:00:00+00:00,805,0
RURE,bmrs_rure,OUTDATED,2025-09-20T00:00:00+00:00,396220,0
RURI,bmrs_ruri,OUTDATED,2025-09-18T00:00:00+00:00,5061,0
SEL,bmrs_sel,OUTDATED,2025-09-14T00:00:00+00:00,606379,0
SIL,bmrs_sil,OUTDATED,2025-09-14T00:00:00+00:00,107220,0
UOU2T14D,bmrs_uou2t14d,OUTDATED,2025-09-20T00:00:00+00:00,20526298,0
UOU2T3YW,bmrs_uou2t3yw,OUTDATED,2025-09-20T00:00:00+00:00,244736630,0
BOD,bmrs_bod,UP-TO-DATE,2025-09-20T23:00:00+00:00,862397122,227841
FUELHH,bmrs_fuelhh,UP-TO-DATE,2025-12-30T00:00:00+00:00,1417560,92920
IMBALNGC,bmrs_imbalngc,UP-TO-DATE,2025-12-24T00:00:00+00:00,1056744,16254
INDDEM,bmrs_inddem,UP-TO-DATE,2025-12-24T00:00:00+00:00,1028394,14868
INDGEN,bmrs_indgen,UP-TO-DATE,2025-12-24T00:00:00+00:00,1056168,14868
INDO,bmrs_indo,UP-TO-DATE,2025-12-24T00:00:00+00:00,965,14
ITSDO,bmrs_itsdo,UP-TO-DATE,2025-12-24T00:00:00+00:00,965,14
MELNGC,bmrs_melngc,UP-TO-DATE,2025-12-24T00:00:00+00:00,1055322,14868
NDF,bmrs_ndf,UP-TO-DATE,2025-12-24T00:00:00+00:00,47431,812
NDFD,bmrs_ndfd,UP-TO-DATE,2025-12-24T00:00:00+00:00,9802,182
NDFW,bmrs_ndfw,UP-TO-DATE,2025-12-24T00:00:00+00:00,49164,714
OCNMF3Y,bmrs_ocnmf3y,UP-TO-DATE,2025-12-24T00:00:00+00:00,149420,2170
OCNMF3Y2,bmrs_ocnmf3y2,UP-TO-DATE,2025-12-24T00:00:00+00:00,108965,2170
OCNMFD,bmrs_ocnmfd,UP-TO-DATE,2025-12-24T00:00:00+00:00,12532,182
OCNMFD2,bmrs_ocnmfd2,UP-TO-DATE,2025-12-24T00:00:00+00:00,12532,182
TEMP,bmrs_temp,UP-TO-DATE,2025-12-24T00:00:00+00:00,29930,434
TSDF,bmrs_tsdf,UP-TO-DATE,2025-12-24T00:00:00+00:00,1049958,13860
TSDFD,bmrs_tsdfd,UP-TO-DATE,2025-12-24T00:00:00+00:00,9139,182
TSDFW,bmrs_tsdfw,UP-TO-DATE,2025-12-24T00:00:00+00:00,49317,714
WINDFOR,bmrs_windfor,UP-TO-DATE,2025-12-24T00:00:00+00:00,51611,1022
