dataset,settlementDate,settlementPeriod,time,rate1,elbow2,rate2,elbow3,rate3,nationalGridBmUnit,bmUnit,_dataset,_window_from_utc,_window_to_utc,_ingested_utc
RDRI,2025-01-09,24,2025-01-09T11:48:00Z,999.0,-1.0,999.0,-2.0,999.0,AG-GSTK09,2__GSTAT009,RDRI,2025-01-09T00:00:00+00:00,2025-01-10T00:00:00+00:00,2025-08-29T12:49:02.675462+00:00
RDRI,2025-01-09,23,2025-01-09T11:17:00Z,999.0,-1.0,0.2,-2.0,0.2,AG-GSTK09,2__GSTAT009,RDRI,2025-01-09T00:00:00+00:00,2025-01-10T00:00:00+00:00,2025-08-29T12:49:02.675462+00:00
RDRI,2025-01-15,26,2025-01-15T12:36:00Z,49.0,,,,,SUNDB-1,T_SUNDB-1,RDRI,2025-01-15T00:00:00+00:00,2025-01-16T00:00:00+00:00,2025-08-29T12:49:04.236685+00:00
RDRI,2025-01-17,25,2025-01-17T12:22:00Z,999.0,-1.0,999.0,-2.0,999.0,AG-KSTK06,2__KSTAT006,RDRI,2025-01-17T00:00:00+00:00,2025-01-18T00:00:00+00:00,2025-08-29T12:49:04.469037+00:00
RDRI,2025-01-17,25,2025-01-17T12:19:00Z,999.0,-1.0,999.0,-2.0,999.0,AG-MSTK05,2__MSTAT005,RDRI,2025-01-17T00:00:00+00:00,2025-01-18T00:00:00+00:00,2025-08-29T12:49:04.469037+00:00
RDRI,2025-01-23,18,2025-01-23T08:59:00Z,999.0,,,,,AG-BUKP01,2__BUKPR001,RDRI,2025-01-23T00:00:00+00:00,2025-01-24T00:00:00+00:00,2025-08-29T12:49:05.696376+00:00
RDRI,2025-01-23,18,2025-01-23T08:58:00Z,999.0,,,,,AG-DUKP01,2__DUKPR001,RDRI,2025-01-23T00:00:00+00:00,2025-01-24T00:00:00+00:00,2025-08-29T12:49:05.696376+00:00
RDRI,2025-01-23,18,2025-01-23T08:58:00Z,999.0,,,,,AG-JUKP01,2__JUKPR001,RDRI,2025-01-23T00:00:00+00:00,2025-01-24T00:00:00+00:00,2025-08-29T12:49:05.696376+00:00
RDRI,2025-01-24,38,2025-01-24T18:49:00Z,99.0,,,,,LKSDB-1,T_LKSDB-1,RDRI,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,2025-08-29T12:49:05.783419+00:00
RDRI,2025-01-24,25,2025-01-24T12:16:00Z,0.2,-1.0,0.2,-2.0,0.2,AG-GBL06G,V__GGBLO001,RDRI,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,2025-08-29T12:49:05.783419+00:00
RDRI,2025-01-24,24,2025-01-24T11:55:00Z,1.0,,,,,AG-GBL0JP,V__PGBLO019,RDRI,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,2025-08-29T12:49:05.783419+00:00
RDRI,2025-01-24,20,2025-01-24T09:46:00Z,999.0,,,,,OLDHB-1,E_OLDHB-1,RDRI,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,2025-08-29T12:49:05.783419+00:00
RDRI,2025-01-24,20,2025-01-24T09:45:00Z,998.0,,,,,OLDHB-1,E_OLDHB-1,RDRI,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,2025-08-29T12:49:05.783419+00:00
RDRI,2025-02-06,37,2025-02-06T18:16:00Z,4.0,,,,,AG-GBL0JP,V__PGBLO019,RDRI,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,2025-08-29T12:49:07.940266+00:00
RDRI,2025-02-06,37,2025-02-06T18:12:00Z,20.0,,,,,AG-GBL0JP,V__PGBLO019,RDRI,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,2025-08-29T12:49:07.940266+00:00
RDRI,2025-02-06,37,2025-02-06T18:10:00Z,2.0,,,,,AG-GBL06G,V__GGBLO001,RDRI,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,2025-08-29T12:49:07.940266+00:00
RDRI,2025-02-06,37,2025-02-06T18:09:00Z,5.0,,,,,AG-GBL06G,V__GGBLO001,RDRI,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,2025-08-29T12:49:07.940266+00:00
RDRI,2025-02-21,30,2025-02-21T14:43:00Z,999.0,,,,,BLHLB-4,T_BLHLB-4,RDRI,2025-02-21T00:00:00+00:00,2025-02-22T00:00:00+00:00,2025-08-29T12:49:11.060062+00:00
RDRI,2025-02-21,30,2025-02-21T14:41:00Z,999.0,,,,,BLHLB-3,T_BLHLB-3,RDRI,2025-02-21T00:00:00+00:00,2025-02-22T00:00:00+00:00,2025-08-29T12:49:11.060062+00:00
RDRI,2025-02-21,30,2025-02-21T14:39:00Z,999.0,,,,,BLHLB-2,T_BLHLB-2,RDRI,2025-02-21T00:00:00+00:00,2025-02-22T00:00:00+00:00,2025-08-29T12:49:11.060062+00:00
RDRI,2025-02-21,30,2025-02-21T14:36:00Z,999.0,,,,,BLHLB-1,T_BLHLB-1,RDRI,2025-02-21T00:00:00+00:00,2025-02-22T00:00:00+00:00,2025-08-29T12:49:11.060062+00:00
RDRI,2025-02-24,36,2025-02-24T17:39:00Z,2.0,,,,,AG-GBL08H,V__HGBLO001,RDRI,2025-02-24T00:00:00+00:00,2025-02-25T00:00:00+00:00,2025-08-29T12:49:11.791753+00:00
RDRI,2025-02-24,34,2025-02-24T16:49:00Z,999.0,,,,,AG-HLIM05,2__HANGE005,RDRI,2025-02-24T00:00:00+00:00,2025-02-25T00:00:00+00:00,2025-08-29T12:49:11.791753+00:00
RDRI,2025-02-26,25,2025-02-26T12:28:00Z,999.0,,,,,ZEN02A,V__AZENO002,RDRI,2025-02-26T00:00:00+00:00,2025-02-27T00:00:00+00:00,2025-08-29T12:49:12.029399+00:00
RDRI,2025-02-26,25,2025-02-26T12:23:00Z,999.0,,,,,AG-ZEN03J,V__JZENO001,RDRI,2025-02-26T00:00:00+00:00,2025-02-27T00:00:00+00:00,2025-08-29T12:49:12.029399+00:00
RDRI,2025-02-27,16,2025-02-27T07:40:00Z,999.0,,,,,AG-GSTK16,2__GSTAT016,RDRI,2025-02-27T00:00:00+00:00,2025-02-28T00:00:00+00:00,2025-08-29T12:49:12.108777+00:00
RDRI,2025-03-05,22,2025-03-05T10:41:00Z,999.0,,,,,PILLB-1,E_PILLB-1,RDRI,2025-03-05T00:00:00+00:00,2025-03-06T00:00:00+00:00,2025-08-29T12:49:13.316751+00:00
RDRI,2025-03-05,22,2025-03-05T10:41:00Z,999.0,,,,,PILLB-2,E_PILLB-2,RDRI,2025-03-05T00:00:00+00:00,2025-03-06T00:00:00+00:00,2025-08-29T12:49:13.316751+00:00
RDRI,2025-03-25,31,2025-03-25T15:28:00Z,999.0,,,,,AG-ZEN7H,V__HZENO004,RDRI,2025-03-25T00:00:00+00:00,2025-03-26T00:00:00+00:00,2025-08-29T12:49:17.065167+00:00
RDRI,2025-04-07,46,2025-04-07T21:42:00Z,0.2,,,,,PGSOU-1,E_PGSOUT,RDRI,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,2025-08-29T12:49:19.336673+00:00
RDRI,2025-04-11,29,2025-04-11T13:11:00Z,57.0,,,,,OCHLB-1,T_OCHLB-1,RDRI,2025-04-11T00:00:00+00:00,2025-04-12T00:00:00+00:00,2025-08-29T12:49:19.878173+00:00
RDRI,2025-04-16,21,2025-04-16T09:22:00Z,999.0,,,,,CRSSB-1,E_CRSSB-1,RDRI,2025-04-16T00:00:00+00:00,2025-04-17T00:00:00+00:00,2025-08-29T12:49:20.650006+00:00
RDRI,2025-04-24,21,2025-04-24T09:16:00Z,600.0,,,,,AG-REC05L,2__LECOT003,RDRI,2025-04-24T00:00:00+00:00,2025-04-25T00:00:00+00:00,2025-08-29T12:49:21.909130+00:00
RDRI,2025-04-29,24,2025-04-29T10:45:00Z,2.7,,,,,AG-NFLX08,2__NFLEX008,RDRI,2025-04-29T00:00:00+00:00,2025-04-30T00:00:00+00:00,2025-08-29T12:49:22.568962+00:00
RDRI,2025-04-29,17,2025-04-29T07:02:00Z,2.7,,,,,AG-NFLX08,2__NFLEX008,RDRI,2025-04-29T00:00:00+00:00,2025-04-30T00:00:00+00:00,2025-08-29T12:49:22.568962+00:00
RDRI,2025-05-15,24,2025-05-15T10:46:00Z,49.0,,,,,AG-HEDF02,2__HLOND002,RDRI,2025-05-15T00:00:00+00:00,2025-05-16T00:00:00+00:00,2025-08-29T12:49:25.078537+00:00
RDRI,2025-05-20,20,2025-05-20T08:31:00Z,999.0,,,,,TEBWB-1,T_TEBWB-1,RDRI,2025-05-20T00:00:00+00:00,2025-05-21T00:00:00+00:00,2025-08-29T12:49:25.899766+00:00
RDRI,2025-05-26,32,2025-05-26T14:43:00Z,999.0,,,,,AG-CBS08M,V__MCEND001,RDRI,2025-05-26T00:00:00+00:00,2025-05-27T00:00:00+00:00,2025-08-29T12:49:26.688356+00:00
RDRI,2025-05-29,34,2025-05-29T15:58:00Z,57.0,,,,,TYLNB-1,T_TYLNB-1,RDRI,2025-05-29T00:00:00+00:00,2025-05-30T00:00:00+00:00,2025-08-29T12:49:27.118374+00:00
RDRI,2025-06-05,20,2025-06-05T08:50:00Z,999.0,,,,,SZJNB-1,T_SZJNB-1,RDRI,2025-06-05T00:00:00+00:00,2025-06-06T00:00:00+00:00,2025-08-29T12:49:28.155277+00:00
RDRI,2025-06-06,28,2025-06-06T12:47:00Z,999.0,,,,,AG-NSTK04,2__NSTAT004,RDRI,2025-06-06T00:00:00+00:00,2025-06-07T00:00:00+00:00,2025-08-29T12:49:28.224762+00:00
RDRI,2025-06-06,22,2025-06-06T09:42:00Z,999.0,,,,,AG-GSTK09,2__GSTAT009,RDRI,2025-06-06T00:00:00+00:00,2025-06-07T00:00:00+00:00,2025-08-29T12:49:28.224762+00:00
RDRI,2025-06-13,24,2025-06-13T10:51:00Z,999.0,-1.0,999.0,-2.0,999.0,BYBRB-1,2__NCPPR001,RDRI,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,2025-08-29T12:49:29.322428+00:00
RDRI,2025-06-13,21,2025-06-13T09:09:00Z,999.0,-1.0,0.2,-2.0,0.2,BYBRB-1,2__NCPPR001,RDRI,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,2025-08-29T12:49:29.322428+00:00
RDRI,2025-06-17,24,2025-06-17T10:53:00Z,999.0,,,,,AG-NFLX01,2__NFLEX001,RDRI,2025-06-17T00:00:00+00:00,2025-06-18T00:00:00+00:00,2025-08-29T12:49:30.056052+00:00
RDRI,2025-06-19,41,2025-06-19T19:02:00Z,2.0,,,,,AG-GBL0DN,V__NGBLO013,RDRI,2025-06-19T00:00:00+00:00,2025-06-20T00:00:00+00:00,2025-08-29T12:49:30.283742+00:00
RDRI,2025-06-27,27,2025-06-27T12:21:00Z,6.0,,,,,AG-NSTK04,2__NSTAT004,RDRI,2025-06-27T00:00:00+00:00,2025-06-28T00:00:00+00:00,2025-08-29T12:49:31.783762+00:00
RDRI,2025-06-27,25,2025-06-27T11:00:00Z,10.0,,,,,IBG-CURR1,I_IBG-CURR1,RDRI,2025-06-27T00:00:00+00:00,2025-06-28T00:00:00+00:00,2025-08-29T12:49:31.783762+00:00
RDRI,2025-06-30,41,2025-06-30T19:05:00Z,128.0,,,,,CRUA-2,T_CRUA-2,RDRI,2025-06-30T00:00:00+00:00,2025-07-01T00:00:00+00:00,2025-08-29T12:49:32.231034+00:00
RDRI,2025-06-30,40,2025-06-30T18:46:00Z,128.0,,,,,CRUA-1,T_CRUA-1,RDRI,2025-06-30T00:00:00+00:00,2025-07-01T00:00:00+00:00,2025-08-29T12:49:32.231034+00:00
RDRI,2025-07-08,33,2025-07-08T15:23:00Z,15.0,,,,,AG-ASTK08,2__ASTAT008,RDRI,2025-07-08T00:00:00+00:00,2025-07-09T00:00:00+00:00,2025-08-29T12:49:33.780992+00:00
RDRI,2025-07-09,17,2025-07-09T07:11:00Z,999.0,,,,,AG-GFLX08,2__GFLEX008,RDRI,2025-07-09T00:00:00+00:00,2025-07-10T00:00:00+00:00,2025-08-29T12:49:33.853662+00:00
