portal,DNO_Group,dataset_id,title,description,modified,license,visibility,has_records,tags,record_count,explore_link,api_link
electricitynorthwest.opendatasoft.com,ENWL,enwl_dfes_local_authority_polygons,SP ENW - External Data - Local Authority Polygons,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - Local Authority Polygon Data</b>
</p>

<p>
Interlocking polygons depicting Local Authority boundaries within the SP Electricity North West control area. 
<br>
<br>
Polygons depicted along the Electricity North West boundary may not represent the entire Local Authority - As only the segment within Electricity North West's control area will be represented.
</p>




<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>



<hr>

<p>
If you have any query related to this ENWL Local Authority Polygon Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Local%20Authority%20Polygons"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>


<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-28 11:19:15+00:00,Open Government Licence v3.0,domain,True,"Local Authority, Ordnance Survey, OS, DFESMAP",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl_dfes_local_authority_polygons/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl_dfes_local_authority_polygons
electricitynorthwest.opendatasoft.com,ENWL,enwl_dfes_county_polygons,SP ENW - External Data - County Polygons,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - County Polygon Data</b>
</p>

<p>
Interlocking polygons depicting County boundaries within the SP Electricity North West control area. 
<br>
<br>
Polygons depicted along the SP Electricity North West boundary may not represent the entire County - As only the segment within SP Electricity North West's control area will be represented.
</p>

Note
<br><br>


The County defined as 'Other' - Includes areas from Cheshire, North Yorkshire, Derbyshire, Northumberland, Merseyside, Staffordshire.
<br><br>
The County defined as 'Cumberland' - Originated from the split of Cumbria.


<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>





<hr>

<p>
If you have any query related to this ENWL County Polygon Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20County%20Polygons"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>


<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-28 11:17:44+00:00,Open Government Licence v3.0,domain,True,"County, Polygon, Ordnance Survey, OS, DFESMAP",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl_dfes_county_polygons/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl_dfes_county_polygons
electricitynorthwest.opendatasoft.com,ENWL,enwl-flexibility-tender-site-requirements,SP ENW - Flexibility Tender - Site Requirements,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - Flexibility Tender - Site Requirements</b></p>
<p>
Data associated with the current anticipated requirement for Flexible Services for which SP ENW are tendering. 
</p>
<p>
The Flexibility Tender Data can be viewed on a map together with the relevant postcode data 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/flexibility_map"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
We are now also making Historic Flexibility Tender Data available for reference, the dataset can be found
<a href=""https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-historical-flexibility-tender-site-requirements/information/"">
<span style=""font-weight: bolder;"">HERE</span></a>


or, it can be viewed on a map together with the current Tender information 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/flexibilitytendersiterequirement"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p><p></p>

<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>


<hr>
<p>
If you have any query related to the Flexibility Tender Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Flexibility%20Tender%20Site%20Requirements"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-28 08:40:19+00:00,CC BY 4.0,domain,True,"Flexibility, DSR, Services, Demand, Side, Response, Flexible, Latest, Appendix 3, Requirements, Tender, FlexMap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-flexibility-tender-site-requirements/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl-flexibility-tender-site-requirements
electricitynorthwest.opendatasoft.com,ENWL,primacy-risk-of-conflict-report,SP ENW - Primacy Risk of Conflict Report,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - Primacy – Risk of Conflict Report</b>
</p>
<p>
This is the risk of conflict report which is shared as part of the Primacy Open Networks Project Working group.
</p>
<p>
The template has been designed in accordance with the recommendations made within the 
<a href=""https://www.energynetworks.org/industry-hub/resource-library-old/on22-ws1a-p5-primacy-draft-rules-increment-1-(28-apr-2022).pdf"" target=""_blank"">WS1A 2022 - Product 5 report
</a>.
</p>

<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>


<hr>
<p>
If you have any query related to this Primacy Risk of Conflict Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Primacy%20Risk%20of%20Conflict%20Report"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p>
<b>*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b>
</p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-28 06:58:05+00:00,CC BY 4.0,domain,True,"Primacy, Risk of Conflict, Flexibility, Flexible, Open Networks, ROC",,https://electricitynorthwest.opendatasoft.com/explore/dataset/primacy-risk-of-conflict-report/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/primacy-risk-of-conflict-report
electricitynorthwest.opendatasoft.com,ENWL,enwl-pry-heatmap,SP ENW - Capacity - PRY Heatmap,"<p>
<b>*Dataset content available to </b><span style=""font-weight: bolder;"">registered </span><b>users only* </b>
</p>
<p><b>SP ENW - </b><span style=""font-weight: bolder; font-size: 0.875rem;"">Capacity</span><span style=""font-weight: bolder; font-size: 0.875rem;""> - </span><b style=""font-family: inherit; font-size: 0.875rem;"">Primary Heatmap</b></p>
<p>
Dataset depicting all Primary Substations represented as interlocking Voronoi polygons, The information contained in the  dataset will enable developers to assess the level of capacity that might be available for new connections to our network. This capacity dataset contains all the available capacity information on the Primary Substations connected to our network.
</p>

<p>
The information held in this dataset, along with the three further datasets listed below
<br> 
<br>
Grid Supply Point Connection Queue 
<br>
Grid Supply Point Capacity
<br>
Bulk Supply Point Capacity
<br>
</p>

<p>
Have been combined in a map page 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/heat_map_test_4/gsp-queue-page#primary-page"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>


<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>




<hr>

<p>
If you have any query related to the Primary Capacity Heatmap data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=sp%20ENW%20Primary%20Capacity%20Heatmap"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as an SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-27 14:29:55+00:00,CC BY 4.0,domain,True,"Primary, Pry, Capacity, Heatmap, ConCap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-pry-heatmap/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl-pry-heatmap
electricitynorthwest.opendatasoft.com,ENWL,enwl-bsp-heatmap,SP ENW - Capacity - BSP Heatmap,"<p>
<b>*Dataset content available to </b><span style=""font-weight: bolder;"">registered </span><b>users only* </b>
</p>
<p><b>SP ENW - </b><span style=""font-weight: bolder; font-size: 0.875rem;"">Capacity</span><span style=""font-weight: bolder; font-size: 0.875rem;""> - </span><b style=""font-family: inherit; font-size: 0.875rem;"">Bulk Supply Point (BSP) Heatmap</b></p>
<p>
Dataset depicting all Bulk Supply Points represented as interlocking Voronoi polygons, The information contained in the  dataset will enable developers to assess the level of capacity that might be available for new connections to our network. This capacity dataset contains all the available capacity information on the Bulk Supply Points connected to our network.
</p>

<p>
The information held in this dataset, along with the three further datasets listed below
<br> 
<br>
Grid Supply Point Connection Queue 
<br>
Grid Supply Point Capacity
<br>
Primary Capacity
<br>
</p>

<p>
Have been combined in a map page 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/heat_map_test_4/gsp-queue-page#bsp-page"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>


<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>




<hr>

<p>
If you have any query related to the BSP Capacity Heatmap data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20BSP%20Capacity%20Heatmap"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account create elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-27 14:29:13+00:00,CC BY 4.0,domain,True,"BSP, Capacity, Heatmap, Bulk, Supply, Point, ConCap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-bsp-heatmap/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl-bsp-heatmap
electricitynorthwest.opendatasoft.com,ENWL,enwl-gsp-heatmap,SP ENW - Capacity - GSP Heatmap,"<p>
<b>*Dataset content available to </b><span style=""font-weight: bolder;"">registered </span><b>users only* </b>
</p>
<p><b>SP ENW - </b><span style=""font-weight: bolder; font-size: 0.875rem;"">Capacity </span><span style=""font-weight: bolder; font-size: 0.875rem;"">- </span><b style=""font-family: inherit; font-size: 0.875rem;"">Grid Supply Point (GSP) Heatmap</b></p>
<p>
Dataset depicting all Grid Supply Points represented as interlocking Voronoi polygons, The information contained in the  dataset will enable developers to assess the level of capacity that might be available for new connections to our network. This capacity dataset contains all the available capacity information on the Grid Supply Points connected to our network.
</p>

<p>
The information held in this dataset, along with the three further datasets listed below
<br> 
<br>
Grid Supply Point Connection Queue 
<br>
Bulk Supply Point Capacity
<br>
Primary Capacity
<br>
</p>

<p>
Have been combined in a map page 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/heat_map_test_4/gsp-queue-page#gsp-page"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>


<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>




<hr>

<p>
If you have any query related to the GSP Capacity Heatmap data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20GSP%20Capacity%20Heatmap"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
",2025-10-27 14:28:16+00:00,CC BY 4.0,domain,True,"GSP, Capacity, Heatmap, Grid, Supply, Point, ConCap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-gsp-heatmap/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl-gsp-heatmap
electricitynorthwest.opendatasoft.com,ENWL,dataset_roadmap0,SP ENW - Dataset Roadmap,"<p>
<b>*Dataset content available to </b><span style=""font-weight: bolder;"">registered </span><b>users only* </b>
</p>
<p><b>SP ENW - Dataset Roadmap </b></p>
<p>
Dataset listing the chronological publication of all current datasets on the portal, alongside pipeline of proposed future datasets we envisage publishing in the short to medium term.
</p>
<p>
visualisation of the information contained in this dataset is available as the custom view 'Dataset Roadmap Timeline'.




</p><hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>




<hr>

<p>
If you have any query related to the SP ENW Dataset Roadmap data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Dataset%20Roadmap"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as an SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>
<p></p>",2025-10-27 13:47:54+00:00,CC BY 4.0,domain,True,"Dataset, Roadmap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/dataset_roadmap0/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/dataset_roadmap0
electricitynorthwest.opendatasoft.com,ENWL,flexibility-half-hourly-data,SP ENW - Flexibility Tender - Half Hourly Data,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - Flexibility Tender - Half Hourly Data</b></p>
<p>
The half hourly data for the anticipated requirement for Flexible Services.
</p>

<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>


<hr>
<p>
If you have any query related to the SP ENW - Flexibility Tender - Half Hourly Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Flexibility%20Tender%20Half%20Hourly%20Data"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>

",2025-10-27 12:27:21+00:00,CC BY 4.0,domain,True,"Flexibility, Services, Half Hourly, HH, Flexible, DSR, Demand, Side, Response",,https://electricitynorthwest.opendatasoft.com/explore/dataset/flexibility-half-hourly-data/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/flexibility-half-hourly-data
electricitynorthwest.opendatasoft.com,ENWL,enwl-flexibility-tender-postcode-data,SP ENW - Flexibility Tender - Postcode Data,"<p>
<b>*Dataset content available to registered users only* </b>
</p>
<p><b>SP ENW - Flexibility Tender - Postcode Data</b></p>
<p>
Dataset aligning Postcodes with the name of the feeding Substation</p>
<p>
This Flexibility Tender Postcode Data can be viewed on a map together with the relevant Flexibility Tender Site Requirement Polygons 
  
<a href=""https://electricitynorthwest.opendatasoft.com/pages/flexibility_map"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p>
While we use reasonable endeavours to ensure that the data contained within this dataset is accurate, we do not accept any responsibility or liability for the accuracy or the completeness of the content held, or for any loss which may arise from reliance on this dataset and/or its related information.
</p>


<hr>
<p>
If you have any query related to the Flexibility Tender Postcode Data, please contact us 
<a href=""mailto:dataportal@enwl.co.uk?subject=SP%20ENW%20Flexibility%20Tender%20Postcode%20Data"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<hr>

<p><b>
*Actual dataset content is available to registered users only – If you have not already done so, log-in or create new account below* </b></p>


<p>
New User?  -  Create your new account   
<a href=""https://electricitynorthwest.opendatasoft.com/signup/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<p>
Already registered as a SP ENW Portal User?  -  Log-In 
<a href=""https://electricitynorthwest.opendatasoft.com/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>

<p>
Have you an ODS Portal account created elsewhere?  -  Log-In
<a href=""https://electricitynorthwest.opendatasoft.com/signup/login/"">
<span style=""font-weight: bolder;"">HERE</span></a>
</p>
<hr>

",2025-10-27 11:49:36+00:00,CC BY 4.0,domain,True,"Flexibility, Postcode, Flexible, FlexMap",,https://electricitynorthwest.opendatasoft.com/explore/dataset/enwl-flexibility-tender-postcode-data/,https://electricitynorthwest.opendatasoft.com/api/explore/v2.1/catalog/datasets/enwl-flexibility-tender-postcode-data
