portal,DNO_Group,dataset_id,title,description,modified,license,visibility,has_records,tags,record_count,explore_link,api_link
northernpowergrid.opendatasoft.com,NPg,primacy-risk-of-conflict-report,Primacy risk of conflict report,"<p class=""MsoNormal"">This report on the risk of conflict was prepared as part of
the Primacy Open Networks Project Working Group. </p><p class=""MsoNormal"">The template follows the
recommendations from the <a href=""https://www.energynetworks.org/assets/images/Resource%20library/ON22-WS1A-P5%20Primacy%20Draft%20Rules%20Report%20(28%20Apr%202022)%20published.pdf?1741692709"">WS1A
2022 - Product 5 report</a>.<o:p></o:p></p>",2025-10-01 10:17:47+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"National Grid, Methodology",1,https://northernpowergrid.opendatasoft.com/explore/dataset/primacy-risk-of-conflict-report/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/primacy-risk-of-conflict-report
northernpowergrid.opendatasoft.com,NPg,distinct-portal-users-per-month,Distinct Portal Users Per Month,"<p><span style=""font-family: Calibri, sans-serif; font-size: 16px;"">Our Distinct Portal Users Per Month dataset provides information on the number of users accessing our Open Data Portal in a rolling 3 month window, meaning the first and current months will tend to be incomplete. These figures are highlighted via KPI cards on the home page.</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.
</span></font></p>


<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">N/A</span></font></p><font face=""Calibri, sans-serif"">


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>
<p>This dataset does <b>NOT </b>require a login to view</p>
<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""></span></font></p></font>",2025-04-17 07:55:29+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"KPIs, Portal",8,https://northernpowergrid.opendatasoft.com/explore/dataset/distinct-portal-users-per-month/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/distinct-portal-users-per-month
northernpowergrid.opendatasoft.com,NPg,ltds-cim-examples,LTDS CIM Examples,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
Our Common Information Model (CIM) combines the historical network data sharing through the Long Term Development Statement (LTDS) with NPg's network models. The CIM models allow any external stakeholder to download our network models and import them into their power systems analysis software, regardless if it is the same software as used by NPg.</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
The CIM process facilitates the exchange of a comprehensive set of network model data, including equipment, connectivity, operational, geographical, and situational data, in extensible markup language (XML) and resource description framework (RDF) formats.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
Please note, these files have been uploaded as early examples as to the direction of the LTDS data sharing process. Any data issues will be corrected in the full release in November 2025.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>

<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2025-03-21 13:03:28+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Common Information Model (CIM), Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-cim-examples/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-cim-examples
northernpowergrid.opendatasoft.com,NPg,distribution-substation-service-areas,Distribution Substation Service Areas,"<p><span style=""font-family: Calibri, sans-serif; font-size: 16px;"">Our Distribution Substation Service Areas dataset contains the approximate areas served by Northern Powergrids distribution substations. Independent Distribution Network Operator (IDNO) regions have also been added from our </span><a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/idno_regions/information/?disjunctive.local_authority"" style=""font-family: Calibri, sans-serif; font-size: 16px; background-color: rgb(255, 255, 255);"" target=""_blank"">IDNO dataset.</a><span style=""font-family: Calibri, sans-serif; font-size: 16px;""> </span></p><p><span style=""font-family: Calibri, sans-serif; font-size: 16px;"">These areas are approximations and should not be used in place of a genuine connections study for identifying what part of our network a property/service is connected to</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description. A methodology for this dataset can be downloaded from the attachment section below.</span></font></p>


<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p><p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/map/portal_map/?location=8,54.51311,-1.34583&amp;basemap=jawg.streets"" target=""_blank"">Portal Wide Map</a> - Our Portal Wide Map visualises multiple datasets preloaded onto one map to provide a starting point for our users</span></font></p><font face=""Calibri, sans-serif"">


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>
<p>This dataset <b>DOES </b>require a login to view</p>
<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""></span></font></p></font>",2024-12-18 12:56:30+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Shapefile, Low Voltage (LV), Methodology",,https://northernpowergrid.opendatasoft.com/explore/dataset/distribution-substation-service-areas/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/distribution-substation-service-areas
northernpowergrid.opendatasoft.com,NPg,ltds-appendix-3,LTDS Appendix 3 - Circuit Data,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">Our LTDS Appendix 3 dataset contains EHV circuit data from across Northern Powergrid's network. The naming convention for the circuit nodes is made up of the substation name, transformer number or busbar name. In some instances, abbreviations may be used on circuits where the node represents a circuit tee or set of isolators etc. All R, X and B impedance data detailed in this table are given as a percentage on 100 MVA base. The rating of each section is defined as either the continuous rating for cables or spring/autumn rating for overhead lines. </span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2024-11-01 11:13:13+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Circuit, Ratings, Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-appendix-3/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-appendix-3
northernpowergrid.opendatasoft.com,NPg,technical-library,Technical Library,"<p>This dataset contains a list of NPg Code of Practice (CoP) and Technical Specification documents. For ease of use, we suggest using the ""Index"" tab as these have custom column widths to allow all the text to be visible.</p><p><br></p><p>This dataset has been temporarily removed due to documents falling out of date. To find the most recent documents, check out our main website here: <a href=""https://www.northernpowergrid.com/document-library"" target=""_blank"">https://www.northernpowergrid.com/document-library</a><a href=""https://www.northernpowergrid.com/document-library"" target=""_blank""></a> .</p>",2024-09-30 12:57:42+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,Technical Specifications,,https://northernpowergrid.opendatasoft.com/explore/dataset/technical-library/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/technical-library
northernpowergrid.opendatasoft.com,NPg,ltds-appendix-4,LTDS Appendix 4 - Transformer Data,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">Our LTDS Appendix 4 dataset details data relating to the transformers found at Northern Powergrid's primary substations and supply points. The data includes naming conventions, primary and secondary nameplate voltages, R/X/B impedance values, and tap changer information e.g. connections and tapping ranges.
</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/primary_dashboard/"">Primary Substation Dashboard</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Primary substation dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a Primary substation.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/gsp_dashboard/"">Grid Supply Point (GSP) Dashboard </a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Grid Supply Point (GSP) dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a GSP.</span></p>



<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2024-02-27 11:11:25+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Transformer, Ratings, Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-appendix-4/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-appendix-4
northernpowergrid.opendatasoft.com,NPg,ltds-appendix-5,LTDS Appendix 5 - Load Information,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
Our LTDS Appendix 5 dataset provides demand data from each primary substation and supply point on Northern Powergrid's network. Further details include firm capacity, past demand, and future demand forecasts spanning the next five years.</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/primary_dashboard/"">Primary Substation Dashboard</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Primary substation dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a Primary substation.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/gsp_dashboard/"">Grid Supply Point (GSP) Dashboard </a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Grid Supply Point (GSP) dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a GSP.</span></p>


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2024-02-27 11:08:44+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Demand, Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-appendix-5/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-appendix-5
northernpowergrid.opendatasoft.com,NPg,ltds-appendix-6,LTDS Appendix 6 - Fault Level Data,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
Our LTDS Appendix 6 dataset contains data on faults, fault calculations and fault conditions on Northern Powergrid's HV and EHV circuits.
</span></p>

<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
The data within Appendix 6 was derived from the latest Fault Level Survey and the values quoted are based on connected generation. This does not include any future connected generation (accepted schemes). Further details relating to the Fault Level Survey are available upon request. Any prospective customer requiring updated fault level information for a particular network node may request that information on a bespoke basis.

</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/primary_dashboard/"">Primary Substation Dashboard</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Primary substation dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a Primary substation.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/gsp_dashboard/"">Grid Supply Point (GSP) Dashboard </a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Grid Supply Point (GSP) dashboard allows you to pull out data from across our Open Data Portal dependant on your selection of a GSP.</span></p>


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2024-02-27 11:03:40+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Fault Level, Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-appendix-6/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-appendix-6
northernpowergrid.opendatasoft.com,NPg,ltds-appendix-7,LTDS Appendix 7 - Generation,"<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
Our LTDS Appendix 7 dataset contains data regarding generation on Northern Powergrid's network. The generation associated with each GSP, supply point and primary substation are included.
</span></p>

<p><span style=""font-size: 16px; font-family: Calibri, sans-serif;"">
Our latest <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/embedded-capacity-register/"">Embedded Capacity Register</a>, which is updated monthly, provides up to date information on the total generation connected, or with an accepted quotation to connect, at each of our major substations, with a generation capacity of 1MW or greater. There is a new <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/embedded-capacity-register-part-2/"">supplement to the Embedded Capacity Register</a> that now includes generators from 50kW to 1MW.

</span></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;""> 
If you are unsure of any of the column meanings, please hover over the column heading for a description.</span></font></p>

<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Related Feature Pages</b></span></font></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ltds/"">Long-Term Development Statement (LTDS)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our LTDS provides essential network and asset information required to carry out studies of the NPg network to access potential connection points.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/ecr/"">Embedded Capacity Register (ECR)</a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Embedded Capacity Register provides information on generation and storage sites, both connected to and accepted to connect to our network.</span></p>

<p class=""""><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;""><a href=""https://northernpowergrid.opendatasoft.com/pages/generation_dashboard/"">Generation Dashboard </a> - </span><span style=""color: rgb(52, 51, 51); font-family: Calibri, sans-serif; font-size: 16px;"">Our Generation Dashboard presents information from our Embedded Capacity Register in a more visual format.</span></p>


<p><span style=""font-weight: bolder; font-family: Calibri, sans-serif; font-size: 20px;"">Glossary of Terms</span></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">Our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/glossary-of-terms/custom/"" target=""_blank"">Glossary</a> dataset provides definitions for various terms and acronyms found throughout our data. If the term you are searching for isn't in our list, please let us know via our <a href=""mailto:opendata@northernpowergrid.com?subject=Glossary Term"" style=""font-weight:bold"">Open Data team</a> and we will get it added!</span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 20px;""><b>Data Governance</b></span></font></p>
<p><font face=""Calibri, sans-serif""><span style=""font-size: 16px;"">If you wish to view the data triage document for any dataset, they can be found in our <a href=""https://northernpowergrid.opendatasoft.com/explore/dataset/data-triage-assessments/information/"" target=""_blank"">Data Triage Assessment</a> dataset.</span></font></p>

<p>This dataset <b>DOES </b>require a login to view</p>

<p>Any data caveats for the dataset are listed below</p>
<p>- None</p>",2024-02-27 11:01:34+00:00,Northern Powergrid Open Data Licence v1.0,domain,True,"Long Term Development Statement (LTDS), Generation, Storage, Extra High Voltage (EHV)",,https://northernpowergrid.opendatasoft.com/explore/dataset/ltds-appendix-7/,https://northernpowergrid.opendatasoft.com/api/explore/v2.1/catalog/datasets/ltds-appendix-7
