portal,DNO_Group,dataset_id,title,description,modified,license,visibility,has_records,tags,record_count,explore_link,api_link
spenergynetworks.opendatasoft.com,SPEN,customer_connections_profile_census_area,Customer Connections Profile - Census Area,"<p>The ""<b>Customer Connections Profile - Census Area</b>"" data table provides summary information on the number of import and export customers, by connection voltage and customer type, at Census Zone level (Datazones in Scotland, Output Areas in England &amp; Wales). </p><p>This data has been published to give the users information which allows them to better understand the types of demand and generation for each level of aggregation.</p><p>The table gives the following information:</p><ol><li>A unique identifier for each record (the Census Zone Name, the LV Transformer ENID, the HV Circuit ID, the Primary Substation ENID).</li><li>The number of SPEN connections in each of the groups (import and export, LV / HV / EHV).</li></ol><p>For additional information on column definitions, please click the Dataset schema link below.  </p><h3 class="""">Disclaimer</h3><p>Whilst all reasonable care has been taken in the preparation of this data, SP Energy Networks does not accept any responsibility or liability for the accuracy or completeness of this data, and is not liable for any loss that may be attributed to the use of this data. For the avoidance of doubt, this data should not be used for safety critical purposes without the use of appropriate safety checks and services  e.g. LineSearchBeforeUDig etc. Please raise any potential issues with the data which you have received via the feedback form available at the Feedback tab above (must be logged in to see this). </p><p>Cells where the residential customer count is four properties or less have been set to null in the published tables. </p><h3 class="""" style=""color: rgb(0, 0, 0);"">Data Triage</h3><p>As part of our commitment to enhancing the transparency, and accessibility of the data we share, we publish the results of our Data Triage process.</p><p>Our Data Triage documentation includes our Risk Assessments; detailing any controls we have implemented to prevent exposure of sensitive information.  Click <a href=""https://www.spenergynetworks.co.uk/userfiles/file/Flexibility_Market_Research_Data_SPEN_025_Triage_Process.pdf"" target=""_blank"">here</a> to access the Data Triage documentation for the Distribution Network Live Outages dataset. </p><p></p><p style=""margin-bottom: 0px;"">To access our full suite of Data Triage documentation, visit the <a href=""https://www.spenergynetworks.co.uk/pages/data_information_sharing.aspx"" style="""" target=""_blank"">SP Energy Networks Data &amp; Information</a>.</p><p style=""margin-bottom: 0px;""><span style=""font-weight: bolder;""><br></span></p><p style=""margin-bottom: 0px;""><a 14px;="""" 400;""="""" arial,="""" font-family:="""" font-size:="""" font-weight:="""" href=""https://spenergynetworks.opendatasoft.com/explore/dataset/metadata-catalogue/download/?format=json&amp;refine.dataset_id=customer_connections_profile_census_area"">Download dataset metadata (JSON)</a></p>",2025-10-28 08:34:04+00:00,,domain,True,"Flexibility, Customer Counts, Census Zones",,https://spenergynetworks.opendatasoft.com/explore/dataset/customer_connections_profile_census_area/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/customer_connections_profile_census_area
spenergynetworks.opendatasoft.com,SPEN,spen_data_quality_operational_forecasting,Operational Forecasting (SPEN_011) Data Quality Checks,"<p>This data table provides the detailed data quality assessment scores for the Operational Forecasting dataset.  The quality assessment was carried out on the 31st of March.  </p><p>At SPEN, we are dedicated to sharing high-quality data with our stakeholders and being transparent about its' quality. This is why we openly share the results of our data quality assessments. We collaborate closely with Data Owners to address any identified issues and enhance our overall data quality.  To demonstrate our progress we conduct, at a minimum, bi-annual assessments of our data quality - for datasets that are refreshed more frequently than this, please note that the quality assessment may be based on an earlier version of the dataset.  To learn more about our approach to how we assess data quality, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"" rel=""noreferrer noopener"" target=""_blank"" title=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"">Data Quality - SP Energy Networks</a>.</p><p>We welcome feedback and questions from our stakeholders regarding this process. Our Open Data Team is available to answer any enquiries or receive feedback on the assessments. You can contact them via our Open Data mailbox at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a>.</p><p>The first phase of our comprehensive data quality assessment measures the quality of our datasets across three dimensions. Please refer to the data table schema for the definitions of these dimensions.  We are now in the process of expanding our quality assessments to include additional dimensions to provide a more comprehensive evaluation and will update the data tables with the results when available.</p><h3 class="""">Disclaimer</h3><p><a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk""></a>The data quality assessment may not represent the quality of the current dataset that is published on the Open Data Portal.  Please check the date of the latest quality assessment and compare to the 'Modified' date of the corresponding dataset.  The data quality assessments will be updated on either a quarterly or annual basis, dependent on the update frequency of the dataset.  This information can be found in the dataset metadata, within the Information tab.  If you require a more up to date quality assessment, please contact the Open Data Team at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a> and a member of the team will be in contact.  </p>",2025-10-20 07:42:55+00:00,,domain,True,Data Quality,,https://spenergynetworks.opendatasoft.com/explore/dataset/spen_data_quality_operational_forecasting/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spen_data_quality_operational_forecasting
spenergynetworks.opendatasoft.com,SPEN,spen_data_quality_historic_faults,Historic Faults (SPEN_019) Data Quality Checks,"<p>This data table provides the detailed data quality assessment scores for the Historic Faults dataset.  The quality assessment was carried out on the 23rd of September 2025.  </p><p>At SPEN, we are dedicated to sharing high-quality data with our stakeholders and being transparent about its' quality. This is why we openly share the results of our data quality assessments. We collaborate closely with Data Owners to address any identified issues and enhance our overall data quality.  To demonstrate our progress we conduct, at a minimum, bi-annual assessments of our data quality - for datasets that are refreshed more frequently than this, please note that the quality assessment may be based on an earlier version of the dataset.  To learn more about our approach to how we assess data quality, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"" rel=""noreferrer noopener"" target=""_blank"" title=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"">Data Quality - SP Energy Networks</a></p><p>We welcome feedback and questions from our stakeholders regarding this process. Our Open Data Team is available to answer any enquiries or receive feedback on the assessments. You can contact them via our Open Data mailbox at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a>.</p><p>The first phase of our comprehensive data quality assessment measures the quality of our datasets across three dimensions. Please refer to the data table schema for the definitions of these dimensions.  We are now in the process of expanding our quality assessments to include additional dimensions to provide a more comprehensive evaluation and will update the data tables with the results when available.</p><h3 class="""">Disclaimer</h3><p>The data quality assessment may not represent the quality of the current dataset that is published on the Open Data Portal.  Please check the date of the latest quality assessment and compare to the 'Modified' date of the corresponding dataset.  The data quality assessments will be updated on either a quarterly or annual basis, dependent on the update frequency of the dataset.  This information can be found in the dataset metadata, within the Information tab.  If you require a more up to date quality assessment, please contact the Open Data Team at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a> and a member of the team will be in contact.  </p>",2025-09-24 09:38:37+00:00,,domain,True,Data Quality,,https://spenergynetworks.opendatasoft.com/explore/dataset/spen_data_quality_historic_faults/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spen_data_quality_historic_faults
spenergynetworks.opendatasoft.com,SPEN,generator-type,Curtailment: Generator Type,"<p></p><p>The ""<b>Curtailment: Generator Type</b>"" data table details the total measured curtailment <b>aggregated by technology type</b>.</p><p>At this time, only curtailment events measured and recorded by our Active Network Management (ANM) system are captured.</p><p>The table gives the following information:</p><ol><li>Aggregated related capacity of ANM sites</li><li>Past three months ASEFA</li><li>Past three months ASC</li></ol><p>For additional information on column definitions, please click the Dataset schema link below.  </p><h3 class="""">Disclaimer</h3><p>Whilst all reasonable care has been taken in the preparation of this data, SP Energy Networks does not accept any responsibility or liability for the accuracy or completeness of this data, and is not liable for any loss that may be attributed to the use of this data. For the avoidance of doubt, this data should not be used for safety critical purposes without the use of appropriate safety checks and services  e.g. LineSearchBeforeUDig etc. Please raise any potential issues with the data via the feedback form available at the Feedback tab above (must be logged in to see this). </p><p>Some values are left blank in the dataset given that from February 2021 a number of customers connected under the Dunbar ANM system moved to an unconstrained connection and therefore no data is published beyond that point. </p><h3 class="""">Data Triage</h3><p>As part of our commitment to enhancing the transparency, and accessibility of the data we share, we publish the results of our Data Triage process.</p>Our Data Triage documentation includes our Risk Assessments; detailing any controls we have implemented to prevent exposure of sensitive information.  Click <a href=""https://www.spenergynetworks.co.uk/userfiles/file/Curtailment_SPEN_009_Triage_Process.pdf"" target=""_blank"">here</a> to access the Data Triage documentation for the Curtailment dataset. <p></p><p>To access our full suite of Data Triage documentation, visit the <a href=""https://www.spenergynetworks.co.uk/pages/data_information_sharing.aspx"" target=""_blank"">SP Energy Networks Data &amp; Information</a>.</p><p><a href=""https://spenergynetworks.opendatasoft.com/explore/dataset/metadata-catalogue/download/?format=json&amp;refine.dataset_id=generator-type"">Download dataset metadata (JSON)</a></p>",2025-07-30 13:31:28+00:00,,domain,True,"Curtailment, ANM, Generator",,https://spenergynetworks.opendatasoft.com/explore/dataset/generator-type/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/generator-type
spenergynetworks.opendatasoft.com,SPEN,gsp,Curtailment: GSP,"<p></p><p>The ""<b>Curtailment: GSP</b>"" data table details the total measured curtailment <b>aggregated at a GSP level</b>.</p><p>At this time only curtailment events measured and recorded by our Active Network Management (ANM) system are captured.</p><p>The table gives the following information:</p><ol><li>Aggregated related capacity of ANM sites</li><li>Past three months ASEFA</li><li>Past three months ASC</li></ol><p>For additional information on column definitions, please click the Dataset schema link below.  </p><h3 class="""">Disclaimer</h3><p>Whilst all reasonable care has been taken in the preparation of this data, SP Energy Networks does not accept any responsibility or liability for the accuracy or completeness of this data, and is not liable for any loss that may be attributed to the use of this data. For the avoidance of doubt, this data should not be used for safety critical purposes without the use of appropriate safety checks and services  e.g. LineSearchBeforeUDig etc. Please raise any potential issues with the data via the feedback form available at the Feedback tab above (must be logged in to see this). </p><p>Some values are left blank in the dataset given that from February 2021 a number of customers connected under the Dunbar ANM system moved to an unconstrained connection and therefore no data is published beyond that point. </p><h3 class="""">Data Triage</h3><p>As part of our commitment to enhancing the transparency, and accessibility of the data we share, we publish the results of our Data Triage process.</p>Our Data Triage documentation includes our Risk Assessments; detailing any controls we have implemented to prevent exposure of sensitive information.  Click <a href=""https://www.spenergynetworks.co.uk/userfiles/file/Curtailment_SPEN_009_Triage_Process.pdf"" target=""_blank"">here</a> to access the Data Triage documentation for the Curtailment dataset. <p></p><p></p><p>To access our full suite of Data Triage documentation, visit the <a href=""https://www.spenergynetworks.co.uk/pages/data_information_sharing.aspx"" target=""_blank"">SP Energy Networks Data &amp; Information</a>.</p><p><a href=""https://spenergynetworks.opendatasoft.com/explore/dataset/metadata-catalogue/download/?format=json&amp;refine.dataset_id=gsp"">Download dataset metadata (JSON)</a></p><p></p>",2025-07-30 13:30:30+00:00,,domain,True,"Curtailment, ANM, GSP",,https://spenergynetworks.opendatasoft.com/explore/dataset/gsp/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/gsp
spenergynetworks.opendatasoft.com,SPEN,spen_data_quality_transmission_generation_heat_map,Transmission Generation Heat Map (SPEN_017) Data Quality Checks,"<p>This data table provides the detailed data quality assessment scores for the Transmission Generation Heat Map.  The quality assessment was carried out on the 31st of March.  </p><p>At SPEN, we are dedicated to sharing high-quality data with our stakeholders and being transparent about its' quality. This is why we openly share the results of our data quality assessments. We collaborate closely with Data Owners to address any identified issues and enhance our overall data quality.  To demonstrate our progress we conduct, at a minimum, bi-annual assessments of our data quality - for datasets that are refreshed more frequently than this, please note that the quality assessment may be based on an earlier version of the dataset. To learn more about our approach to how we assess data quality, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"" rel=""noreferrer noopener"" target=""_blank"" title=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"">Data Quality - SP Energy Networks</a></p><p>We welcome feedback and questions from our stakeholders regarding this process. Our Open Data Team is available to answer any enquiries or receive feedback on the assessments. You can contact them via our Open Data mailbox at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a>.</p><p>The first phase of our comprehensive data quality assessment measures the quality of our datasets across three dimensions. Please refer to the dataset schema for the definitions of these dimensions.   We are now in the process of expanding our quality assessments to include additional dimensions to provide a more comprehensive evaluation and will update the data tables with the results when available.</p><h3 class="""">Disclaimer</h3><p>The data quality assessment may not represent the quality of the current dataset that is published on the Open Data Portal.  Please check the date of the latest quality assessment and compare to the 'Modified' date of the corresponding dataset.  The data quality assessments will be updated on either a quarterly or annual basis, dependent on the update frequency of the dataset.  This information can be found in the dataset metadata, within the Information tab.  If you require a more up to date quality assessment, please contact the Open Data Team at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a> and a member of the team will be in contact.</p>",2025-03-28 16:18:29+00:00,,domain,True,Data Quality,,https://spenergynetworks.opendatasoft.com/explore/dataset/spen_data_quality_transmission_generation_heat_map/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spen_data_quality_transmission_generation_heat_map
spenergynetworks.opendatasoft.com,SPEN,spen_data_quality_ndp,Network Development Plan (SPEN_003) Data Quality Checks,"<p>This data table provides the detailed data quality assessment scores for the Network Development Plan dataset.  The quality assessment was carried out on 31st March. </p><p>At SPEN, we are dedicated to sharing high-quality data with our stakeholders and being transparent about its' quality. This is why we openly share the results of our data quality assessments. We collaborate closely with Data Owners to address any identified issues and enhance our overall data quality; to demonstrate our progress we conduct annual assessments of our data quality in line with the dataset refresh rate.  To learn more about our approach to how we assess data quality, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"" rel=""noreferrer noopener"" target=""_blank"" title=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"">Data Quality - SP Energy Networks</a>.</p><p>We welcome feedback and questions from our stakeholders regarding this process. Our Open Data Team is available to answer any enquiries or receive feedback on the assessments. You can contact them via our Open Data mailbox at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a>.</p><p>The first phase of our comprehensive data quality assessment measures the quality of our datasets across three dimensions. Please refer to the data table schema for the definitions of these dimensions.  We are now in the process of expanding our quality assessments to include additional dimensions to provide a more comprehensive evaluation and will update the data tables with the results when available.</p><h3 class="""">Disclaimer</h3><p>The data quality assessment may not represent the quality of the current dataset that is published on the Open Data Portal.  Please check the date of the latest quality assessment and compare to the 'Modified' date of the corresponding dataset.  The data quality assessments will be updated on either a quarterly or annual basis, dependent on the update frequency of the dataset.  This information can be found in the dataset metadata, within the Information tab.  If you require a more up to date quality assessment, please contact the Open Data Team at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a> and a member of the team will be in contact.  </p>",2025-03-28 16:14:05+00:00,,domain,True,Data Quality,,https://spenergynetworks.opendatasoft.com/explore/dataset/spen_data_quality_ndp/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spen_data_quality_ndp
spenergynetworks.opendatasoft.com,SPEN,spen_data_quality_secondary_substation,Secondary Network (SPEN_015) Data Quality Checks,"<p>This data table provides the detailed data quality assessment scores for the Secondary Network dataset.  The quality assessment was carried out on 31st March.  </p><p>At SPEN, we are dedicated to sharing high-quality data with our stakeholders and being transparent about its' quality. This is why we openly share the results of our data quality assessments. We collaborate closely with Data Owners to address any identified issues and enhance our overall data quality; to demonstrate our progress we conduct annual assessments of our data quality in line with the dataset refresh rate.  To learn more about our approach to how we assess data quality, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"" rel=""noreferrer noopener"" target=""_blank"" title=""http://www.spenergynetworks.co.uk/pages/data_quality.aspx"">Data Quality - SP Energy Networks</a>.</p><p>We welcome feedback and questions from our stakeholders regarding this process. Our Open Data Team is available to answer any enquiries or receive feedback on the assessments. You can contact them via our Open Data mailbox at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a>.</p><p>The first phase of our comprehensive data quality assessment measures the quality of our datasets across three dimensions. Please refer to the data table schema for the definitions of these dimensions.  We are now in the process of expanding our quality assessments to include additional dimensions to provide a more comprehensive evaluation and will update the data tables with the results when available.</p><h3 class="""">Disclaimer</h3><p>The data quality assessment may not represent the quality of the current dataset that is published on the Open Data Portal.  Please check the date of the latest quality assessment and compare to the 'Modified' date of the corresponding dataset.  The data quality assessments will be updated on either a quarterly or annual basis, dependent on the update frequency of the dataset.  This information can be found in the dataset metadata, within the Information tab.  If you require a more up to date quality assessment, please contact the Open Data Team at <a href=""mailto:opendata@spenergynetworks.co.uk"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:opendata@spenergynetworks.co.uk"">opendata@spenergynetworks.co.uk</a> and a member of the team will be in contact.  </p>",2025-03-28 16:12:22+00:00,,domain,True,Data Quality,,https://spenergynetworks.opendatasoft.com/explore/dataset/spen_data_quality_secondary_substation/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spen_data_quality_secondary_substation
spenergynetworks.opendatasoft.com,SPEN,dfes_ods_spm_localauthority_polygons,SPM DFES Local Authorities Polygons,"<p>The ""<b>SPM DFES Local Authorities Polygons</b>"" data table provides the geographic areas supplied by the corresponding demand group. It contains information for both primary substation groups and Grid Supply Point (GSP) groups.</p><p>The table provides the following information:</p><ol><li>Geo point per local authority</li><li>Geo shape per local authority</li></ol><p>For additional information on column definitions, please click the Dataset schema link below.  </p><h3 class="""">Disclaimer</h3><p>Whilst all reasonable care has been taken in the preparation of this data, SP Energy Networks does not accept any responsibility or liability for the accuracy or completeness of this data, and is not liable for any loss that may be attributed to the use of this data. For the avoidance of doubt, this data should not be used for safety critical purposes without the use of appropriate safety checks and services  e.g. LineSearchBeforeUDig etc. Please raise any potential issues with the data which you have received via the feedback form available at the Feedback tab above (must be logged in to see this). </p><p>Primary substation areas are approximated using the positions of the HV feeders supplied by the group, and GSP areas are the summation of the primary areas supplied by that GSP group. In reality, there is some overlap in the supply areas, particularly at the lower voltage levels. This overlap is not captured by this dataset.</p>
<h3 class="""">Data Triage</h3><p>As part of our commitment to enhancing the transparency, and accessibility of the data we share, we publish the results of our Data Triage process.</p><p>Our Data Triage documentation includes our Risk Assessments; detailing any controls we have implemented to prevent exposure of sensitive information. Click <a href=""https://www.spenergynetworks.co.uk/userfiles/file/Distribution_Future_Energy_Scenarios_SPEN_001_Triage_Process.pdf"" target=""_blank"">here</a><a href=""https://www.spenergynetworks.co.uk/userfiles/file/Distribution_Future_Energy_Scenarios_SPEN_001_Triage_Process.pdf"" target=""_blank""> </a>to access the Data Triage documentation for the Distribution Future Energy Scenarios dataset.</p><p>To access our full suite of  Data Triage documentation, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_information_sharing.aspx#ReOrder"" target=""_blank"">the SP Energy Networks Data &amp; Information page</a>.</p><p><a href=""https://spenergynetworks.opendatasoft.com/explore/dataset/metadata-catalogue/download/?format=json&amp;refine.dataset_id=dfes_ods_spm_localauthority_polygons"">Download dataset metadata (JSON)</a></p>",2025-02-07 09:37:52+00:00,,domain,True,"DFES, Polygon, Supply Area, Substations",,https://spenergynetworks.opendatasoft.com/explore/dataset/dfes_ods_spm_localauthority_polygons/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/dfes_ods_spm_localauthority_polygons
spenergynetworks.opendatasoft.com,SPEN,spm-nshr-data-workbook,NDP Part 2: Network Scenario Headroom Report SPM,"<p>The ""<b>NDP Part 2: Network Scenario Headroom Report SPM</b>"" data table forecasts post-intervention headroom across all network groups out to 2050. This post-intervention headroom is calculated by combining existing network models, scenario forecasts, and known intervention plans. </p><p>The Network Scenario Headroom Report data files provide this information for each primary (and grid in SPM) substation/substation group for each year for ten years and every 5 years through to 2050 thereafter.</p><p>The table gives the following information:</p><ol><li>Headroom type per substation/group</li><li>Headroom in MW per substation/group</li><li>Scenario per substation/group</li></ol><p>For additional information on column definitions, please click on the Dataset schema link below.<br></p><p></p><h3 class="""">Disclaimer</h3><p>Whilst all reasonable care has been taken in the preparation of this data, SP Energy Networks does not accept any responsibility or liability for the accuracy or completeness of this data, and is not liable for any loss that may be attributed to the use of this data. For the avoidance of doubt, this data should not be used for safety critical purposes without the use of appropriate safety checks and services e.g. LineSearchBeforeUDig etc. Please raise any potential issues with the data which you have received via the feedback form available at the Feedback tab above (must be logged in to see this).</p><p></p><h3 class="""">Data Triage</h3><p>As part of our commitment to enhancing the transparency, and accessibility of the data we share, we publish the results of our Data Triage process.</p><p>Our Data Triage documentation includes our Risk Assessments; detailing any controls we have implemented to prevent exposure of sensitive information. Click<a href=""https://www.spenergynetworks.co.uk/userfiles/file/Network_Development_Plan_SPEN_003_Triage_Process.pdf"" target=""_blank"">here</a><a href=""https://www.spenergynetworks.co.uk/userfiles/file/Distribution_Future_Energy_Scenarios_SPEN_001_Triage_Process.pdf"" target=""_blank""> </a>to access the Data Triage documentation for the Network Development Plan dataset.</p><p>To access our full suite of  Data Triage documentation, visit <a href=""http://www.spenergynetworks.co.uk/pages/data_information_sharing.aspx#ReOrder"" target=""_blank"">the SP Energy Networks Data &amp; Information page</a>.</p><p><a href=""https://spenergynetworks.opendatasoft.com/explore/dataset/metadata-catalogue/download/?format=json&amp;refine.dataset_id=spm-nshr-data-workbook"">Download dataset metadata (JSON)</a></p><p></p><p></p>",2025-01-28 11:21:51+00:00,,domain,True,"SPM, NSHR, Network Scenario Headroom Report, Demand, Forecast, Generation",,https://spenergynetworks.opendatasoft.com/explore/dataset/spm-nshr-data-workbook/,https://spenergynetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/spm-nshr-data-workbook
