portal,DNO_Group,dataset_id,title,description,modified,license,visibility,has_records,tags,record_count,explore_link,api_link
ukpowernetworks.opendatasoft.com,UKPN,ukpn-iis,Interruptions Incentive Scheme,"<h2>Introduction</h2>

<p>The dataset provides detailed information about UK Power Networks' unplanned fault reporting under the Ofgem Interruptions Incentive Scheme (IIS).</p>

<p>It includes key characteristics such as:</p>

    <ul>
        <li>Date/time fault start/end</li>
<li>Number of customers affected</li>
<li>Restoration stages</li>
<li>Cause and main equipment involved</li>
<li>Status of fault in terms of its exclusion from the IIS scheme due to it being a one-off /severe weather fault</li><li>The upstream primary substation to the fault</li>
</ul>

<p>More information about the IIS can be found on Ofgem's website or this document:
<a href=""https://www.ofgem.gov.uk/sites/default/files/2023-10/RIIO-ED2%20-%20Annex%20F%20Interruptions%20v1.1.pdf"" target=""_blank"">RIIO-ED2 Regulatory Instructions and Guidance – Interruptions</a>

</p><h2>Methodological Approach</h2>

<ul>
<li>Source: IIS returns post application of Ofgem decision one status of fault in terms of its exclusion from the IIS scheme due to it being a one-off /severe weather fault</li>
<li>Manipulation: Includes all rows from unplanned fault reporting IIS returns with calculation of CI/CML removed, leaving source data only i.e. no calculated fields</li><li>Addition: Inclusion of the sitefunctional location of the upstream Primary substation and its geopoint.</li>
</ul>

<h2>Quality Control Statement</h2>
<p>The data is provided ""as is"". </p>

<h2>Assurance Statement</h2>
<p>The Regulation Team checked to ensure data accuracy and consistency.</p>

<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-iis"">Metadata (JSON)</a></p>

<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.</p><p></p>",2025-04-02 09:24:39+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-iis/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-iis
ukpowernetworks.opendatasoft.com,UKPN,ukpn-licence-area-132kv-underground-cables,UK Power Networks Licence Area 132kV Underground Cables,"<h2>Introduction</h2>
<p>Shapefile showing UK Power Networks' 132kV underground cables.</p>

<h2>Methodological Approach</h2>
    <ul>
        <li>Data Extraction: Shapefiles are extracted from our geospatial mapping system - NetMap.</li>
<li>Vectorisation: Shapefiles will be regularly updated to account for vectorisation updates.</li>
</ul>


<h2>Quality Control Statement</h2>
<p>The data is provided ""as is"".</p>

<p><strong>Please be aware that not all locations are fully vectorised yet, so the dataset provides only partial coverage.</strong> Refer to our <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_epn_vectorisation_delivery_plan/progress/?q.daterangeslider=p_ed_date:%5B2022-10+TO+2025-04%5D/"">EPN Vectorisation Delivery</a> and <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_lpn_vectorisation_delivery_plan/progress/?q.daterangeslider=p_ed_date:%5B2022-10+TO+2025-04%5D/"">LPN Vectorisation Delivery datasets.</a>

</p><h2>Assurance Statement</h2>
<p>The Open Data Team checked to ensure data accuracy and consistency.</p>

<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-licence-area-132kv-underground-cables"">Metadata (JSON)</a></p>

<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To request access to this dataset, please fill out the <a href=""https://ukpowernetworks.opendatasoft.com/explore/forms/shared-data-access-request-form/"" target=""_blank"">shared data request form</a>. To view this data please register and login.</p><p></p>",2025-03-31 14:55:45+00:00,Shared Dataset Agreement,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-licence-area-132kv-underground-cables/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-licence-area-132kv-underground-cables
ukpowernetworks.opendatasoft.com,UKPN,ukpn-licence-area-33kv-underground-cables,UK Power Networks Licence Area 33kV Underground Cables,"<h2>Introduction</h2>
<p>Shapefile showing UK Power Networks' 33kV underground cables.</p>

<h2>Methodological Approach</h2>
    <ul>
        <li>Data Extraction: Shapefiles are extracted from our geospatial mapping system - NetMap.</li>
<li>Vectorisation: Shapefiles will be regularly updated to account for vectorisation updates.</li>
</ul>


<h2>Quality Control Statement</h2>
<p>The data is provided ""as is"".</p>

<p><strong>Please be aware that not all locations are fully vectorised yet, so the dataset provides only partial coverage.</strong> Refer to our <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_epn_vectorisation_delivery_plan/progress/?q.daterangeslider=p_ed_date:%5B2022-10+TO+2025-04%5D/"">EPN Vectorisation Delivery</a> and <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_lpn_vectorisation_delivery_plan/progress/?q.daterangeslider=p_ed_date:%5B2022-10+TO+2025-04%5D/"">LPN Vectorisation Delivery datasets.</a>

</p><h2>Assurance Statement</h2>
<p>The Open Data Team checked to ensure data accuracy and consistency.</p>

<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-licence-area-33kv-underground-cables"">Metadata (JSON)</a></p>

<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p>

<p>To request access to this dataset, please fill out the 
<a href=""https://ukpowernetworks.opendatasoft.com/explore/forms/shared-data-access-request-form/""><b>shared data request form.</b></a> To view this data please register and login.</p><p></p>",2025-03-31 14:55:45+00:00,Shared Dataset Agreement,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-licence-area-33kv-underground-cables/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-licence-area-33kv-underground-cables
ukpowernetworks.opendatasoft.com,UKPN,ukpn-licence-area-66kv-underground-cables,UK Power Networks Licence Area 66kV Underground Cables,"<h2>Introduction</h2>
<p>Shapefile showing UK Power Networks' 66kV underground cables.</p>

<h2>Methodological Approach</h2>
    <ul>
        <li>Data Extraction: Shapefiles are extracted from our geospatial mapping system - NetMap.</li>
<li>Vectorisation: Shapefiles will be regularly updated to account for vectorisation updates.</li>
</ul>


<h2>Quality Control Statement</h2>
<p>The data is provided ""as is"".</p>

<p><strong>Please be aware that we have not published the dataset as we are currently vectorising LPN. Please keep an eye on our Data Roadmap for further updates on delivery. </strong>Refer to our <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_lpn_vectorisation_delivery_plan/progress/?q.daterangeslider=p_ed_date:%5B2022-10+TO+2025-04%5D/"">LPN Vectorisation Delivery dataset.</a>

</p><h2>Assurance Statement</h2>
<p>The Open Data Team checked to ensure data accuracy and consistency.</p>

<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-licence-area-66kv-underground-cables"">Metadata (JSON)</a></p>

<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p>

<p>To request access to this dataset, please fill out the 
<a href=""https://ukpowernetworks.opendatasoft.com/explore/forms/shared-data-access-request-form/""><b>shared data request form.</b></a> To view this data please register and login.</p><p></p>",2025-03-31 14:55:45+00:00,Shared Dataset Agreement,domain,False,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-licence-area-66kv-underground-cables/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-licence-area-66kv-underground-cables
ukpowernetworks.opendatasoft.com,UKPN,ukpn-grid-postcode-area,UK Power Networks Grid Substation Distribution Areas,"<h2>Introduction</h2><p>This dataset is a geospatial view of the areas fed by grid substations. The aim is to create an indicative map showing the extent to which individual grid substations feed areas based on MPAN data.</p>

<h2>Methodology</h2>
<ul>
        
<li>Data Extraction and Cleaning: MPAN data is queried from SQL Server and saved as a CSV. Invalid values and incorrectly formatted postcodes are removed using a Test Filter in FME.</li>
        
<li>Data Filtering and Assignment: MPAN data is categorized into EPN, LPN, and SPN based on the first two digits. Postcodes are assigned a Primary based on the highest number of MPANs fed from different Primary Sites.</li>
        
<li>Polygon Creation and Cleaning: Primary Feed Polygons are created and cleaned to remove holes and inclusions. Donut Polygons (holes) are identified, assigned to the nearest Primary, and merged.</li>
        
<li>Grid Supply Point Integration: Primaries are merged into larger polygons based on Grid Site relationships. ny Primaries not fed from a Grid Site are marked as NULL and labeled.</li>

        <li>Functional Location Codes (FLOC) Matching: FLOC codes are extracted and matched to Primaries, Grid Sites and Grid Supply Points. Confirmed FLOCs are used to ensure accuracy, with any unmatched sites reviewed by the Open Data Team.</li>
</ul>  


<h2>Quality Control Statement</h2>
<p>
Quality Control Measures include:
</p>
<ul>
<li>Verification steps to match features only with confirmed functional locations. </li>
<li>Manual review and correct of data inconsistencies</li>
<li>Use of additional verification steps to ensure accuracy in the methodology</li>
<li>Regular updates and reviews documented in the version history</li>
</ul>

<h2> Assurance Statement</h2>
<p>The Open Data Team and Network Data Team worked with the Geospatial Data Engineering Team to ensure data accuracy and consistency.</p>

<h2>Other</h2>

<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-grid-postcode-area"">Metadata (JSON)</a><br></p>

<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.</p>",2025-03-31 14:20:29+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-grid-postcode-area/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-grid-postcode-area
ukpowernetworks.opendatasoft.com,UKPN,ukpn_secondary_postcode_area,UK Power Networks Secondary Substation Distribution Areas,"<h2 class="""">Introduction</h2><p>A shapefile containing the postcode areas supplied by secondary substations.</p>

<h2 class="""">Methodological approach</h2>
<p>The dataset is generalised using our GIS customer
connectivity model. Each Secondary Substation's connected LV Network is traced out to its electrical extents, including all connected customers. Using the geographic position of customer connections and key network points of both the Substation being traced and surrounding Substation's network, a Voronoi diagram is created. Each Voronoi polygon that intersects with the traced network is joined together to produce a single polygon, depicting the Supply Zone.</p>

    <h2>Quality Control Statement</h2>
    <p>The data is provided ""as is"". </p>

    <h2>Assurance Statement</h2>
    <p>The Open Data team has checked the data against source to ensure data accuracy and consistency. The data domain owners have checked their respective data aspects.
</p> 


<p class=""MsoNormal"">This dataset is redacted in that any secondary sites with
less than five customers will not be included to protect privacy.<o:p></o:p></p>

<h2>Other</h2>

<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn_secondary_postcode_area"">Metadata (JSON)</a></p>
<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.<br></p>",2024-06-12 10:04:35+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn_secondary_postcode_area/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn_secondary_postcode_area
ukpowernetworks.opendatasoft.com,UKPN,ukpn-secondary-site-utilisation,UK Power Networks Secondary Site Utilisation,"<h2 class="""">Introduction</h2><p class=""MsoNormal"">This dataset shows the utilisation band of our secondary sites across our three networks, over 1 April 2022 to 31 March 2023. </p><p class=""MsoNormal"">This dataset is a redacted version of an annual regulatory submission to Ofgem. The data consists of a single utilisation value over a year for each of UK Power Networks secondary substation. This dataset is redacted in that any secondary sites with five or less customers will not be included to protect privacy. </p><p class=""MsoNormal"">This dataset is a mixture of actual utilisation data and analytics based on transformer profile. The utilisation bands do not indicate contractually committed capacity e.g. capacity on our network may be unused now but expected to be used by a connection in a future year, recent acceptances which will be covered in next year's data.</p><p class=""MsoNormal""><span style=""font-family: inherit; font-size: 0.875rem;"">If you notice any errors, please let us know by feedbacking against the record
in the table tab.</span></p>


<h2>Methodological Approach</h2>
<p>UK Power Networks worked with other DNOs and the Energy Networks Association (ENA), to agree a methodology to calculating transformer utilisation.
</p>

<p>It considered the following:</p>

<li>Transformer rating;</li>
<li>Current peak loading;</li>
<li>Year demand growth;</li>
<li>Year ahead peak demand; and</li>
<li>Utilisation calculation.</li>



<h2>Quality Control Statement</h2>
<p>This dataset is provided ""as is"".</p>

<h2> Assurance Statement</h2>
<p>The Open Data Team and DSO Network Strategy Team worked to ensure data accuracy and consistency.</p>

<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-secondary-site-utilisation"">Metadata (JSON)</a></p>


<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.</p>",2024-04-18 09:13:08+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-secondary-site-utilisation/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-secondary-site-utilisation
ukpowernetworks.opendatasoft.com,UKPN,defra-national-parks,National Parks,"<p>National Parks are run by National Park Authorities for the purpose of conserving and enhancing the natural beauty, wildlife and cultural heritage and to provide opportunities for the understanding and enjoyment of the Park by the public.<br><br>This dataset is restricted to the UK Power Networks' three licence areas.<br>
</p><h2>Methodological approach</h2>
<ol>
<li>Download and ingestions: That dataset was downloaded from the Department for Environment Food and Rural Affairs data portal, and ingested into this data portal.</li>
</ol>

<h2>Quality Control Statement</h2>
<p>This dataset is provided ""as is"".</p>

<h2> Assurance Statement</h2>
<p>The Open Data Team has reviewed the dataset to ensure it is true to source.</p>


<h2>Other</h2>
Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=defra-national-parks"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"">Metadata (JSON)</a><br><br>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><br><p></p>",2024-04-16 09:39:29+00:00,Open Government Licence v3.0,domain,True,,2,https://ukpowernetworks.opendatasoft.com/explore/dataset/defra-national-parks/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/defra-national-parks
ukpowernetworks.opendatasoft.com,UKPN,ukpn-wind-irenes,Onshore Wind Power Land Suitability (IRENES),"<h2>Introduction</h2>
<p>This dataset provides the locations of areas that restrict the suitability of land for onshore wind developments; such as roads, residential areas, world heritage sites, agricultural land, and flood zones. In addition, it calculates the potential energy density of over 3.5 million individual areas for both solar and wind installations using windspeed and solar irradiance data.<br></p><p>This results in an overall assessment of the suitability of a specific area for installing solar and wind generation. The assessment grades land as either YES – suitable, No – not suitable, or MAYBE – could be suitable.<o:p></o:p></p><p></p><p>

</p><h2>Methodological Approach</h2>
This dataset was developed for UK Power Networks licence area by UEA Consulting Limited. It is based on public domain sources and previous analysis that was carried out as part of the IRENES EU Interreg project which examined renewable energy sources in eastern England.<p></p><p>To view the methodology behind this data please <a href=""https://ukpowernetworks.sharepoint.com/:b:/s/OpenDataPortalLibrary/ERg-EYkqGjFJnbufjQJeDKEBcCNjwglGsqhV0mF07ztA1w?e=UYtFM2"" target=""_blank"">click here.</a></p><p class=""MsoNormal"" style=""font-family: sans-serif;""><span style=""font-weight: bolder;"">This dataset displays the wind data, <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-solar-irenes/information/"" target=""_blank"">click here for the solar PV data</a></span></p>


<h2>Quality Control Statement</h2>
<p>This dataset is provided ""as is"".</p>

<h2> Assurance Statement</h2>
<p>The Open Data Team and Local Net Zero Team worked together to ensure data accuracy and consistency.</p>


<h2>Other</h2>
<p>Download dataset information: <a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-wind-irenes"">Metadata (JSON)</a><br></p>


<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.<br></p>",2024-02-19 16:33:56+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-wind-irenes/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-wind-irenes
ukpowernetworks.opendatasoft.com,UKPN,ukpn-network-losses,Network Losses,"<h2>Introduction</h2><p class=""""> This dataset
contains the total losses across the network. </p><p class="""">Distributing electricity across a large area inevitably leads to electrical 'losses'. In simple terms, the energy entering our network is higher than the energy received by our customers and this is what we call a 'loss'. Losses can occur in a number of ways, please refer to our <a href=""https://losses.ukpowernetworks.co.uk/"" target=""_blank"">losses site</a> for more information.</p>
<h2>Methodological Approach</h2><p class="""">Network losses in this dataset are
calculated as the difference between units of electricity entering the network and units exiting the network. Due to delays in the data required to calculate the losses, final losses are not determined until 14 months after the date, referred to in this dataset as 'RF', albeit these can still change for up to 6 years due to corrections to IDNO and half-hourly customers' data.</p><p>Delayed data includes the consumption of domestic customers and generation of small generators due to infrequent meter readings. Initial estimates are made (for example, estimated domestic bills), and it takes 5 reconciliations over a 14 month period to approach an accurate figure for units exiting the network. <b>Our reporting is often required at the start of this reconciliation cycle, so the most up to date data available at that time is used but this will become outdated as further reconciliations come in</b>.</p><p></p><p><b>In addition to the reconciliations, the values used for our reporting are displayed in columns labelled 'Regulatory Reporting'.</b> In some areas the reported values are not an exact match for any previous iteration of the data. This is due to metering errors of half hourly metered customers which are later corrected by the customer. <br></p><p class="""">
Consumption data is sourced from Elexon, the company that manage the Balancing and Settlement Code. The main purpose of this data is to provide the data for billing DUoS, hence it is not necessarily complete for unbilled consumption or generation.

</p>

<h2>Quality Control Statement</h2>
<p>Data is provided ""as is"".</p>
<p>Data has been checked against regulatory submissions for consistency</p>

<h2> Assurance Statement</h2>
<p>The Open Data Team and Net Zero &amp; Network Development Team worked together to ensure data accuracy and consistency.</p>


<h2>Other</h2>
<p><span style=""font-family: inherit;"">Download dataset information: </span><a href=""https://ukpowernetworks.opendatasoft.com/explore/dataset/domain-dataset0/download/?format=json&amp;refine.identifier=ukpn-network-losses"" style=""font-size: 0.875rem; background-color: rgb(255, 255, 255);"">Metadata (JSON)</a><br></p>


<p>Definitions of key terms related to this dataset can be found in the Open Data Portal Glossary: <a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank"">https://ukpowernetworks.opendatasoft.com/pages/glossary/</a><a href=""https://ukpowernetworks.opendatasoft.com/pages/glossary/"" target=""_blank""></a></p><p>To view this data please register and login.</p>",2024-01-31 10:21:54+00:00,CC BY 4.0,domain,True,,,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-network-losses/,https://ukpowernetworks.opendatasoft.com/api/explore/v2.1/catalog/datasets/ukpn-network-losses
