Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.08E-01,6.67E-03,1.30E-01,9.00E-02
Aberporth  ,µGy/h  ,1.19E-01,4.40E-03,1.30E-01,1.10E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,8.93E-02,3.51E-03,1.20E-01,8.00E-02
Applecross  ,µGy/h  ,1.18E-01,4.17E-03,1.30E-01,1.10E-01
Aultbea  ,µGy/h  ,1.05E-01,6.95E-03,1.30E-01,8.00E-02
Aviemore  ,µGy/h  ,1.40E-01,5.33E-03,1.60E-01,1.20E-01
Ballypatrick Forest  ,µGy/h  ,1.06E-01,5.63E-03,1.60E-01,1.00E-01
Benbecula  ,µGy/h  ,8.57E-02,5.00E-03,1.00E-01,8.00E-02
Bishopton  ,µGy/h  ,1.01E-01,3.42E-03,1.20E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.09E-01,6.68E-03,1.30E-01,9.00E-02
Boulmer  ,µGy/h  ,1.35E-01,5.25E-03,1.60E-01,1.20E-01
Brooms Barn  ,µGy/h  ,1.00E-01,6.37E-03,1.60E-01,9.00E-02
Camborne  ,µGy/h  ,1.39E-01,4.27E-03,1.50E-01,1.30E-01
Carlisle  ,µGy/h  ,1.14E-01,5.01E-03,1.40E-01,1.00E-01
Carmoney  ,µGy/h  ,9.73E-02,4.63E-03,1.10E-01,9.00E-02
Charterhall  ,µGy/h  ,1.14E-01,5.06E-03,1.40E-01,1.00E-01
Church Fenton  ,µGy/h  ,1.07E-01,5.49E-03,1.70E-01,9.00E-02
Clunie  ,µGy/h  ,1.20E-01,3.27E-03,1.30E-01,1.10E-01
Coleshill  ,µGy/h  ,1.08E-01,4.56E-03,1.40E-01,1.00E-01
Coningsby  ,µGy/h  ,9.43E-02,5.55E-03,1.60E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.41E-01,4.48E-03,1.60E-01,1.30E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.22E-01,4.90E-03,1.60E-01,1.10E-01
East Malling  ,µGy/h  ,1.01E-01,3.58E-03,1.40E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.04E-01,5.24E-03,1.40E-01,1.00E-01
Eskmeals  ,µGy/h  ,1.04E-01,7.01E-03,1.40E-01,8.00E-02
Exeter  ,µGy/h  ,1.45E-01,5.32E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,1.02E-01,5.66E-03,1.50E-01,9.00E-02
Gatwick  ,µGy/h  ,1.18E-01,5.25E-03,1.50E-01,1.00E-01
Glenanne  ,µGy/h  ,1.06E-01,5.21E-03,1.40E-01,1.00E-01
Guernsey  ,µGy/h  ,9.03E-02,2.25E-03,1.00E-01,8.00E-02
Heathrow*  ,µGy/h  ,1.15E-01,5.93E-03,1.60E-01,1.00E-01
Herstmonceux  ,µGy/h  ,1.02E-01,4.00E-03,1.40E-01,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,8.74E-02,4.57E-03,1.10E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.20E-01,7.19E-03,1.50E-01,1.10E-01
Jersey  ,µGy/h  ,1.03E-01,4.84E-03,1.70E-01,9.00E-02
Kirkwall  ,µGy/h  ,1.02E-01,4.28E-03,1.20E-01,9.00E-02
Lake Vyrnwy  ,µGy/h  ,1.14E-01,6.06E-03,1.60E-01,1.00E-01
Langdon Bay  ,µGy/h  ,9.94E-02,5.90E-03,1.50E-01,8.00E-02
Leconfield  ,µGy/h  ,1.20E-01,4.08E-03,1.80E-01,1.10E-01
Leeming  ,µGy/h  ,1.12E-01,4.59E-03,1.60E-01,1.00E-01
Lerwick*  ,µGy/h  ,1.07E-01,6.78E-03,1.40E-01,9.00E-02
Leuchars  ,µGy/h  ,1.06E-01,7.18E-03,1.50E-01,9.00E-02
Liscombe  ,µGy/h  ,1.34E-01,5.49E-03,1.60E-01,1.20E-01
London (Grays Inn)*  ,µGy/h  ,8.35E-02,4.81E-03,1.00E-01,7.00E-02
Lossiemouth  ,µGy/h  ,9.47E-02,5.12E-03,1.10E-01,8.00E-02
Lydd (Airport)  ,µGy/h  ,7.97E-02,2.87E-03,1.30E-01,7.00E-02
Lyneham  ,µGy/h  ,9.84E-02,4.04E-03,1.20E-01,8.00E-02
Machrihanish  ,µGy/h  ,1.01E-01,4.88E-03,1.80E-01,9.00E-02
Manston  ,µGy/h  ,1.03E-01,5.47E-03,1.40E-01,9.00E-02
Marham  ,µGy/h  ,8.98E-02,3.53E-03,1.40E-01,8.00E-02
Mepal  ,µGy/h  ,1.07E-01,5.30E-03,1.60E-01,1.00E-01
