Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.04E-01,5.14E-03,1.30E-01,9.00E-02
Aberporth  ,µGy/h  ,1.20E-01,4.98E-03,1.40E-01,1.00E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,9.01E-02,2.76E-03,1.10E-01,8.00E-02
Alderney  ,µGy/h  ,1.10E-01,5.18E-03,1.40E-01,1.00E-01
Applecross  ,µGy/h  ,1.33E-01,1.46E-02,1.80E-01,1.00E-01
Aultbea  ,µGy/h  ,1.03E-01,6.92E-03,1.30E-01,8.00E-02
Aviemore  ,µGy/h  ,1.32E-01,5.39E-03,1.50E-01,1.20E-01
Ballypatrick Forest  ,µGy/h  ,1.06E-01,5.05E-03,1.30E-01,1.00E-01
Benbecula  ,µGy/h  ,8.49E-02,5.11E-03,1.10E-01,8.00E-02
Bishopton  ,µGy/h  ,1.00E-01,3.12E-03,1.20E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.03E-01,4.59E-03,1.30E-01,9.00E-02
Boulmer  ,µGy/h  ,1.31E-01,6.85E-03,1.80E-01,1.10E-01
Brize Norton  ,µGy/h  ,9.35E-02,4.88E-03,1.20E-01,8.00E-02
Brooms Barn  ,µGy/h  ,1.05E-01,1.05E-02,2.10E-01,9.00E-02
Camborne  ,µGy/h  ,1.39E-01,4.79E-03,1.70E-01,1.30E-01
Carlisle  ,µGy/h  ,1.18E-01,6.24E-03,1.50E-01,1.00E-01
Carmoney  ,µGy/h  ,1.10E-01,4.85E-03,1.30E-01,1.00E-01
Charterhall  ,µGy/h  ,1.06E-01,5.01E-03,1.20E-01,1.00E-01
Church Fenton  ,µGy/h  ,9.98E-02,4.28E-03,1.30E-01,9.00E-02
Clunie  ,µGy/h  ,1.14E-01,6.52E-03,1.40E-01,1.00E-01
Coleshill  ,µGy/h  ,1.01E-01,4.14E-03,1.20E-01,9.00E-02
Coningsby  ,µGy/h  ,9.40E-02,5.00E-03,1.10E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.42E-01,5.06E-03,1.70E-01,1.30E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.17E-01,5.14E-03,1.50E-01,1.00E-01
East Malling  ,µGy/h  ,1.00E-01,3.75E-03,1.30E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.04E-01,4.97E-03,1.30E-01,9.00E-02
Eskmeals  ,µGy/h  ,1.08E-01,7.22E-03,1.30E-01,8.00E-02
Exeter  ,µGy/h  ,1.46E-01,5.46E-03,1.70E-01,1.30E-01
Fylingdales  ,µGy/h  ,9.91E-02,3.62E-03,1.20E-01,9.00E-02
Gatwick*  ,µGy/h  ,1.24E-01,7.69E-03,1.50E-01,1.00E-01
Glenanne  ,µGy/h  ,1.11E-01,3.53E-03,1.30E-01,1.00E-01
Guernsey  ,µGy/h  ,9.03E-02,2.82E-03,1.10E-01,8.00E-02
Heathrow  ,µGy/h  ,1.20E-01,3.98E-03,1.50E-01,1.10E-01
Herstmonceux  ,µGy/h  ,1.02E-01,5.30E-03,1.90E-01,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,8.70E-02,4.88E-03,1.20E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.17E-01,5.04E-03,1.50E-01,1.10E-01
Jersey*  ,µGy/h  ,1.19E-01,5.78E-03,1.70E-01,1.00E-01
Kirkwall  ,µGy/h  ,1.09E-01,3.76E-03,1.30E-01,1.00E-01
Lake Vyrnwy  ,µGy/h  ,1.18E-01,5.65E-03,1.50E-01,1.00E-01
Langdon Bay  ,µGy/h  ,9.98E-02,3.58E-03,1.10E-01,9.00E-02
Leconfield  ,µGy/h  ,1.14E-01,7.19E-03,1.30E-01,1.00E-01
Leeming  ,µGy/h  ,1.12E-01,4.26E-03,1.40E-01,1.00E-01
Lerwick  ,µGy/h  ,1.03E-01,4.52E-03,1.20E-01,9.00E-02
Leuchars  ,µGy/h  ,1.15E-01,7.67E-03,1.60E-01,1.00E-01
Liscombe  ,µGy/h  ,1.33E-01,5.58E-03,1.60E-01,1.20E-01
London (Grays Inn)  ,µGy/h  ,8.33E-02,4.74E-03,1.00E-01,8.00E-02
Lossiemouth  ,µGy/h  ,1.00E-01,2.67E-03,1.20E-01,9.00E-02
Lydd (Airport)  ,µGy/h  ,8.07E-02,3.47E-03,1.00E-01,7.00E-02
Lyneham  ,µGy/h  ,9.24E-02,7.79E-03,1.20E-01,8.00E-02
Machrihanish  ,µGy/h  ,1.07E-01,4.93E-03,1.30E-01,1.00E-01
Manston  ,µGy/h  ,9.96E-02,3.30E-03,1.20E-01,9.00E-02
Marham  ,µGy/h  ,8.77E-02,4.63E-03,1.00E-01,8.00E-02
Mepal  ,µGy/h  ,1.09E-01,3.77E-03,1.40E-01,1.00E-01
Milford Haven  ,µGy/h  ,1.25E-01,9.12E-03,1.40E-01,1.00E-01
Mumbles Head  ,µGy/h  ,9.50E-02,6.02E-03,1.70E-01,8.00E-02
Nottingham WC (Watnall)  ,µGy/h  ,1.14E-01,5.16E-03,1.30E-01,1.00E-01
Oban  ,µGy/h  ,1.29E-01,4.21E-03,1.50E-01,1.20E-01
Odiham  ,µGy/h  ,9.26E-02,1.52E-02,7.20E-01,8.00E-02
Pershore  ,µGy/h  ,1.28E-01,4.90E-03,1.50E-01,1.10E-01
Plymouth  ,µGy/h  ,1.26E-01,5.73E-03,1.50E-01,1.10E-01
Portland Bill  ,µGy/h  ,9.56E-02,6.48E-03,1.20E-01,8.00E-02
Prestwick  ,µGy/h  ,9.01E-02,3.84E-03,1.10E-01,8.00E-02
Rhyl  ,µGy/h  ,1.10E-01,8.79E-03,1.50E-01,1.00E-01
Ronaldsway (Isle of Man)  ,µGy/h  ,9.85E-02,1.71E-02,4.80E-01,0.00E+00
Scilly  ,µGy/h  ,1.43E-01,5.76E-03,1.60E-01,1.30E-01
Shawbury  ,µGy/h  ,9.91E-02,3.45E-03,1.20E-01,9.00E-02
Shin  ,µGy/h  ,1.25E-01,5.11E-03,1.40E-01,1.10E-01
Shobdon  ,µGy/h  ,1.29E-01,5.09E-03,1.50E-01,1.20E-01
Shoeburyness  ,µGy/h  ,1.00E-01,3.77E-03,1.30E-01,9.00E-02
Squires Gate (Blackpool)  ,µGy/h  ,9.28E-02,4.67E-03,1.10E-01,8.00E-02
St Angelo  ,µGy/h  ,1.05E-01,5.07E-03,1.20E-01,1.00E-01
St Athan  ,µGy/h  ,1.01E-01,3.78E-03,1.30E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.08E-01,4.55E-03,1.40E-01,1.00E-01
St Mawgan  ,µGy/h  ,1.24E-01,5.83E-03,1.60E-01,1.00E-01
Stoer Head  ,µGy/h  ,1.23E-01,4.90E-03,1.30E-01,1.10E-01
Stornoway  ,µGy/h  ,1.02E-01,4.26E-03,1.20E-01,9.00E-02
Strathallan  ,µGy/h  ,1.08E-01,4.16E-03,1.20E-01,1.00E-01
Thorney Island  ,µGy/h  ,1.17E-01,5.46E-03,1.50E-01,1.00E-01
Tiree  ,µGy/h  ,8.62E-02,5.00E-03,1.10E-01,7.00E-02
Trawscoed  ,µGy/h  ,1.16E-01,5.53E-03,1.40E-01,1.00E-01
Tulloch Bridge  ,µGy/h  ,1.23E-01,4.80E-03,1.50E-01,1.10E-01
Turnhouse (Edinburgh Airport)  ,µGy/h  ,9.84E-02,3.98E-03,1.20E-01,9.00E-02
Valley  ,µGy/h  ,1.08E-01,4.94E-03,1.40E-01,9.00E-02
Waddington  ,µGy/h  ,1.00E-01,4.94E-03,1.40E-01,9.00E-02
Warcop Range  ,µGy/h  ,1.10E-01,4.05E-03,1.30E-01,1.00E-01
Wattisham  ,µGy/h  ,1.03E-01,1.08E-02,1.30E-01,8.00E-02
West Freugh  ,µGy/h  ,9.15E-02,3.72E-03,1.10E-01,8.00E-02
Wick  ,µGy/h  ,1.20E-01,8.44E-03,1.50E-01,1.00E-01
Wilsden (Bingley)  ,µGy/h  ,1.04E-01,5.16E-03,1.30E-01,9.00E-02
Wittering  ,µGy/h  ,1.20E-01,4.51E-03,1.50E-01,1.10E-01
Yeovilton  ,µGy/h  ,1.12E-01,4.58E-03,1.30E-01,1.00E-01
