RIMNET DATASET STATISTICAL SUMMARY : JANUARY - MARCH 2012 ,,,,,
,,,,,
01 January2012 00:00 - 31 March 2012 23:59,,,,,
,,,,,
Units :  µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
,,,,,
Aberdaron  ,1.10E-01,4.36E-03,1.09E-01,1.00E-01,1.20E-01
Aberporth  ,1.20E-01,5.02E-03,1.14E-01,1.00E-01,1.30E-01
Aldergrove (Belfast Airport)  ,9.00E-02,3.82E-03,8.17E-02,7.00E-02,1.00E-01
Alderney  ,1.10E-01,6.54E-03,1.10E-01,9.00E-02,1.20E-01
Applecross  ,1.20E-01,4.36E-03,1.20E-01,1.10E-01,1.40E-01
Aultbea*  ,1.00E-01,7.07E-03,1.05E-01,8.00E-02,1.30E-01
Aviemore  ,1.20E-01,6.23E-03,1.23E-01,1.10E-01,1.50E-01
Ballypatrick Forest  ,1.00E-01,3.48E-03,9.90E-02,9.00E-02,1.20E-01
Benbecula  ,9.00E-02,3.16E-03,8.09E-02,7.00E-02,9.00E-02
Bishopton  ,1.10E-01,4.99E-03,1.05E-01,1.00E-01,1.20E-01
Boscombe Down  ,1.00E-01,3.00E-03,1.10E-01,1.00E-01,1.20E-01
Boulmer  ,1.20E-01,4.28E-03,1.21E-01,1.10E-01,1.40E-01
Brize Norton  ,9.00E-02,6.57E-03,8.93E-02,8.00E-02,1.10E-01
Brooms Barn  ,9.00E-02,3.06E-03,9.00E-02,8.00E-02,1.10E-01
Camborne  ,1.30E-01,4.17E-03,1.31E-01,1.20E-01,1.50E-01
Cardington*  ,1.20E-01,5.08E-03,1.22E-01,1.10E-01,1.40E-01
Carlisle  ,1.00E-01,4.10E-03,1.19E-01,1.10E-01,1.30E-01
Carmoney  ,1.10E-01,5.37E-03,1.16E-01,1.00E-01,1.30E-01
Charterhall  ,1.10E-01,4.46E-03,1.09E-01,1.00E-01,1.20E-01
Church Fenton  ,1.00E-01,5.23E-03,1.04E-01,9.00E-02,1.20E-01
Clunie  ,1.20E-01,3.35E-03,1.20E-01,1.10E-01,1.30E-01
Coleshill  ,1.00E-01,4.87E-03,1.03E-01,9.00E-02,1.20E-01
Coningsby  ,1.10E-01,3.27E-03,1.10E-01,1.00E-01,1.20E-01
Dalcross (Inverness Airport)  ,1.40E-01,4.34E-03,1.41E-01,1.30E-01,1.60E-01
Dyce (Aberdeen Airport)  ,1.10E-01,5.22E-03,1.19E-01,1.00E-01,1.30E-01
East Malling  ,1.00E-01,3.44E-03,9.89E-02,9.00E-02,1.10E-01
Eskdalemuir  ,1.00E-01,4.52E-03,1.00E-01,9.00E-02,1.20E-01
Eskmeals  ,1.00E-01,7.15E-03,9.88E-02,8.00E-02,1.30E-01
Exeter  ,1.40E-01,4.47E-03,1.50E-01,1.40E-01,1.60E-01
Fylingdales  ,1.00E-01,3.69E-03,1.00E-01,9.00E-02,1.20E-01
Gatwick  ,1.20E-01,4.79E-03,1.18E-01,1.10E-01,1.40E-01
Glenanne  ,1.10E-01,3.81E-03,1.11E-01,1.00E-01,1.20E-01
Guernsey  ,9.00E-02,3.15E-03,8.92E-02,8.00E-02,1.00E-01
Heathrow*  ,9.00E-02,4.13E-03,9.21E-02,8.00E-02,1.00E-01
Herstmonceux  ,1.00E-01,4.29E-03,9.81E-02,9.00E-02,1.40E-01
Hurn (Bournemouth)  ,1.00E-01,5.82E-03,9.22E-02,8.00E-02,1.00E-01
Inverbervie  ,1.10E-01,5.63E-03,1.07E-01,1.00E-01,1.30E-01
Jersey  ,1.10E-01,6.70E-03,1.06E-01,9.00E-02,1.30E-01
Kirkwall  ,1.10E-01,4.58E-03,1.08E-01,1.00E-01,1.20E-01
Lake Vyrnwy  ,1.10E-01,4.74E-03,1.18E-01,1.10E-01,1.40E-01
Langdon Bay  ,1.10E-01,5.86E-03,1.26E-01,9.00E-02,1.50E-01
Leconfield  ,1.10E-01,4.63E-03,1.07E-01,1.00E-01,1.20E-01
Leeming  ,1.00E-01,4.04E-03,1.02E-01,9.00E-02,1.20E-01
Lerwick  ,1.00E-01,5.13E-03,9.61E-02,9.00E-02,1.10E-01
Leuchars  ,1.00E-01,4.36E-03,1.01E-01,9.00E-02,1.10E-01
Liscombe  ,1.30E-01,5.01E-03,1.28E-01,1.10E-01,1.40E-01
London (Grays Inn)*  ,1.10E-01,4.95E-03,1.14E-01,1.00E-01,1.20E-01
Lossiemouth  ,1.00E-01,1.15E-02,8.33E-02,6.00E-02,1.10E-01
Lydd (Airport)  ,9.00E-02,2.96E-03,8.09E-02,7.00E-02,9.00E-02
Lyneham  ,9.00E-02,4.98E-03,8.44E-02,7.00E-02,1.00E-01
Machrihanish  ,1.10E-01,3.10E-03,9.97E-02,9.00E-02,1.20E-01
Manston  ,1.00E-01,5.10E-03,9.57E-02,8.00E-02,1.10E-01
Marham  ,9.00E-02,2.94E-03,8.08E-02,7.00E-02,1.00E-01
Mepal  ,1.10E-01,5.27E-03,1.04E-01,9.00E-02,1.20E-01
Milford Haven  ,1.20E-01,5.02E-03,1.24E-01,1.10E-01,1.40E-01
Mumbles Head  ,1.00E-01,4.25E-03,9.78E-02,9.00E-02,1.10E-01
Nottingham WC (Watnall)  ,1.10E-01,4.88E-03,1.08E-01,9.00E-02,1.20E-01
Oban  ,1.20E-01,4.28E-03,1.22E-01,1.10E-01,1.40E-01
Odiham  ,9.00E-02,5.68E-03,9.90E-02,9.00E-02,1.10E-01
Pershore  ,1.20E-01,4.06E-03,1.20E-01,1.10E-01,1.40E-01
Plymouth  ,1.20E-01,3.96E-03,1.21E-01,1.10E-01,1.30E-01
Portland Bill  ,9.00E-02,6.02E-03,8.58E-02,7.00E-02,1.00E-01
Prestwick  ,9.00E-02,3.97E-03,9.98E-02,9.00E-02,1.20E-01
Rhyl  ,1.10E-01,4.33E-03,1.02E-01,9.00E-02,1.20E-01
Ronaldsway (Isle of Man)  ,1.00E-01,4.07E-03,1.01E-01,9.00E-02,1.20E-01
Scilly  ,1.30E-01,4.49E-03,1.39E-01,1.30E-01,1.50E-01
Shawbury  ,9.00E-02,4.47E-03,1.03E-01,9.00E-02,1.20E-01
Shin  ,1.20E-01,5.09E-03,1.24E-01,1.10E-01,1.60E-01
Shobdon  ,1.20E-01,4.92E-03,1.23E-01,1.10E-01,1.40E-01
Shoeburyness  ,1.00E-01,7.92E-03,1.04E-01,9.00E-02,1.20E-01
Squires Gate (Blackpool)  ,9.00E-02,4.37E-03,7.82E-02,7.00E-02,9.00E-02
St Angelo  ,1.00E-01,3.92E-03,9.84E-02,9.00E-02,1.10E-01
St Athan  ,1.00E-01,4.43E-03,1.12E-01,1.00E-01,1.30E-01
St Catherines (Isle of Wight)  ,1.10E-01,4.17E-03,1.08E-01,1.00E-01,1.20E-01
St Mawgan  ,1.20E-01,5.17E-03,1.16E-01,1.00E-01,1.30E-01
Stoer Head  ,1.30E-01,5.04E-03,1.24E-01,1.10E-01,1.40E-01
Stornoway  ,1.00E-01,4.97E-03,9.60E-02,9.00E-02,1.10E-01
Strathallan  ,1.10E-01,4.53E-03,1.08E-01,1.00E-01,1.20E-01
Thorney Island  ,1.10E-01,3.37E-03,9.97E-02,9.00E-02,1.20E-01
Tiree  ,9.00E-02,5.07E-03,8.40E-02,7.00E-02,1.10E-01
Trawscoed  ,1.10E-01,4.52E-03,1.13E-01,1.00E-01,1.30E-01
Tulloch Bridge  ,1.00E-01,4.58E-03,1.03E-01,9.00E-02,1.20E-01
Turnhouse (Edinburgh Airport)  ,1.00E-01,4.18E-03,1.02E-01,9.00E-02,1.10E-01
Valley  ,1.10E-01,4.14E-03,1.08E-01,1.00E-01,1.20E-01
Waddington  ,1.10E-01,4.90E-03,1.07E-01,1.00E-01,1.20E-01
Warcop Range  ,1.10E-01,4.88E-03,1.07E-01,1.00E-01,1.20E-01
Wattisham  ,1.00E-01,5.15E-03,9.50E-02,8.00E-02,1.10E-01
West Freugh  ,9.00E-02,3.30E-03,9.10E-02,8.00E-02,1.10E-01
Wick  ,1.10E-01,4.70E-03,1.07E-01,1.00E-01,1.30E-01
Wilsden (Bingley)  ,1.10E-01,4.40E-03,1.11E-01,1.00E-01,1.30E-01
Wittering  ,1.20E-01,4.06E-03,1.20E-01,1.10E-01,1.30E-01
Yeovilton  ,1.10E-01,5.02E-03,1.04E-01,9.00E-02,1.20E-01
