RIMNET DATASET STATISTICAL SUMMARY - APRIL - JUNE 2012,,,,,
,,,,,
01 April 2012 00:00 - 30 June 2012 23:59,,,,,
,,,,,
Units :  µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
,,,,,
Aberdaron  ,1.10E-01,5.14E-03,1.12E-01,1.00E-01,1.40E-01
Aberporth  ,1.20E-01,5.53E-03,1.16E-01,1.00E-01,1.50E-01
Aldergrove (Belfast Airport)  ,9.00E-02,4.94E-03,8.36E-02,7.00E-02,1.10E-01
Alderney  ,1.10E-01,5.32E-03,1.11E-01,1.00E-01,1.70E-01
Applecross  ,1.20E-01,4.79E-03,1.22E-01,1.10E-01,1.40E-01
Aultbea  ,1.00E-01,7.14E-03,1.07E-01,8.00E-02,1.30E-01
Aviemore  ,1.20E-01,6.56E-03,1.23E-01,1.00E-01,1.40E-01
Ballypatrick Forest  ,1.00E-01,3.34E-03,1.00E-01,9.00E-02,1.20E-01
Benbecula  ,9.00E-02,3.23E-03,8.11E-02,7.00E-02,1.00E-01
Bishopton  ,1.10E-01,4.93E-03,1.07E-01,1.00E-01,1.30E-01
Boscombe Down  ,1.00E-01,4.46E-03,1.12E-01,1.00E-01,1.40E-01
Boulmer  ,1.20E-01,6.68E-03,1.32E-01,1.10E-01,1.50E-01
Brize Norton  ,9.00E-02,4.95E-03,8.70E-02,8.00E-02,1.00E-01
Brooms Barn  ,9.00E-02,4.67E-03,9.24E-02,8.00E-02,1.20E-01
Camborne  ,1.30E-01,5.55E-03,1.34E-01,1.20E-01,1.70E-01
Cardington  ,1.20E-01,5.27E-03,1.24E-01,1.10E-01,1.50E-01
Carlisle  ,1.00E-01,5.59E-03,1.11E-01,1.00E-01,1.30E-01
Carmoney  ,1.10E-01,8.63E-03,1.11E-01,9.00E-02,1.30E-01
Charterhall  ,1.10E-01,3.80E-03,1.11E-01,1.00E-01,1.40E-01
Church Fenton  ,1.00E-01,5.32E-03,1.06E-01,9.00E-02,1.20E-01
Clunie  ,1.20E-01,3.34E-03,1.20E-01,1.10E-01,1.30E-01
Coleshill  ,1.00E-01,5.26E-03,1.04E-01,9.00E-02,1.30E-01
Coningsby  ,1.10E-01,3.98E-03,1.11E-01,1.00E-01,1.40E-01
