RIMNET DATASET STATISTICAL SUMMARY : JULY - SEPTEMBER 2012,,,,,
,,,,,
01 July 2012 00:00 - 30 September 2012 23:59,,,,,
,,,,,
,,,,,
Units :  µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
,,,,,
Aberdaron  ,1.10E-01,7.64E-03,1.10E-01,9.00E-02,1.40E-01
Aberporth  ,1.20E-01,7.66E-03,1.14E-01,9.00E-02,1.60E-01
Albemarle  ,1.00E-01,5.66E-03,9.72E-02,9.00E-02,1.40E-01
Aldergrove (Belfast Airport)*  ,8.00E-02,4.53E-03,8.24E-02,8.00E-02,1.10E-01
Alderney  ,1.10E-01,8.41E-03,1.11E-01,9.00E-02,2.00E-01
Applecross  ,1.20E-01,7.47E-03,1.24E-01,1.00E-01,1.50E-01
Aultbea  ,1.00E-01,7.12E-03,1.06E-01,9.00E-02,1.30E-01
Aviemore  ,1.20E-01,6.19E-03,1.24E-01,1.10E-01,1.40E-01
Ballypatrick Forest  ,1.00E-01,5.47E-03,9.50E-02,9.00E-02,1.20E-01
Benbecula  ,9.00E-02,2.60E-03,8.07E-02,7.00E-02,9.00E-02
Bishopton  ,1.10E-01,4.42E-03,1.03E-01,9.00E-02,1.30E-01
Boscombe Down*  ,1.10E-01,6.47E-03,1.08E-01,9.00E-02,1.50E-01
Boulmer  ,1.20E-01,6.64E-03,1.24E-01,1.10E-01,1.60E-01
Brize Norton  ,9.00E-02,6.11E-03,8.60E-02,7.00E-02,1.10E-01
Brooms Barn  ,9.00E-02,5.18E-03,9.39E-02,8.00E-02,1.30E-01
Camborne  ,1.30E-01,7.09E-03,1.40E-01,1.20E-01,2.00E-01
Cardington  ,1.20E-01,7.96E-03,1.24E-01,1.00E-01,1.60E-01
Carlisle  ,1.00E-01,4.61E-03,1.08E-01,1.00E-01,1.40E-01
Carmoney  ,1.10E-01,2.87E-03,1.00E-01,9.00E-02,1.20E-01
Charterhall  ,1.10E-01,4.16E-03,1.10E-01,1.00E-01,1.50E-01
Church Fenton  ,1.00E-01,7.70E-03,1.06E-01,9.00E-02,1.60E-01
Clunie  ,1.20E-01,6.26E-03,1.26E-01,1.10E-01,1.50E-01
Coleshill  ,1.00E-01,7.30E-03,1.04E-01,8.00E-02,1.50E-01
