RIMNET DATASET STATISTICAL SUMMARY : OCTOBER - DECEMBER 2012,,,,,
,,,,,
01 October 2012 00:00 - 31 December 2012 23:59,,,,,
,,,,,
,,,,,
Units : µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
,,,,,
Aberdaron  ,1.10E-01,6.94E-03,1.07E-01,9.00E-02,1.30E-01
Aberporth  ,1.20E-01,7.81E-03,1.13E-01,9.00E-02,1.50E-01
Albemarle  ,1.00E-01,5.32E-03,9.87E-02,9.00E-02,1.40E-01
Aldergrove (Belfast Airport)  ,8.00E-02,7.25E-03,8.57E-02,8.00E-02,1.10E-01
Alderney  ,1.10E-01,7.26E-03,1.09E-01,9.00E-02,1.40E-01
Applecross  ,1.20E-01,8.27E-03,1.26E-01,1.00E-01,1.60E-01
Aultbea  ,1.00E-01,7.31E-03,1.07E-01,9.00E-02,1.40E-01
Aviemore  ,1.20E-01,4.95E-03,1.19E-01,1.10E-01,1.50E-01
Ballypatrick Forest  ,1.00E-01,5.39E-03,9.67E-02,9.00E-02,1.30E-01
Benbecula  ,9.00E-02,6.67E-03,8.39E-02,7.00E-02,1.10E-01
Bishopton  ,1.10E-01,5.29E-03,1.04E-01,9.00E-02,1.30E-01
Boscombe Down  ,1.10E-01,4.90E-03,9.82E-02,9.00E-02,1.20E-01
Boulmer  ,1.20E-01,5.36E-03,1.21E-01,1.10E-01,1.70E-01
Brize Norton  ,9.00E-02,6.38E-03,8.76E-02,7.00E-02,1.30E-01
Brooms Barn  ,9.00E-02,5.58E-03,9.45E-02,9.00E-02,1.30E-01
Camborne  ,1.30E-01,9.24E-03,1.33E-01,1.10E-01,1.90E-01
Cardington  ,1.20E-01,8.12E-03,1.24E-01,1.00E-01,1.80E-01
Carlisle  ,1.00E-01,4.48E-03,1.09E-01,1.00E-01,1.40E-01
Carmoney  ,1.10E-01,3.73E-03,1.01E-01,9.00E-02,1.20E-01
Charterhall  ,1.10E-01,4.56E-03,1.11E-01,1.00E-01,1.50E-01
Church Fenton  ,1.00E-01,8.06E-03,1.06E-01,8.00E-02,1.50E-01
Clunie  ,1.20E-01,4.46E-03,1.31E-01,1.20E-01,1.50E-01
Coleshill  ,1.00E-01,7.50E-03,1.04E-01,8.00E-02,1.60E-01
Coningsby  ,1.10E-01,5.30E-03,1.12E-01,1.00E-01,1.50E-01
Dalcross (Inverness Airport)  ,1.40E-01,7.37E-03,1.36E-01,1.20E-01,1.70E-01
Dyce (Aberdeen Airport)  ,1.10E-01,6.77E-03,1.23E-01,1.10E-01,1.80E-01
East Malling  ,1.00E-01,3.98E-03,9.96E-02,9.00E-02,1.30E-01
Eskdalemuir  ,1.00E-01,5.69E-03,1.17E-01,1.00E-01,1.50E-01
Eskmeals  ,1.00E-01,6.97E-03,9.83E-02,8.00E-02,1.40E-01
Exeter  ,1.40E-01,5.44E-03,1.51E-01,1.40E-01,1.90E-01
Fylingdales  ,1.00E-01,5.58E-03,1.01E-01,9.00E-02,1.60E-01
Gatwick  ,1.20E-01,1.21E-02,1.06E-01,9.00E-02,1.40E-01
Glenanne  ,1.10E-01,4.62E-03,1.12E-01,1.00E-01,1.30E-01
Guernsey  ,9.00E-02,4.14E-03,9.86E-02,9.00E-02,1.20E-01
Heathrow  ,9.00E-02,5.15E-03,1.08E-01,1.00E-01,1.40E-01
Herstmonceux  ,1.00E-01,4.40E-03,9.88E-02,9.00E-02,1.30E-01
Hurn (Bournemouth)  ,1.00E-01,5.60E-03,9.42E-02,8.00E-02,1.30E-01
Inverbervie  ,1.10E-01,6.01E-03,1.07E-01,1.00E-01,1.50E-01
Jersey  ,1.10E-01,5.54E-03,1.17E-01,1.00E-01,1.50E-01
Kirkwall  ,1.10E-01,5.93E-03,1.22E-01,1.10E-01,1.80E-01
Lake Vyrnwy  ,1.20E-01,8.23E-03,1.18E-01,1.00E-01,1.60E-01
Langdon Bay  ,1.00E-01,1.67E-02,1.10E-01,8.00E-02,1.60E-01
Leconfield  ,1.10E-01,5.97E-03,9.81E-02,9.00E-02,1.50E-01
Leeming  ,1.00E-01,5.73E-03,9.73E-02,9.00E-02,1.40E-01
Lerwick  ,1.00E-01,6.41E-03,1.06E-01,9.00E-02,1.60E-01
Leuchars  ,1.00E-01,9.92E-03,1.06E-01,8.00E-02,1.70E-01
Liscombe  ,1.20E-01,5.69E-03,1.15E-01,1.10E-01,1.60E-01
London (Grays Inn)  ,9.00E-02,2.71E-03,9.05E-02,8.00E-02,1.10E-01
Lossiemouth  ,1.00E-01,7.39E-03,1.00E-01,9.00E-02,1.60E-01
Lydd (Airport)  ,9.00E-02,5.06E-03,8.92E-02,8.00E-02,1.30E-01
Machrihanish  ,1.00E-01,6.32E-03,9.72E-02,8.00E-02,1.30E-01
Manston  ,1.00E-01,9.09E-03,1.05E-01,9.00E-02,1.70E-01
Marham  ,9.00E-02,5.96E-03,8.55E-02,8.00E-02,1.50E-01
Mepal  ,1.00E-01,4.81E-03,9.80E-02,9.00E-02,1.40E-01
Milford Haven  ,1.20E-01,4.19E-03,1.09E-01,1.00E-01,1.30E-01
Mumbles Head  ,1.00E-01,6.77E-03,9.57E-02,8.00E-02,1.20E-01
Nottingham WC (Watnall)  ,1.10E-01,7.88E-03,9.57E-02,8.00E-02,1.70E-01
Oban  ,1.20E-01,4.90E-03,1.32E-01,1.20E-01,1.60E-01
Odiham  ,9.00E-02,5.99E-03,9.51E-02,9.00E-02,1.40E-01
Pershore  ,1.20E-01,5.45E-03,1.21E-01,1.10E-01,1.90E-01
Plymouth  ,1.20E-01,4.81E-03,1.11E-01,1.00E-01,1.70E-01
Portland Bill  ,9.00E-02,5.75E-03,8.42E-02,7.00E-02,1.00E-01
Prestwick  ,1.00E-01,7.44E-03,9.59E-02,8.00E-02,1.50E-01
Rhyl  ,1.10E-01,3.93E-03,1.10E-01,9.00E-02,1.30E-01
Ronaldsway (Isle of Man)  ,1.00E-01,7.83E-03,1.04E-01,8.00E-02,1.50E-01
Scilly  ,1.30E-01,5.37E-03,1.37E-01,1.30E-01,1.90E-01
Shawbury  ,1.00E-01,5.69E-03,9.72E-02,9.00E-02,1.40E-01
Shin  ,1.20E-01,4.79E-03,1.30E-01,1.20E-01,1.70E-01
Shobdon  ,1.20E-01,5.44E-03,1.23E-01,1.10E-01,1.60E-01
Shoeburyness  ,1.10E-01,4.25E-03,1.11E-01,1.00E-01,1.40E-01
Squires Gate (Blackpool)  ,9.00E-02,7.25E-03,9.50E-02,8.00E-02,1.40E-01
St Angelo  ,1.00E-01,5.09E-03,1.04E-01,9.00E-02,1.20E-01
St Athan  ,1.10E-01,5.55E-03,1.08E-01,1.00E-01,1.60E-01
St Catherines (Isle of Wight)  ,1.10E-01,3.50E-03,1.01E-01,9.00E-02,1.30E-01
St Mawgan  ,1.20E-01,8.45E-03,1.26E-01,1.00E-01,1.80E-01
Stoer Head  ,1.30E-01,5.15E-03,1.25E-01,1.10E-01,1.40E-01
Stornoway  ,1.00E-01,5.81E-03,1.05E-01,9.00E-02,1.60E-01
Strathallan  ,1.10E-01,5.40E-03,1.18E-01,1.10E-01,1.60E-01
Thorney Island  ,1.00E-01,5.16E-03,1.08E-01,1.00E-01,1.70E-01
Tiree  ,9.00E-02,6.02E-03,7.98E-02,7.00E-02,1.10E-01
Trawscoed  ,1.20E-01,7.52E-03,1.17E-01,9.00E-02,1.60E-01
Tulloch Bridge  ,1.10E-01,5.33E-03,1.18E-01,1.00E-01,1.50E-01
Turnhouse (Edinburgh Airport)  ,1.00E-01,5.44E-03,1.03E-01,9.00E-02,1.40E-01
Valley  ,1.10E-01,4.90E-03,1.08E-01,1.00E-01,1.30E-01
Waddington  ,1.10E-01,5.74E-03,1.03E-01,9.00E-02,1.50E-01
Warcop Range  ,1.10E-01,5.59E-03,1.04E-01,9.00E-02,1.50E-01
Wattisham  ,1.00E-01,4.18E-03,1.01E-01,9.00E-02,1.50E-01
West Freugh  ,9.00E-02,4.26E-03,9.02E-02,8.00E-02,1.40E-01
Wick  ,1.10E-01,8.61E-03,1.16E-01,1.00E-01,1.90E-01
Wilsden (Bingley)  ,1.10E-01,7.76E-03,1.06E-01,8.00E-02,1.60E-01
Wittering  ,1.20E-01,6.74E-03,1.16E-01,1.00E-01,1.60E-01
Yeovilton  ,1.10E-01,5.27E-03,1.03E-01,9.00E-02,1.50E-01
