Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.005946,0.18,0.21,0.16
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.005083,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004484,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005049,0.11,0.14,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.004763,0.09,0.12,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004393,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.004944,0.09,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005566,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005427,0.17,0.18,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005457,0.16,0.21,0.15
Cornwall Penzance FS  ,µGy/h  ,0.005341,0.15,0.16,0.13
Cornwall Rame Head  ,µGy/h  ,0.005196,0.14,0.17,0.13
Cornwall Saltash FS  ,µGy/h  ,0.004608,0.13,0.16,0.11
Cornwall St Austell FS  ,µGy/h  ,0.005164,0.17,0.19,0.15
Cornwall St Just FS  ,µGy/h  ,0.005252,0.16,0.17,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005206,0.11,0.14,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.007699,0.11,0.51,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005078,0.11,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004462,0.12,0.14,0.11
Cumbria Whitehaven  ,µGy/h  ,0.004215,0.10,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.004035,0.09,0.11,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.00506,0.12,0.14,0.10
Durham Brierton Sports Hall  ,µGy/h  ,0.003654,0.09,0.10,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.006074,0.17,0.18,0.15
Durham Fairway House  ,µGy/h  ,0.004849,0.12,0.14,0.10
Durham Grangetown Fire Station  ,µGy/h  ,0.005024,0.13,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.004977,0.12,0.14,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005227,0.13,0.15,0.12
East Lothian Dunbar  ,µGy/h  ,0.005186,0.12,0.14,0.10
East Lothian Haddington  ,µGy/h  ,0.005189,0.13,0.15,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.004375,0.11,0.13,0.10
East Lothian Linhead Farm  ,µGy/h  ,0.004197,0.11,0.13,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005145,0.11,0.13,0.09
East Lothian North Berwick  ,µGy/h  ,0.00527,0.11,0.13,0.09
East Lothian Oldhamstocks  ,µGy/h  ,0.004613,0.11,0.14,0.10
Highland Forss Business Park  ,µGy/h  ,0.004668,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.005098,0.12,0.14,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.005001,0.12,0.13,0.10
Kent Lydd Airport  ,µGy/h  ,0.005912,0.12,0.17,0.09
Kent Lydd FS  ,µGy/h  ,0.005049,0.11,0.13,0.09
Kent Lydd Range  ,µGy/h  ,0.004399,0.12,0.14,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.005176,0.14,0.16,0.13
Lancashire Glasson Dock  ,µGy/h  ,0.003538,0.09,0.10,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004673,0.13,0.15,0.11
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004604,0.12,0.14,0.11
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.00524,0.14,0.16,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.004217,0.09,0.11,0.08
Lancashire White Lund Ind Estate  ,µGy/h  ,0.004924,0.11,0.12,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.005165,0.11,0.12,0.09
Lyneham  ,µGy/h  ,0.005164,0.10,0.14,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.005053,0.10,0.14,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.00446,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.0041,0.11,0.12,0.10
Plymouth Tamar Bridge  ,µGy/h  ,0.004377,0.11,0.16,0.10
Plymouth Torpoint Ferry  ,µGy/h  ,0.003759,0.09,0.12,0.08
RNLI Appledore  ,µGy/h  ,0.004837,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.003909,0.09,0.12,0.08
RNLI Brixham  ,µGy/h  ,0.004756,0.10,0.12,0.09
RNLI Bude  ,µGy/h  ,0.00445,0.10,0.34,0.09
