Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.00716,0.18,0.20,0.14
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004824,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004218,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005067,0.11,0.13,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.004381,0.09,0.11,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.00422,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.004909,0.09,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005553,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005514,0.17,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005479,0.16,0.18,0.15
Cornwall Penzance FS  ,µGy/h  ,0.005383,0.15,0.17,0.13
Cornwall Rame Head  ,µGy/h  ,0.005199,0.14,0.16,0.13
Cornwall Saltash FS  ,µGy/h  ,0.00466,0.13,0.15,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005213,0.17,0.19,0.16
Cornwall St Just FS  ,µGy/h  ,0.005341,0.16,0.19,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005244,0.11,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.00504,0.11,0.13,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005045,0.11,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004281,0.12,0.13,0.10
Cumbria Whitehaven  ,µGy/h  ,0.004278,0.10,0.11,0.09
Dorset West Bay  ,µGy/h  ,0.004557,0.09,0.35,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.004974,0.12,0.13,0.10
East Lothian Dunbar  ,µGy/h  ,0.005159,0.12,0.13,0.10
East Lothian Haddington  ,µGy/h  ,0.005083,0.13,0.14,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.004205,0.11,0.13,0.10
East Lothian Linhead Farm  ,µGy/h  ,0.004909,0.11,0.13,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005104,0.11,0.12,0.09
East Lothian North Berwick  ,µGy/h  ,0.005118,0.11,0.13,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.004353,0.11,0.13,0.10
Highland Forss Business Park  ,µGy/h  ,0.004333,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.00507,0.12,0.13,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.004989,0.12,0.13,0.10
Kent Lydd Airport  ,µGy/h  ,0.004954,0.12,0.15,0.10
Kent Lydd FS  ,µGy/h  ,0.004572,0.11,0.13,0.10
Kent Lydd Range  ,µGy/h  ,0.005106,0.12,0.15,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.005407,0.15,0.16,0.13
Lancashire Glasson Dock  ,µGy/h  ,0.003279,0.09,0.10,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004617,0.13,0.14,0.12
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004466,0.12,0.14,0.11
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.005235,0.14,0.16,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.004214,0.09,0.10,0.08
Lancashire White Lund Ind Estate  ,µGy/h  ,0.004984,0.11,0.12,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.005151,0.11,0.12,0.09
Lyneham  ,µGy/h  ,0.004892,0.10,0.13,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.005288,0.10,0.36,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.004501,0.12,0.14,0.11
Plymouth Tamar Bridge  ,µGy/h  ,0.004354,0.11,0.13,0.10
Plymouth Torpoint Ferry  ,µGy/h  ,0.003857,0.09,0.10,0.08
RNLI Appledore  ,µGy/h  ,0.004915,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.004011,0.09,0.10,0.08
RNLI Brixham  ,µGy/h  ,0.004868,0.10,0.12,0.09
RNLI Bude  ,µGy/h  ,0.003764,0.10,0.11,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.003974,0.08,0.10,0.07
RNLI Eastborne  ,µGy/h  ,0.004865,0.10,0.12,0.08
RNLI Exmouth  ,µGy/h  ,0.003973,0.09,0.11,0.08
RNLI Falmouth  ,µGy/h  ,0.004944,0.14,0.16,0.12
RNLI Largs  ,µGy/h  ,0.004858,0.12,0.13,0.10
RNLI Littlehampton  ,µGy/h  ,0.004639,0.09,0.10,0.08
RNLI Littlestone  ,µGy/h  ,0.004313,0.12,0.14,0.11
RNLI Lowestoft  ,µGy/h  ,0.004419,0.11,0.13,0.10
RNLI Lyme Regis  ,µGy/h  ,0.004841,0.10,0.12,0.09
RNLI Mablethorpe  ,µGy/h  ,0.004922,0.14,0.16,0.12
RNLI Mudeford  ,µGy/h  ,0.004813,0.09,0.12,0.07
RNLI Newhaven  ,µGy/h  ,0.005077,0.10,0.11,0.08
RNLI Padstow  ,µGy/h  ,0.005072,0.13,0.15,0.12
RNLI Salcombe  ,µGy/h  ,0.005304,0.17,0.19,0.15
RNLI Southwold  ,µGy/h  ,0.004081,0.09,0.11,0.08
RNLI Swanage  ,µGy/h  ,0.003534,0.08,0.10,0.07
RNLI Thurso  ,µGy/h  ,0.004704,0.14,0.16,0.12
RNLI Withernsea  ,µGy/h  ,0.005005,0.13,0.15,0.11
RNLI Workington  ,µGy/h  ,0.004854,0.12,0.13,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.004786,0.09,0.11,0.08
Scottish LH North Ronaldsay  ,µGy/h  ,0.004794,0.11,0.12,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005767,0.13,0.41,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.004936,0.10,0.12,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.005027,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004548,0.13,0.15,0.11
Somerset Combwich  ,µGy/h  ,0.005053,0.09,0.12,0.08
Somerset Kilve  ,µGy/h  ,0.00507,0.11,0.15,0.10
Somerset Nether Stowey School  ,µGy/h  ,0.004876,0.11,0.15,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.003977,0.10,0.13,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.004656,0.11,0.14,0.09
Suffolk Dunwich  ,µGy/h  ,0.005149,0.10,0.13,0.08
Suffolk Knodishall  ,µGy/h  ,0.004544,0.09,0.34,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004389,0.09,0.13,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005125,0.10,0.13,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005201,0.09,0.13,0.08
Suffolk Theberton  ,µGy/h  ,0.003849,0.09,0.12,0.08
Suffolk Westleton  ,µGy/h  ,0.004667,0.09,0.12,0.08
Trinity House Dungeness  ,µGy/h  ,0.005429,0.13,0.16,0.11
Trinity House Harwich  ,µGy/h  ,0.003952,0.08,0.09,0.07
Trinity House St Bees Head  ,µGy/h  ,0.004321,0.11,0.13,0.10
