Jan-Mar 2021 rimnet mobile monitors summary,,,,,
Location,Units,Standard deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.0143,0.18,0.51,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004747,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004312,0.11,0.13,0.1
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005239,0.11,0.12,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005205,0.1,0.12,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004628,0.11,0.13,0.1
Ayrshire Millglen Lodges  ,µGy/h  ,0.005112,0.09,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005691,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.00542,0.17,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005534,0.17,0.19,0.15
Cornwall Penzance FS  ,µGy/h  ,0.00545,0.15,0.16,0.13
Cornwall Rame Head  ,µGy/h  ,0.005249,0.14,0.17,0.13
Cornwall Saltash FS  ,µGy/h  ,0.004514,0.13,0.15,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005443,0.17,0.2,0.16
Cornwall St Just FS  ,µGy/h  ,0.005244,0.16,0.17,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.00502,0.12,0.13,0.1
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.004415,0.11,0.13,0.1
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005172,0.12,0.13,0.1
Cumbria Gosforth Primary School  ,µGy/h  ,0.00488,0.12,0.14,0.11
Cumbria Whitehaven  ,µGy/h  ,0.004386,0.1,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.004277,0.09,0.12,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.01227,0.11,0.13,0.07
Durham Brierton Sports Hall  ,µGy/h  ,0.005092,0.1,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005785,0.16,0.18,0.15
Durham Fairway House  ,µGy/h  ,0.005006,0.12,0.15,0.11
Durham Grangetown Fire Station  ,µGy/h  ,0.005281,0.14,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.006095,0.12,0.45,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.00533,0.13,0.15,0.12
East Lothian Dunbar  ,µGy/h  ,0.00534,0.12,0.13,0.1
East Lothian Haddington  ,µGy/h  ,0.00537,0.13,0.14,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.004912,0.11,0.13,0.09
East Lothian Linhead Farm  ,µGy/h  ,0.004641,0.11,0.13,0.09
East Lothian Musselburgh  ,µGy/h  ,0.005195,0.11,0.12,0.09
East Lothian North Berwick  ,µGy/h  ,0.005277,0.11,0.13,0.1
East Lothian Oldhamstocks  ,µGy/h  ,0.004941,0.11,0.13,0.09
Highland Forss Business Park  ,µGy/h  ,0.004814,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.005674,0.12,0.15,0.1
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.005039,0.12,0.14,0.1
Kent Lydd Airport  ,µGy/h  ,0.005011,0.12,0.14,0.1
Kent Lydd FS  ,µGy/h  ,0.004838,0.11,0.13,0.1
Kent Lydd Range  ,µGy/h  ,0.005124,0.12,0.14,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.005334,0.15,0.17,0.13
Lancashire Glasson Dock  ,µGy/h  ,0.003862,0.09,0.1,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004692,0.13,0.15,0.11
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004484,0.12,0.14,0.11
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.004713,0.14,0.16,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.00426,0.09,0.1,0.08
Lancashire White Lund Ind Estate  ,µGy/h  ,0.00511,0.1,0.12,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.005528,0.1,0.41,0.09
Lyneham  ,µGy/h  ,0.004701,0.1,0.13,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.00453,0.1,0.12,0.09
Plymouth Crownhill Police Station  ,µGy/h  ,0.004749,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.005463,0.11,0.13,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.004445,0.11,0.12,0.1
Plymouth Torpoint Ferry  ,µGy/h  ,0.003821,0.09,0.1,0.08
RNLI Appledore  ,µGy/h  ,0.005201,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.005105,0.1,0.12,0.08
RNLI Brixham  ,µGy/h  ,0.00523,0.1,0.13,0.09
RNLI Bude  ,µGy/h  ,0.004007,0.1,0.11,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.003365,0.08,0.09,0.07
RNLI Eastborne  ,µGy/h  ,0.004676,0.1,0.11,0.09
RNLI Exmouth  ,µGy/h  ,0.004488,0.09,0.12,0.08
RNLI Falmouth  ,µGy/h  ,0.004946,0.14,0.16,0.12
RNLI Hartlepool  ,µGy/h  ,0.004986,0.14,0.15,0.12
RNLI Largs  ,µGy/h  ,0.004767,0.12,0.13,0.1
RNLI Littlehampton  ,µGy/h  ,0.004597,0.09,0.1,0.08
RNLI Littlestone  ,µGy/h  ,0.004535,0.12,0.14,0.11
RNLI Lowestoft  ,µGy/h  ,0.004731,0.11,0.13,0.1
RNLI Lyme Regis  ,µGy/h  ,0.005069,0.1,0.12,0.09
RNLI Mablethorpe  ,µGy/h  ,0.004981,0.14,0.16,0.12
RNLI Mudeford  ,µGy/h  ,0.004519,0.09,0.1,0.08
RNLI Newhaven  ,µGy/h  ,0.005011,0.1,0.11,0.08
RNLI Padstow  ,µGy/h  ,0.004631,0.13,0.15,0.12
RNLI Salcombe  ,µGy/h  ,0.005238,0.17,0.19,0.15
RNLI Southwold  ,µGy/h  ,0.00429,0.09,0.11,0.08
RNLI Swanage  ,µGy/h  ,0.003767,0.08,0.1,0.07
RNLI Thurso  ,µGy/h  ,0.005003,0.14,0.16,0.12
RNLI Withernsea  ,µGy/h  ,0.004949,0.13,0.15,0.12
RNLI Workington  ,µGy/h  ,0.004745,0.11,0.13,0.1
Scottish LH Duncansby Head  ,µGy/h  ,0.005435,0.1,0.12,0.08
Scottish LH North Ronaldsay  ,µGy/h  ,0.005189,0.11,0.14,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005226,0.13,0.15,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.00491,0.1,0.12,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.005209,0.09,0.11,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004755,0.13,0.14,0.12
Somerset Combwich  ,µGy/h  ,0.004589,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.004741,0.11,0.13,0.1
Somerset Nether Stowey School  ,µGy/h  ,0.004669,0.11,0.12,0.1
Somerset RSPCA Highbridge  ,µGy/h  ,0.004182,0.1,0.11,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.005283,0.11,0.39,0.09
Suffolk Dunwich  ,µGy/h  ,0.005053,0.1,0.12,0.08
Suffolk Knodishall  ,µGy/h  ,0.004342,0.09,0.11,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004829,0.09,0.11,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005173,0.1,0.12,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005231,0.09,0.11,0.08
Suffolk Theberton  ,µGy/h  ,0.004186,0.09,0.11,0.07
Suffolk Westleton  ,µGy/h  ,0.004892,0.09,0.11,0.08
Trinity House Dungeness  ,µGy/h  ,0.005429,0.13,0.15,0.11
Trinity House Harwich  ,µGy/h  ,0.004082,0.08,0.1,0.07
Trinity House St Bees  ,µGy/h  ,0.005474,0.11,0.13,0.09
