October to December 2021 RIMNET Mobile Monitor Summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.01873,0.17,0.20,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004913,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004449,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005197,0.11,0.12,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005272,0.09,0.12,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004706,0.11,0.13,0.09
Ayrshire Millglen Lodges  ,µGy/h  ,0.005139,0.09,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005731,0.19,0.21,0.16
Cornwall Falmouth FS  ,µGy/h  ,0.005619,0.17,0.20,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005546,0.17,0.19,0.15
Cornwall Penzance FS  ,µGy/h  ,0.005435,0.15,0.17,0.13
Cornwall Rame Head  ,µGy/h  ,0.005336,0.14,0.16,0.13
Cornwall Saltash FS  ,µGy/h  ,0.00506,0.13,0.16,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005449,0.17,0.20,0.16
Cornwall St Just FS  ,µGy/h  ,0.005374,0.16,0.18,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005122,0.12,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005271,0.11,0.14,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005354,0.11,0.15,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004789,0.12,0.14,0.10
Cumbria Whitehaven  ,µGy/h  ,0.004855,0.10,0.13,0.09
Dorset West Bay  ,µGy/h  ,0.00428,0.09,0.13,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.00501,0.12,0.14,0.10
Durham Brierton Sports Hall  ,µGy/h  ,0.003823,0.09,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.00588,0.16,0.18,0.14
Durham Fairway House  ,µGy/h  ,0.004979,0.12,0.14,0.10
Durham Grangetown Fire Station  ,µGy/h  ,0.00498,0.13,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.00523,0.12,0.14,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005387,0.14,0.16,0.12
East Lothian Dunbar  ,µGy/h  ,0.004834,0.12,0.14,0.10
East Lothian Haddington  ,µGy/h  ,0.005244,0.12,0.14,0.10
East Lothian Jeffrey Halls  ,µGy/h  ,0.00548,0.11,0.39,0.09
East Lothian Linhead Farm  ,µGy/h  ,0.005493,0.12,0.14,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005201,0.11,0.13,0.09
East Lothian North Berwick  ,µGy/h  ,0.005128,0.11,0.14,0.09
