Jul-Sep 2020 RIMNET mobile monitors summary,,,,,
Location,Units,Standard deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.005843,0.18,0.21,0.16
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004759,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004282,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005275,0.11,0.13,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.00518,0.10,0.11,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004286,0.11,0.13,0.09
Ayrshire Millglen Lodges  ,µGy/h  ,0.004852,0.09,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005562,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005417,0.17,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005446,0.16,0.19,0.15
Cornwall Penzance FS  ,µGy/h  ,0.00469,0.14,0.16,0.12
Cornwall Rame Head  ,µGy/h  ,0.005741,0.14,0.21,0.13
Cornwall Saltash FS  ,µGy/h  ,0.004801,0.13,0.17,0.11
Cornwall St Austell FS  ,µGy/h  ,0.005229,0.17,0.19,0.16
Cornwall St Just FS  ,µGy/h  ,0.005072,0.16,0.18,0.15
Cornwall Torpoint Ferry  ,µGy/h  ,0.00511,0.12,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.004124,0.11,0.13,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005096,0.12,0.14,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004663,0.12,0.15,0.10
Cumbria Whitehaven  ,µGy/h  ,0.003961,0.10,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.004069,0.09,0.12,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.003943,0.09,0.13,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.004989,0.09,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.006419,0.16,0.18,0.14
Durham Fairway House  ,µGy/h  ,0.004749,0.12,0.14,0.11
