Apr-Jun 2020 RIMNET mobile monitors summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.006732,0.18,0.53,0.15
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.005035,0.10,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004778,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.004947,0.11,0.15,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005575,0.10,0.35,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004358,0.11,0.13,0.09
Ayrshire Millglen Lodges  ,µGy/h  ,0.00503,0.09,0.12,0.08
Cornwall Callington FS  ,µGy/h  ,0.00551,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.00564,0.17,0.21,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005484,0.17,0.18,0.15
Cornwall Penzance FS  ,µGy/h  ,0.004755,0.14,0.17,0.12
Cornwall Rame Head  ,µGy/h  ,0.005423,0.15,0.17,0.13
Cornwall Saltash FS  ,µGy/h  ,0.00465,0.13,0.15,0.11
Cornwall St Austell FS  ,µGy/h  ,0.005237,0.17,0.19,0.16
Cornwall St Just FS  ,µGy/h  ,0.005309,0.16,0.19,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005027,0.12,0.14,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005543,0.11,0.51,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005017,0.12,0.14,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004831,0.12,0.14,0.11
Cumbria Whitehaven  ,µGy/h  ,0.003963,0.10,0.13,0.09
Dorset West Bay  ,µGy/h  ,0.003618,0.09,0.10,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.003834,0.09,0.10,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.005024,0.09,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005743,0.16,0.18,0.14
Durham Fairway House  ,µGy/h  ,0.004799,0.12,0.14,0.11
Durham Grangetown Fire Station  ,µGy/h  ,0.005215,0.14,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.005172,0.12,0.14,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005261,0.13,0.16,0.12
East Lothian Dunbar  ,µGy/h  ,0.005162,0.12,0.14,0.10
East Lothian Haddington  ,µGy/h  ,0.004878,0.13,0.14,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.004265,0.11,0.13,0.10
East Lothian Linhead Farm  ,µGy/h  ,0.004212,0.11,0.13,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005071,0.11,0.12,0.09
East Lothian North Berwick  ,µGy/h  ,0.005238,0.11,0.13,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.004711,0.11,0.13,0.10
Highland Forss Business Park  ,µGy/h  ,0.004368,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.005323,0.12,0.15,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.005139,0.12,0.13,0.10
Kent Lydd Airport  ,µGy/h  ,0.004834,0.12,0.14,0.10
Kent Lydd FS  ,µGy/h  ,0.004583,0.11,0.13,0.10
Kent Lydd Range  ,µGy/h  ,0.004988,0.12,0.14,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.004702,0.14,0.16,0.12
Lancashire Glasson Dock  ,µGy/h  ,0.006701,0.09,0.65,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004579,0.13,0.15,0.11
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004264,0.12,0.13,0.11
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.004659,0.14,0.16,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.004999,0.09,0.10,0.07
Lancashire White Lund Ind Estate  ,µGy/h  ,0.005052,0.10,0.12,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.004886,0.10,0.13,0.09
Lyneham  ,µGy/h  ,0.005448,0.10,0.14,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.004445,0.10,0.12,0.09
Plymouth Crownhill Police Station  ,µGy/h  ,0.004671,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.00518,0.11,0.12,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.004408,0.11,0.13,0.10
Plymouth Torpoint Ferry  ,µGy/h  ,0.003666,0.09,0.10,0.07
RNLI Appledore  ,µGy/h  ,0.005112,0.14,0.17,0.13
RNLI Bridlington  ,µGy/h  ,0.005556,0.10,0.35,0.08
RNLI Brixham  ,µGy/h  ,0.004905,0.10,0.12,0.09
RNLI Bude  ,µGy/h  ,0.003939,0.10,0.12,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.004895,0.09,0.34,0.08
RNLI Eastbourne  ,µGy/h  ,0.005089,0.09,0.12,0.08
RNLI Exmouth  ,µGy/h  ,0.003912,0.09,0.11,0.08
RNLI Falmouth  ,µGy/h  ,0.004803,0.14,0.16,0.12
RNLI Hartlepool  ,µGy/h  ,0.004756,0.14,0.15,0.12
RNLI Largs  ,µGy/h  ,0.004833,0.12,0.13,0.10
