Location,Units,Standard Deviation,Avg,Max,Min
10VS London  ,µGy/h  ,0.004958,0.07,0.09,0.06
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.01458,0.18,0.20,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004813,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004408,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005221,0.11,0.13,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005051,0.10,0.11,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004892,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.005202,0.10,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005635,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005496,0.16,0.18,0.14
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005479,0.17,0.18,0.15
Cornwall Penzance FS  ,µGy/h  ,0.004784,0.14,0.16,0.12
Cornwall Rame Head  ,µGy/h  ,0.005356,0.14,0.16,0.13
Cornwall Saltash FS  ,µGy/h  ,0.004969,0.13,0.16,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005335,0.17,0.19,0.15
Cornwall St Just FS  ,µGy/h  ,0.006083,0.16,0.48,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.004993,0.12,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005796,0.11,0.40,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005157,0.12,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.005012,0.12,0.14,0.11
Cumbria Whitehaven  ,µGy/h  ,0.004541,0.10,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.00456,0.09,0.11,0.08
Dorset Weymouth Harbour  ,µGy/h  ,0.004327,0.09,0.11,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.005082,0.10,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005781,0.16,0.18,0.14
Durham Fairway House  ,µGy/h  ,0.005065,0.12,0.14,0.11
Durham Grangetown Fire Station  ,µGy/h  ,0.005905,0.14,0.43,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.006047,0.12,0.14,0.09
Durham Stotfold Crest Stables  ,µGy/h  ,0.005253,0.13,0.15,0.12
East Lothian Dunbar  ,µGy/h  ,0.005245,0.12,0.13,0.10
East Lothian Haddington  ,µGy/h  ,0.005258,0.13,0.15,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.00459,0.11,0.13,0.09
East Lothian Linhead Farm  ,µGy/h  ,0.004733,0.11,0.13,0.09
East Lothian Musselburgh  ,µGy/h  ,0.005153,0.11,0.12,0.09
East Lothian North Berwick  ,µGy/h  ,0.005332,0.11,0.13,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.004807,0.11,0.13,0.10
Highland Forss Business Park  ,µGy/h  ,0.00512,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.005239,0.12,0.14,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.005131,0.12,0.13,0.10
Kent Lydd Airport  ,µGy/h  ,0.005106,0.12,0.14,0.10
Kent Lydd FS  ,µGy/h  ,0.004639,0.11,0.13,0.10
Kent Lydd Range  ,µGy/h  ,0.004923,0.12,0.14,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.004967,0.14,0.16,0.12
Lancashire Glasson Dock  ,µGy/h  ,0.003997,0.09,0.11,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004993,0.13,0.15,0.11
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004583,0.12,0.14,0.10
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.004821,0.14,0.16,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.004879,0.09,0.10,0.07
Lancashire White Lund Ind Estate  ,µGy/h  ,0.005159,0.11,0.12,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.004927,0.10,0.12,0.09
Lyneham  ,µGy/h  ,0.004399,0.10,0.12,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.004481,0.10,0.12,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.004507,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.005227,0.11,0.12,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.004806,0.11,0.13,0.09
Plymouth Torpoint Ferry  ,µGy/h  ,0.00388,0.09,0.10,0.08
RNLI Appledore  ,µGy/h  ,0.005169,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.00501,0.10,0.11,0.08
RNLI Brixham  ,µGy/h  ,0.005011,0.10,0.12,0.09
RNLI Bude  ,µGy/h  ,0.00404,0.10,0.11,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.004788,0.09,0.35,0.07
RNLI Eastbourne  ,µGy/h  ,0.00704,0.10,0.65,0.08
RNLI Exmouth  ,µGy/h  ,0.0041,0.09,0.11,0.08
RNLI Falmouth  ,µGy/h  ,0.004996,0.14,0.16,0.12
RNLI Hartlepool  ,µGy/h  ,0.004977,0.14,0.15,0.12
