Oct-Dec 2020 RIMNET mobile monitors summary,,,,,
Location,Units,Standard Deviation,Avg ,Max ,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.007228,0.18,0.27,0.16
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.006156,0.09,0.17,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.00539,0.11,0.17,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.006371,0.11,0.17,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.006332,0.10,0.36,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.005336,0.11,0.15,0.09
Ayrshire Millglen Lodges  ,µGy/h  ,0.006094,0.10,0.16,0.08
Cornwall Callington FS  ,µGy/h  ,0.00583,0.19,0.22,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.006046,0.17,0.20,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005654,0.17,0.19,0.15
Cornwall Penzance FS  ,µGy/h  ,0.00525,0.14,0.17,0.13
Cornwall Rame Head  ,µGy/h  ,0.005918,0.14,0.19,0.13
Cornwall Saltash FS  ,µGy/h  ,0.005361,0.13,0.16,0.12
Cornwall St Austell FS  ,µGy/h  ,0.00567,0.17,0.20,0.16
Cornwall St Just FS  ,µGy/h  ,0.005876,0.16,0.21,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005095,0.12,0.14,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005095,0.11,0.15,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005555,0.12,0.15,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.005385,0.12,0.15,0.11
Cumbria Whitehaven  ,µGy/h  ,0.005382,0.10,0.15,0.09
Dorset West Bay  ,µGy/h  ,0.005226,0.09,0.13,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.005515,0.09,0.15,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.005571,0.10,0.34,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.006006,0.17,0.19,0.15
Durham Fairway House  ,µGy/h  ,0.005484,0.12,0.15,0.10
Durham Grangetown Fire Station  ,µGy/h  ,0.005413,0.14,0.16,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.005629,0.13,0.15,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.00636,0.14,0.19,0.12
East Lothian Dunbar  ,µGy/h  ,0.006279,0.12,0.16,0.10
East Lothian Haddington  ,µGy/h  ,0.006389,0.13,0.18,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.005763,0.11,0.17,0.10
East Lothian Linhead Farm  ,µGy/h  ,0.005498,0.11,0.15,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005872,0.11,0.15,0.09
East Lothian North Berwick  ,µGy/h  ,0.007147,0.11,0.18,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.006721,0.11,0.18,0.10
Highland Forss Business Park  ,µGy/h  ,0.005554,0.12,0.16,0.11
Highland Macleod Garage  ,µGy/h  ,0.007066,0.12,0.20,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.005642,0.12,0.17,0.10
Kent Lydd Airport  ,µGy/h  ,0.005743,0.12,0.16,0.10
Kent Lydd FS  ,µGy/h  ,0.005451,0.11,0.15,0.10
Kent Lydd Range  ,µGy/h  ,0.006372,0.12,0.18,0.11
Lancashire Glasson Dock  ,µGy/h  ,0.004252,0.09,0.11,0.08
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004826,0.12,0.15,0.11
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.005276,0.14,0.18,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.005456,0.09,0.13,0.07
Lancashire White Lund Ind Estate  ,µGy/h  ,0.005791,0.11,0.14,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.00625,0.10,0.16,0.09
Lyneham  ,µGy/h  ,0.007634,0.10,0.19,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.004953,0.10,0.13,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.005104,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.00564,0.11,0.15,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.005187,0.11,0.15,0.09
Plymouth Torpoint Ferry  ,µGy/h  ,0.004107,0.09,0.11,0.08
RNLI Appledore  ,µGy/h  ,0.005422,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.005358,0.10,0.13,0.08
RNLI Brixham  ,µGy/h  ,0.005555,0.10,0.13,0.09
RNLI Bude  ,µGy/h  ,0.005116,0.10,0.15,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.005468,0.09,0.14,0.08
RNLI Eastborne  ,µGy/h  ,0.007708,0.10,0.75,0.08
RNLI Exmouth  ,µGy/h  ,0.004758,0.09,0.12,0.08
RNLI Falmouth  ,µGy/h  ,0.005243,0.14,0.17,0.12
RNLI Hartlepool  ,µGy/h  ,0.005037,0.14,0.16,0.12
RNLI Largs  ,µGy/h  ,0.004927,0.12,0.14,0.10
RNLI Littlehampton  ,µGy/h  ,0.005225,0.09,0.12,0.07
RNLI Littlestone  ,µGy/h  ,0.005741,0.12,0.19,0.11
