July to September 2019 - RIMNET Mobile Monitors Summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
10VS London  ,µGy/h  ,0.004619,0.07,0.08,0.06
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.01279,0.18,0.21,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.005042,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004473,0.11,0.13,0.1
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005814,0.11,0.39,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005224,0.1,0.13,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004294,0.11,0.14,0.1
Ayrshire Millglen Lodges  ,µGy/h  ,0.005084,0.09,0.12,0.08
Cornwall Callington FS  ,µGy/h  ,0.005617,0.19,0.2,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005703,0.16,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005448,0.16,0.18,0.15
Cornwall Penzance FS  ,µGy/h  ,0.004714,0.14,0.16,0.13
Cornwall Rame Head  ,µGy/h  ,0.005329,0.14,0.17,0.13
Cornwall Saltash FS  ,µGy/h  ,0.004861,0.13,0.15,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005546,0.17,0.19,0.15
Cornwall St Just FS  ,µGy/h  ,0.005486,0.16,0.19,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005121,0.12,0.13,0.1
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.004177,0.11,0.13,0.1
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005087,0.12,0.14,0.1
Cumbria Gosforth Primary School  ,µGy/h  ,0.004769,0.12,0.15,0.11
Cumbria Whitehaven  ,µGy/h  ,0.003995,0.1,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.004337,0.09,0.11,0.08
Dorset Weymouth Harbour  ,µGy/h  ,0.004263,0.09,0.13,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.005013,0.09,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005677,0.17,0.19,0.15
Durham Fairway House  ,µGy/h  ,0.005307,0.13,0.15,0.11
Durham Grangetown Fire Station  ,µGy/h  ,0.005229,0.14,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.004856,0.12,0.15,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005219,0.13,0.16,0.12
East Lothian Dunbar  ,µGy/h  ,0.005307,0.12,0.14,0.1
East Lothian Haddington  ,µGy/h  ,0.005238,0.13,0.15,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.004219,0.11,0.13,0.1
East Lothian Linhead Farm  ,µGy/h  ,0.004771,0.11,0.13,0.09
East Lothian Musselburgh  ,µGy/h  ,0.005214,0.11,0.14,0.09
East Lothian North Berwick  ,µGy/h  ,0.005297,0.11,0.14,0.1
East Lothian Oldhamstocks  ,µGy/h  ,0.00479,0.11,0.15,0.1
Highland Forss Business Park  ,µGy/h  ,0.00428,0.12,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.005206,0.12,0.13,0.1
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.004972,0.12,0.13,0.1
Kent Lydd Airport  ,µGy/h  ,0.005055,0.12,0.16,0.1
Kent Lydd FS  ,µGy/h  ,0.004117,0.11,0.14,0.09
Kent Lydd Range  ,µGy/h  ,0.0054,0.13,0.19,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.004968,0.14,0.16,0.12
Lancashire Glasson Dock  ,µGy/h  ,0.003729,0.09,0.11,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.004668,0.13,0.15,0.12
Lancashire Morecambe Town Hall  ,µGy/h  ,0.004489,0.12,0.14,0.1
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.004566,0.14,0.17,0.13
Lancashire The Platform Morecambe  ,µGy/h  ,0.00524,0.09,0.13,0.07
Lancashire White Lund Ind Estate  ,µGy/h  ,0.005133,0.1,0.15,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.005151,0.1,0.14,0.09
Lyneham  ,µGy/h  ,0.005048,0.1,0.14,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.004513,0.1,0.12,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.005167,0.13,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.005169,0.1,0.13,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.004441,0.11,0.14,0.1
Plymouth Torpoint Ferry  ,µGy/h  ,0.003805,0.1,0.11,0.09
Plymouth University  ,µGy/h  ,0.005121,0.13,0.14,0.11
RNLI Appledore  ,µGy/h  ,0.004909,0.14,0.16,0.13
RNLI Bridlington  ,µGy/h  ,0.005107,0.1,0.12,0.08
RNLI Brixham  ,µGy/h  ,0.004551,0.1,0.12,0.08
RNLI Bude  ,µGy/h  ,0.003963,0.1,0.11,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.004061,0.09,0.11,0.08
RNLI Eastbourne  ,µGy/h  ,0.006302,0.09,0.43,0.08
RNLI Exmouth  ,µGy/h  ,0.004834,0.09,0.1,0.07
RNLI Falmouth  ,µGy/h  ,0.004625,0.13,0.15,0.11
RNLI Hartlepool  ,µGy/h  ,0.005108,0.14,0.16,0.12
RNLI Largs  ,µGy/h  ,0.004882,0.12,0.13,0.1
RNLI Littlehampton  ,µGy/h  ,0.005041,0.09,0.1,0.07
RNLI Littlestone  ,µGy/h  ,0.004429,0.12,0.17,0.11
RNLI Lowestoft  ,µGy/h  ,0.004474,0.12,0.14,0.1
RNLI Lyme Regis  ,µGy/h  ,0.004848,0.1,0.11,0.08
RNLI Mabelthorpe  ,µGy/h  ,0.0047,0.13,0.14,0.11
RNLI Mudeford  ,µGy/h  ,0.004886,0.09,0.11,0.07
RNLI Newhaven   ,µGy/h  ,0.00549,0.09,0.34,0.08
RNLI Padstow  ,µGy/h  ,0.005025,0.13,0.14,0.11
RNLI Salcombe  ,µGy/h  ,0.005369,0.16,0.18,0.15
RNLI Southwold  ,µGy/h  ,0.005172,0.09,0.15,0.08
RNLI Swanage  ,µGy/h  ,0.003592,0.08,0.09,0.07
RNLI Thurso  ,µGy/h  ,0.004727,0.14,0.16,0.13
RNLI Withernsea  ,µGy/h  ,0.005165,0.12,0.14,0.11
RNLI Workington  ,µGy/h  ,0.004361,0.11,0.13,0.1
Scottish LH Duncansby Head  ,µGy/h  ,0.005078,0.09,0.12,0.08
Scottish LH Kinnaird Head  ,µGy/h  ,0.005026,0.11,0.13,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.004772,0.11,0.13,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005262,0.13,0.15,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.004542,0.1,0.13,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.004169,0.09,0.13,0.08
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004545,0.13,0.15,0.12
Somerset Combwich  ,µGy/h  ,0.004874,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.005142,0.1,0.14,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.004486,0.11,0.13,0.1
Somerset RSPCA Highbridge  ,µGy/h  ,0.004929,0.11,0.13,0.09
South Gloucestershire Yate Council Offices  ,µGy/h  ,0.004407,0.09,0.11,0.08
Suffolk Aldeburgh  ,µGy/h  ,0.00468,0.11,0.15,0.1
Suffolk Dunwich  ,µGy/h  ,0.005078,0.1,0.15,0.08
Suffolk Eastbridge  ,µGy/h  ,0.004815,0.09,0.14,0.08
Suffolk Knodishall  ,µGy/h  ,0.004537,0.09,0.14,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004727,0.09,0.14,0.08
Suffolk Leiston 02  ,µGy/h  ,0.00437,0.1,0.16,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005986,0.09,0.48,0.08
Suffolk Theberton  ,µGy/h  ,0.004204,0.09,0.14,0.08
Suffolk Westleton  ,µGy/h  ,0.005168,0.09,0.14,0.08
Trinity House Dungeness  ,µGy/h  ,0.005456,0.13,0.17,0.11
Trinity House Harwich  ,µGy/h  ,0.003972,0.08,0.12,0.07
Trinity House St Bees  ,µGy/h  ,0.0054,0.11,0.15,0.09
