October to December 2019 RIMNET Mobile Monitors Summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
10VS London  ,µGy/h  ,0.005007,0.08,0.09,0.06
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.01326,0.18,0.21,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.005182,0.09,0.12,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004804,0.11,0.15,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005376,0.11,0.15,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005017,0.10,0.12,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004755,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.005157,0.10,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005733,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005917,0.16,0.20,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005569,0.17,0.19,0.15
Cornwall Penzance FS  ,µGy/h  ,0.005061,0.14,0.16,0.13
Cornwall Rame Head  ,µGy/h  ,0.005666,0.15,0.18,0.13
Cornwall Saltash FS  ,µGy/h  ,0.005399,0.13,0.16,0.12
Cornwall St Austell FS  ,µGy/h  ,0.005688,0.17,0.20,0.16
Cornwall St Just FS  ,µGy/h  ,0.005917,0.16,0.19,0.15
Cornwall Torpoint Ferry  ,µGy/h  ,0.006253,0.12,0.44,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.004692,0.11,0.13,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005015,0.12,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.005181,0.12,0.14,0.11
Cumbria Whitehaven  ,µGy/h  ,0.004786,0.10,0.14,0.09
Dorset West Bay  ,µGy/h  ,0.005186,0.09,0.12,0.08
Dorset Weymouth Harbour  ,µGy/h  ,0.004799,0.09,0.12,0.08
Durham Brierton Sports Hall  ,µGy/h  ,0.005022,0.10,0.11,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005969,0.17,0.19,0.15
Durham Fairway House  ,µGy/h  ,0.005485,0.13,0.15,0.11
Durham Grangetown Fire Station  ,µGy/h  ,0.005248,0.14,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.005277,0.12,0.15,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.006118,0.13,0.19,0.12
East Lothian Dunbar  ,µGy/h  ,0.005486,0.12,0.15,0.10
East Lothian Haddington  ,µGy/h  ,0.005679,0.13,0.18,0.11
East Lothian Jeffery Halls  ,µGy/h  ,0.005108,0.11,0.15,0.10
East Lothian Linhead Farm  ,µGy/h  ,0.005478,0.11,0.15,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005118,0.11,0.14,0.09
East Lothian North Berwick  ,µGy/h  ,0.005754,0.11,0.16,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.005645,0.11,0.17,0.10
Highland Forss Business Park  ,µGy/h  ,0.005127,0.12,0.15,0.10
Highland Macleod Garage  ,µGy/h  ,0.006734,0.12,0.18,0.10
Highland Melvich Fishermens Cottage  ,µGy/h  ,0.00511,0.12,0.14,0.10
Kent Lydd Airport  ,µGy/h  ,0.005289,0.12,0.15,0.10
Kent Lydd FS  ,µGy/h  ,0.004583,0.11,0.14,0.10
Kent Lydd Range  ,µGy/h  ,0.005924,0.13,0.17,0.11
Lancashire Beck View Housing Association  ,µGy/h  ,0.004967,0.14,0.16,0.12
Lancashire Glasson Dock  ,µGy/h  ,0.003995,0.09,0.11,0.08
Lancashire Lancaster Town Hall  ,µGy/h  ,0.005004,0.13,0.15,0.12
Lancashire Morecambe Town Hall  ,µGy/h  ,0.00457,0.12,0.14,0.10
Lancashire Salt Ayre Sports Centre  ,µGy/h  ,0.004856,0.14,0.16,0.12
Lancashire The Platform Morecambe  ,µGy/h  ,0.004743,0.09,0.12,0.07
Lancashire White Lund Ind Estate  ,µGy/h  ,0.005227,0.11,0.13,0.09
Lancashire Williamson Park South  ,µGy/h  ,0.005169,0.10,0.13,0.09
Lyneham  ,µGy/h  ,0.005638,0.10,0.34,0.09
Plymouth Cattedown Depot  ,µGy/h  ,0.00466,0.10,0.13,0.08
Plymouth Crownhill Police Station  ,µGy/h  ,0.004818,0.12,0.14,0.11
Plymouth Life Centre  ,µGy/h  ,0.005384,0.11,0.13,0.09
Plymouth Tamar Bridge  ,µGy/h  ,0.004745,0.11,0.13,0.09
Plymouth Torpoint Ferry  ,µGy/h  ,0.004132,0.09,0.11,0.08
RNLI Appledore  ,µGy/h  ,0.00539,0.14,0.17,0.13
RNLI Bridlington  ,µGy/h  ,0.005321,0.10,0.13,0.08
RNLI Brixham  ,µGy/h  ,0.005376,0.11,0.13,0.09
RNLI Bude  ,µGy/h  ,0.004581,0.10,0.12,0.09
RNLI Burnham-on-Sea  ,µGy/h  ,0.004535,0.09,0.11,0.08
RNLI Eastbourne  ,µGy/h  ,0.005204,0.10,0.13,0.08
RNLI Exmouth  ,µGy/h  ,0.004616,0.09,0.11,0.08
RNLI Falmouth  ,µGy/h  ,0.005295,0.14,0.17,0.13
RNLI Hartlepool  ,µGy/h  ,0.005037,0.14,0.16,0.12
RNLI Largs  ,µGy/h  ,0.004716,0.12,0.14,0.10
RNLI Littlehampton  ,µGy/h  ,0.004849,0.09,0.10,0.07
RNLI Littlestone  ,µGy/h  ,0.00514,0.12,0.16,0.11
RNLI Lowestoft  ,µGy/h  ,0.004713,0.12,0.14,0.10
RNLI Lyme Regis  ,µGy/h  ,0.004533,0.10,0.11,0.09
RNLI Mabelthorpe  ,µGy/h  ,0.005261,0.13,0.17,0.11
RNLI Mudeford  ,µGy/h  ,0.004446,0.09,0.10,0.08
RNLI Newhaven   ,µGy/h  ,0.005083,0.10,0.12,0.08
RNLI Padstow  ,µGy/h  ,0.005245,0.13,0.15,0.11
RNLI Salcombe  ,µGy/h  ,0.005678,0.16,0.20,0.15
RNLI Southwold  ,µGy/h  ,0.006141,0.10,0.14,0.08
RNLI Swanage  ,µGy/h  ,0.004203,0.08,0.10,0.07
RNLI Thurso  ,µGy/h  ,0.005123,0.14,0.16,0.13
RNLI Withernsea  ,µGy/h  ,0.006048,0.13,0.18,0.11
RNLI Workington  ,µGy/h  ,0.005019,0.11,0.14,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.007416,0.10,0.16,0.08
Scottish LH Kinnaird Head  ,µGy/h  ,0.006212,0.11,0.16,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.006023,0.11,0.16,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005726,0.13,0.16,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.005722,0.10,0.14,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.007313,0.09,0.17,0.08
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004883,0.13,0.15,0.11
Somerset Combwich  ,µGy/h  ,0.005275,0.10,0.12,0.08
Somerset Kilve  ,µGy/h  ,0.005665,0.10,0.15,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.005337,0.11,0.16,0.10
