Jan-Mar 2022 RIMNET mobile monitors summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.0113,0.18,0.20,0.13
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004588,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004135,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.00514,0.11,0.12,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.0051,0.09,0.12,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004437,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.004956,0.10,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.005605,0.19,0.20,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005678,0.17,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005476,0.16,0.18,0.15
Cornwall Penzance FS  ,µGy/h  ,0.00542,0.14,0.17,0.13
Cornwall Rame Head  ,µGy/h  ,0.005114,0.14,0.16,0.13
Cornwall Saltash FS  ,µGy/h  ,0.00479,0.13,0.15,0.11
Cornwall St Austell FS  ,µGy/h  ,0.00518,0.17,0.19,0.16
Cornwall St Just FS  ,µGy/h  ,0.0055,0.16,0.19,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005157,0.12,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005913,0.11,0.45,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005138,0.11,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.004652,0.12,0.14,0.10
Cumbria Whitehaven  ,µGy/h  ,0.004401,0.10,0.12,0.09
Dorset West Bay  ,µGy/h  ,0.004175,0.09,0.11,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.005267,0.12,0.14,0.10
Durham Brierton Sports Hall  ,µGy/h  ,0.003771,0.09,0.10,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005719,0.16,0.18,0.15
Durham Fairway House  ,µGy/h  ,0.005089,0.12,0.14,0.10
Durham Grangetown Fire Station  ,µGy/h  ,0.004827,0.13,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.005064,0.12,0.14,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005273,0.14,0.15,0.12
East Lothian Dunbar  ,µGy/h  ,0.004803,0.12,0.14,0.10
East Lothian Haddington  ,µGy/h  ,0.005296,0.12,0.13,0.10
East Lothian Jefferey Halls  ,µGy/h  ,0.005416,0.11,0.23,0.09
East Lothian Linhead Farm  ,µGy/h  ,0.004331,0.12,0.14,0.11
East Lothian Musselburgh  ,µGy/h  ,0.00518,0.11,0.12,0.09
