Location,Units,Standard Deviation,Avg,Max,Min
Anglesey Alaw Elim Water Treatment Works  ,µGy/h  ,0.006881,0.18,0.20,0.14
Anglesey Amlwch Leisure Centre  ,µGy/h  ,0.004822,0.09,0.11,0.08
Anglesey Gorsllwyd Rhosybol Pumping Station  ,µGy/h  ,0.004237,0.11,0.13,0.10
Anglesey Llanfaethlu Water Treatment Works  ,µGy/h  ,0.005081,0.11,0.14,0.09
Ayrshire Garnock Valley Crematorium  ,µGy/h  ,0.005094,0.09,0.11,0.08
Ayrshire Holmbyre Cattery  ,µGy/h  ,0.004238,0.11,0.13,0.10
Ayrshire Millglen Lodges  ,µGy/h  ,0.004995,0.10,0.11,0.08
Cornwall Callington FS  ,µGy/h  ,0.00556,0.19,0.21,0.17
Cornwall Falmouth FS  ,µGy/h  ,0.005581,0.17,0.19,0.15
Cornwall Mt Edgcombe House  ,µGy/h  ,0.005396,0.16,0.18,0.14
Cornwall Penzance FS  ,µGy/h  ,0.005351,0.15,0.16,0.13
Cornwall Rame Head  ,µGy/h  ,0.005106,0.14,0.16,0.09
Cornwall Saltash FS  ,µGy/h  ,0.004603,0.13,0.15,0.11
Cornwall St Austell FS  ,µGy/h  ,0.00531,0.17,0.19,0.16
Cornwall St Just FS  ,µGy/h  ,0.005314,0.16,0.17,0.14
Cornwall Torpoint Ferry  ,µGy/h  ,0.005151,0.12,0.13,0.10
Cumbria Drigg & Carleton Village Hall  ,µGy/h  ,0.005053,0.11,0.13,0.10
Cumbria Egremont Rangers ARLFC  ,µGy/h  ,0.005027,0.11,0.13,0.10
Cumbria Gosforth Primary School  ,µGy/h  ,0.00433,0.12,0.13,0.10
Cumbria Whitehaven  ,µGy/h  ,0.004001,0.10,0.11,0.09
Dorset West Bay  ,µGy/h  ,0.003917,0.09,0.10,0.08
Dorset weymouth Harbour  ,µGy/h  ,0.005028,0.12,0.13,0.10
Durham Brierton Sports Hall  ,µGy/h  ,0.003692,0.09,0.10,0.08
Durham Cowpen Lane Depot  ,µGy/h  ,0.005607,0.16,0.18,0.14
Durham Fairway House  ,µGy/h  ,0.004938,0.12,0.13,0.10
Durham Grangetown Fire Station  ,µGy/h  ,0.004654,0.13,0.15,0.12
Durham Middlesborough Civic Centre  ,µGy/h  ,0.004934,0.12,0.14,0.11
Durham Stotfold Crest Stables  ,µGy/h  ,0.005259,0.14,0.16,0.12
East Lothian Dunbar  ,µGy/h  ,0.004583,0.12,0.14,0.10
East Lothian Haddington  ,µGy/h  ,0.005229,0.12,0.13,0.10
East Lothian Jefferey Hall  ,µGy/h  ,0.004973,0.11,0.12,0.09
East Lothian Linhead Farm  ,µGy/h  ,0.004954,0.12,0.14,0.10
East Lothian Musselburgh  ,µGy/h  ,0.005162,0.11,0.13,0.09
East Lothian North Berwick  ,µGy/h  ,0.004723,0.11,0.14,0.10
East Lothian Oldhamstocks  ,µGy/h  ,0.005125,0.12,0.14,0.10
Highland Forss Business Park  ,µGy/h  ,0.005007,0.13,0.14,0.11
Highland Macleod Garage  ,µGy/h  ,0.004479,0.12,0.14,0.11
