file_path,dno_name,mpan_code,year,band,min_rate,max_rate,mean_rate,median_rate,count
"duos_expanded_data/northern_powergrid_2025_annex_1_lv,_hv_and_ums_charges.csv",Northern Powergrid,16,2025,RED,-3.915,15.82,2.6679062499999997,2.83,32
"duos_expanded_data/sp_distribution_2021_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2021,RED,-6.441,22.728,2.8705263157894736,4.162,19
"duos_expanded_data/sp_distribution_2024_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2024,RED,-7.403,23.145,4.8635,6.72,32
"duos_expanded_data/uk_power_networks_eastern_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2021,RED,-9.262,40.302,3.9703684210526307,5.289,19
"duos_expanded_data/uk_power_networks_london_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN London,11,2021,RED,-5.511,29.411,2.1815263157894735,2.57,19
"duos_extracted_data/electricity_north_west_2021_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2021,RED,-6.774,17.522,2.4397368421052628,4.504,19
"duos_extracted_data/electricity_north_west_2023_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2023,RED,-7.433,23.217,4.5156875,5.993,32
duos_extracted_data/uk_power_networks_eastern_2017_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2017,RED,-9.684,39.655,3.208407407407407,1.535,27
duos_extracted_data/uk_power_networks_eastern_2018_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2018,RED,-9.215,38.178,1.66669696969697,0.708,33
duos_extracted_data/uk_power_networks_eastern_2019_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2019,RED,-9.434,40.892,1.8118484848484853,0.752,33
duos_extracted_data/uk_power_networks_eastern_2020_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2020,RED,-9.667,40.982,1.847090909090909,0.747,33
"duos_extracted_data/uk_power_networks_eastern_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2021,RED,-9.468,41.646,4.241999999999999,5.798,19
"duos_extracted_data/uk_power_networks_eastern_2022_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2022,RED,-9.287,40.226,6.331250000000001,6.755,32
"duos_spm_data/sp_distribution_2021_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2021,RED,-7.667,19.543,3.341315789473684,6.53,19
"duos_spm_data/sp_distribution_2024_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2024,RED,-7.403,23.145,4.8635,6.72,32
"duos_spm_data/sp_distribution_2025_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2025,RED,-10.032,29.056,6.59290625,8.679,32
"duos_expanded_data/northern_powergrid_2025_annex_1_lv,_hv_and_ums_charges.csv",Northern Powergrid,16,2025,AMBER,-1.288,2.145,0.75534375,0.854,32
