Tariff name,Open LLFCs,PCs,"Red/black unit charge
p/kWh","Amber/yellow unit charge
p/kWh","Green unit charge
p/kWh",Fixed charge p/MPAN/day,Capacity charge p/kVA/day,"Exceeded capacity charge
p/kVA/day","Reactive power charge
p/kVArh",Closed LLFCs
Domestic Aggregated or CT with Residual,"1A, 1AH, 100, 120, 279","0, 1, 2",5.294,1.741,0.257,16.99,0.0,0.0,0.0,999.0
Domestic Aggregated (Related MPAN),"3A, 111",2,5.294,1.741,0.257,0.0,0.0,0.0,0.0,
Non-Domestic Aggregated or CT No Residual,"2Z, 2ZH","0, 3, 4, 5-8",6.419,2.111,0.312,12.3,0.0,0.0,0.0,
Non-Domestic Aggregated or CT Band 1,"2A, 2AH","0, 3, 4, 5-8",6.419,2.111,0.312,16.36,0.0,0.0,0.0,
Non-Domestic Aggregated or CT Band 2,"2B, 2BH","0, 3, 4, 5-8",6.419,2.111,0.312,22.65,0.0,0.0,0.0,
Non-Domestic Aggregated or CT Band 3,"2C, 2CH","0, 3, 4, 5-8",6.419,2.111,0.312,36.91,0.0,0.0,0.0,
Non-Domestic Aggregated or CT Band 4,"2D, 2DH","0, 3, 4, 5-8",6.419,2.111,0.312,78.25,0.0,0.0,0.0,
Non-Domestic Aggregated (related MPAN),4A,4,6.419,2.111,0.312,0.0,0.0,0.0,0.0,
LV Site Specific No Residual,5Z,0,4.5,1.443,0.208,16.48,3.67,3.67,0.133,
LV Site Specific Band 1,5A,0,4.5,1.443,0.208,126.71,3.67,3.67,0.133,
LV Site Specific Band 2,5B,0,4.5,1.443,0.208,231.22,3.67,3.67,0.133,
LV Site Specific Band 3,5C,0,4.5,1.443,0.208,343.16,3.67,3.67,0.133,
LV Site Specific Band 4,5D,0,4.5,1.443,0.208,719.99,3.67,3.67,0.133,
LV Sub Site Specific No Residual,6Z,0,2.83,0.854,0.114,16.48,2.86,2.86,0.076,
LV Sub Site Specific Band 1,6A,0,2.83,0.854,0.114,126.71,2.86,2.86,0.076,
LV Sub Site Specific Band 2,6B,0,2.83,0.854,0.114,231.22,2.86,2.86,0.076,
LV Sub Site Specific Band 3,6C,0,2.83,0.854,0.114,343.16,2.86,2.86,0.076,
LV Sub Site Specific Band 4,6D,0,2.83,0.854,0.114,719.99,2.86,2.86,0.076,
HV Site Specific No Residual,7Z,0,1.93,0.546,0.067,431.64,3.36,3.36,0.047,
HV Site Specific Band 1,7A,0,1.93,0.546,0.067,1094.11,3.36,3.36,0.047,
HV Site Specific Band 2,7B,0,1.93,0.546,0.067,2321.33,3.36,3.36,0.047,
HV Site Specific Band 3,7C,0,1.93,0.546,0.067,4527.07,3.36,3.36,0.047,
HV Site Specific Band 4,7D,0,1.93,0.546,0.067,10167.82,3.36,3.36,0.047,
Unmetered Supplies,8A,"0, 1, 8",15.82,2.145,0.785,0.0,0.0,0.0,0.0,
LV Generation Aggregated,20,0,-3.915,-1.288,-0.19,0.0,0.0,0.0,0.0,
LV Sub Generation Aggregated,30,0,-3.236,-1.049,-0.152,0.0,0.0,0.0,0.0,
LV Generation Site Specific,"24, 22",0,-3.915,-1.288,-0.19,0.0,0.0,0.0,0.106,
LV Generation Site Specific no RP charge,"222, 224",0,-3.915,-1.288,-0.19,0.0,0.0,0.0,0.0,
LV Sub Generation Site Specific,"23, 25",0,-3.236,-1.049,-0.152,0.0,0.0,0.0,0.097,
LV Sub Generation Site Specific no RP charge,"223, 225",0,-3.236,-1.049,-0.152,0.0,0.0,0.0,0.0,
HV Generation Site Specific,"26, 28",0,-2.198,-0.663,-0.089,95.93,0.0,0.0,0.085,
HV Generation Site Specific no RP charge,"226, 228",0,-2.198,-0.663,-0.089,95.93,0.0,0.0,0.0,
