Tariff name,Open LLFCs,PCs,"Red/black unit charge
p/kWh","Amber/yellow unit charge
p/kWh","Green unit charge
p/kWh",Fixed charge p/MPAN/day,Capacity charge p/kVA/day,"Exceeded capacity charge
p/kVA/day","Reactive power charge
p/kVArh",Closed LLFCs
Domestic Aggregated,"1, 902, 906","1, 2 or 0",9.694,0.907,0.0,3.31,,,,"903, 907, 910"
Domestic Aggregated (related MPAN),"2, 911",2,9.694,0.907,0.0,,,,,"914, 915"
Non-Domestic Aggregated,"199, 200, 201, 202, 203, 204, 400, 952, 956",3-8 or 0,5.137,0.273,0.0,3.41,,,,"404, 953, 957, 960, 961, 970, 971"
Non-Domestic Aggregated (related MPAN),964,4,5.137,0.273,0.0,,,,,965
LV Site Specific,"9, 71, 72, 73, 74",0,4.239,0.144,0.0,8.14,4.18,6.52,0.388,
LV Sub Site Specific,"81, 82, 83, 84, 756",0,2.948,0.0,0.0,6.04,7.29,8.29,0.233,
HV Site Specific,"91, 92, 93, 94, 359",0,2.056,0.0,0.0,79.97,7.39,8.3,0.2,
LV Site Specific Storage Import,"19, 70",0,4.753,0.657,0.029,8.14,4.18,6.52,0.388,
LV Sub Site Specific Storage Import,"79, 80",0,3.461,0.47,0.024,6.04,7.29,8.29,0.233,
HV Site Specific Storage Import,"89, 90",0,2.57,0.316,0.017,79.97,7.39,8.3,0.2,
Unmetered Supplies,"350, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435","1, 8 or 0",29.411,1.944,0.028,,,,,
LV Generation Aggregated,762,8 or 0,-5.511,-0.767,-0.032,0.0,,,,"753, 763"
LV Sub Generation Aggregated,,0,-4.904,-0.68,-0.029,0.0,,,,
LV Generation Site Specific,"980, 982",0,-5.511,-0.767,-0.032,0.0,,,0.367,
LV Generation Site Specific no RP charge,"981, 983",0,-5.511,-0.767,-0.032,0.0,,,,
LV Sub Generation Site Specific,"984, 986",0,-4.904,-0.68,-0.029,0.0,,,0.328,
LV Sub Generation Site Specific no RP charge,"985, 987",0,-4.904,-0.68,-0.029,0.0,,,,
HV Generation Site Specific,"988, 990",0,-3.203,-0.433,-0.022,6.76,,,0.283,
HV Generation Site Specific no RP charge,"989, 991",0,-3.203,-0.433,-0.022,6.76,,,,
