Tariff name,Open LLFCs,PCs,"Red/black unit charge
p/kWh","Amber/yellow unit charge
p/kWh","Green unit charge
p/kWh",Fixed charge p/MPAN/day,Capacity charge p/kVA/day,"Exceeded capacity charge
p/kVA/day","Reactive power charge
p/kVArh",Closed LLFCs
Domestic Aggregated with Residual,1,"0, 1, 2",15.429,0.657,0.122,16.23,,,,"3,7, 11, 25, 40, 43, 46, 58"
Domestic Aggregated (Related MPAN),2,2,15.429,0.657,0.122,,,,,"22, 29, 55, 61"
Non-Domestic Aggregated No Residual,199,"0, 3, 4, 5-8",14.288,0.608,0.113,4.2,,,,
Non-Domestic Aggregated Band 1,201,"0, 3, 4, 5-8",14.288,0.608,0.113,5.33,,,,"200, 205, 254, 15, 49, 237, 238, 239, 242, 247, 248, 250"
Non-Domestic Aggregated Band 2,202,"0, 3, 4, 5-8",14.288,0.608,0.113,10.51,,,,
Non-Domestic Aggregated Band 3,203,"0, 3, 4, 5-8",14.288,0.608,0.113,19.94,,,,
Non-Domestic Aggregated Band 4,204,"0, 3, 4, 5-8",14.288,0.608,0.113,52.8,,,,
Non-Domestic Aggregated (related MPAN),200,4,14.288,0.608,0.113,,,,,"33, 64"
LV Site Specific No Residual,70,0,9.824,0.396,0.074,11.04,3.65,7.57,0.341,19
LV Site Specific Band 1,71,0,9.824,0.396,0.074,98.67,3.65,7.57,0.341,86
LV Site Specific Band 2,72,0,9.824,0.396,0.074,142.19,3.65,7.57,0.341,
LV Site Specific Band 3,73,0,9.824,0.396,0.074,234.29,3.65,7.57,0.341,
LV Site Specific Band 4,74,0,9.824,0.396,0.074,490.22,3.65,7.57,0.341,
LV Sub Site Specific No Residual,80,0,6.755,0.243,0.046,8.15,5.02,6.55,0.217,79
LV Sub Site Specific Band 1,81,0,6.755,0.243,0.046,95.78,5.02,6.55,0.217,
LV Sub Site Specific Band 2,82,0,6.755,0.243,0.046,139.31,5.02,6.55,0.217,
LV Sub Site Specific Band 3,83,0,6.755,0.243,0.046,231.4,5.02,6.55,0.217,
LV Sub Site Specific Band 4,84,0,6.755,0.243,0.046,487.33,5.02,6.55,0.217,85
HV Site Specific No Residual,90,0,5.57,0.18,0.035,109.59,4.19,5.86,0.176,89
HV Site Specific Band 1,91,0,5.57,0.18,0.035,637.99,4.19,5.86,0.176,
HV Site Specific Band 2,92,0,5.57,0.18,0.035,1440.55,4.19,5.86,0.176,
HV Site Specific Band 3,93,0,5.57,0.18,0.035,2834.21,4.19,5.86,0.176,
HV Site Specific Band 4,94,0,5.57,0.18,0.035,6770.43,4.19,5.86,0.176,
Unmetered Supplies,"100, 101, 102, 103, 350","0, 1 or 8",40.226,1.512,1.041,,,,,"110, 111, 112, 113, 150, 151, 152, 153, 160, 161, 162, 163 "
LV Generation Aggregated,932,0,-9.287,-0.396,-0.073,0.0,,,,"905, 913, 912"
LV Sub Generation Aggregated,,0,-8.284,-0.341,-0.063,0.0,,,,
LV Generation Site Specific,980,0,-9.287,-0.396,-0.073,0.0,,,0.3,982
LV Generation Site Specific no RP charge,981,0,-9.287,-0.396,-0.073,0.0,,,,983
LV Sub Generation Site Specific,984,0,-8.284,-0.341,-0.063,0.0,,,0.265,986
LV Sub Generation Site Specific no RP charge,985,0,-8.284,-0.341,-0.063,0.0,,,,987
HV Generation Site Specific,988,0,-6.122,-0.216,-0.041,9.27,,,0.217,990
HV Generation Site Specific no RP charge,989,0,-6.122,-0.216,-0.041,9.27,,,,991
