Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2018,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.978,1.173,1.0088114285714285,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.16,7.39,1.9291666666666665,1.55,G,North West,12,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.31,2.3256666666666663,2.205,G,North West,15,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.08,1.5710000000000002,1.417,G,North West,15,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.978,1.173,1.0079942857142856,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.16,10.49,4.070833333333334,3.18,G,North West,36,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,G,North West,167,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.686,3.31,2.14,2.536,G,North West,19,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.441,2.08,1.513421052631579,1.63,G,North West,19,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.978,1.173,1.0093657142857142,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.74,10.48,3.2555555555555555,2.6,G,North West,18,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2018,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,G,North West,59,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
2020,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.941,1.125,1.0027974683544305,1.0,G,North West,158,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.34,20.61,2.487391304347826,1.04,G,North West,23,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.92,2.5653333333333337,2.192,G,North West,15,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.52,1.7446666666666666,1.41,G,North West,15,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.941,1.125,1.0025569620253163,1.0,G,North West,158,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.34,10.62,3.965694444444445,3.17,G,North West,72,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,G,North West,167,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.685,3.92,2.3210526315789473,2.615,G,North West,19,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.441,2.52,1.6431578947368422,1.683,G,North West,19,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.941,1.125,1.0029240506329111,1.0,G,North West,158,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.72,11.96,3.785,2.79,G,North West,40,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
2020,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,G,North West,59,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables---2020-final-v3.xlsx
