Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2014,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.09,2.6983333333333333,2.72,K,South Wales,18,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.78,1.8009090909090908,1.4099999999999997,K,South Wales,22,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.018,1.024,1.0216666666666667,1.023,K,South Wales,6,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4493670886075949,1.0,K,South Wales,158,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.997,1.145,1.0201494565217393,1.018,K,South Wales,368,p/kWh,dno_data_enhanced/SWAE-2014-15.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.208,4.09,2.28625,2.72,K,South Wales,20,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.142,2.78,1.6604166666666664,2.0,K,South Wales,24,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.111,1.14,1.121,1.112,K,South Wales,3,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),3.13157768840991,6.86380183320103,4.9976897608054704,6.86380183320103,K,South Wales,2,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4634146341463414,1.0,K,South Wales,41,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.997,1.144,1.025016348773842,1.024,K,South Wales,367,p/kWh,dno_data_enhanced/SWAE-2014-15.xlsx
2015,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.97,2.729,2.623,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.7,1.9416666666666669,1.785,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4567901234567902,1.0,K,South Wales,162,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.185,3.97,2.2613157894736844,2.838,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.126,2.7,1.6728947368421052,1.931,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.111,1.14,1.121,1.112,K,South Wales,3,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
