Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2014,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.32,2.8094444444444444,2.95,L,South Western,18,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.75,1.7459090909090909,1.38,L,South Western,22,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4493670886075949,1.0,L,South Western,158,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.077,1.0224082332761577,1.022,L,South Western,583,p/kWh,dno_data_enhanced/SWEB-2014-15.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.23,4.32,2.43075,2.95,L,South Western,20,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.146,2.75,1.650625,2.0,L,South Western,24,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.008,1.035,1.024333333333333,1.029,L,South Western,24,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.0567170051506642,17.744967038761594,7.32177863579335,8.369653677396888,L,South Western,6,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4634146341463414,1.0,L,South Western,41,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-Apr-2014-Version-10-7-%c2%a35-removed.xlsx
2014,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.002,1.087,1.0315692307692308,1.032,L,South Western,585,p/kWh,dno_data_enhanced/SWEB-2014-15.xlsx
2015,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.56,3.060666666666666,2.91,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.89,2.038,1.846,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4567901234567902,1.0,L,South Western,162,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.204,4.56,2.5576315789473685,3.355,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.129,2.89,1.7755263157894736,2.128,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.017,1.035,1.02425,1.024,L,South Western,12,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.0681183385342382,16.77843657900567,5.006193506896978,1.393240726612257,L,South Western,7,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.469387755102041,1.0,L,South Western,49,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2016,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,6.08,3.7676666666666665,3.207,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.36,2.683333333333333,2.018,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,L,South Western,167,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.15,6.08,3.037894736842105,3.714,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.094,4.36,2.2081578947368423,2.337,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.017,1.035,1.0230555555555556,1.021,L,South Western,18,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.1357395840585439,15.126992626384355,4.949203818683185,1.251936583674966,L,South Western,7,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,L,South Western,59,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2017,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.66,3.1633333333333336,3.098,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.93,2.088,1.948,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,L,South Western,167,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.155,4.66,2.667105263157895,3.72,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.097,2.93,1.833157894736842,2.339,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.017,1.035,1.0230555555555556,1.021,L,South Western,18,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.1438790231853718,15.514575788575728,5.103095658110782,1.2947442518786632,L,South Western,7,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,L,South Western,59,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2018,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,5.25,3.2653333333333334,2.696,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.24,2.1263333333333336,1.691,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,L,South Western,167,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.434,5.25,2.978684210526316,3.035,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.9,3.24,2.011578947368421,1.904,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.1674169368513344,10.95467295251628,4.626226439374301,1.192966115045596,L,South Western,5,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2018,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,L,South Western,59,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
2019,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,5.1,3.223333333333333,2.75,L,South Western,15,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.14,2.0953333333333335,1.7180000000000002,L,South Western,15,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,L,South Western,167,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.425,5.1,2.931052631578947,3.013,L,South Western,19,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.89,3.14,1.976842105263158,1.882,L,South Western,19,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.012,1.035,1.0172222222222222,1.014,L,South Western,18,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.18373908,15.52259464,4.4671125279999995,1.58283102,L,South Western,5,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,L,South Western,59,p/kWh,dno_data_enhanced/SWEB - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2020,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.92,3.161666666666666,2.781,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2020 v2.xlsx
2020,22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.05,2.061,1.723,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2020 v2.xlsx
