Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,M,Yorkshire,6,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 PCDM Model v0.1.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.2162824014504158,1.0,0.4421024428646401,0.2415010791176434,M,Yorkshire,11,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 PCDM Model v0.1.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.7239004084464451,1.0,0.9133990104463212,0.9797242597660322,M,Yorkshire,24,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 PCDM Model v0.1.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.001,1.004,0.282076319431092,0.1506470676714619,M,Yorkshire,11,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 CDCM Model v0.2.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.002,1.0,0.3158620689655173,0.002,M,Yorkshire,29,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 CDCM Model v0.2.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.926,1.189,1.0177037037037036,1.008,M,Yorkshire,108,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 Schedule of charges and other tables v0.3.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.179642387209,0.229060465788,0.2043514264985,0.229060465788,M,Yorkshire,2,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 Schedule of charges and other tables v0.3.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",20.0,33.3,25.855208060030435,24.265624180091308,M,Yorkshire,3,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0133845309928688,33.3,7.941576127783464,0.6294050991501415,M,Yorkshire,7,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0413701832,33.32703958219571,3.8614866453550434,1.3795833876806398,M,Yorkshire,31,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,37.60455987893252,15.937166848761793,10.854847671154824,M,Yorkshire,32,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0080067749634311,4.0452569031158125,0.8839285599984987,0.0213882457030804,M,Yorkshire,11,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",20.0,33.3,25.855208060030435,24.265624180091308,M,Yorkshire,3,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20231222.xlsx
2023,23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,M,Yorkshire,5,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 PCDM Model v0.1.xlsx
2023,23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.1293041999766233,1.0,0.5143397112328177,0.4091082761185067,M,Yorkshire,12,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2023-24 PCDM Model v0.1.xlsx
