file_path,dno_name,mpan_code,year,band,sheet_name,time_period,min_rate,max_rate,mean_rate,median_rate,count,unit
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),1.05,4.29,2.6609090909090907,2.368,22,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.29,2.415,2.146,18,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.7,2.81,1.7602631578947368,1.579,19,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.81,1.8676666666666668,1.431,15,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,GREEN,Nodal prices,"23:00-07:00 (all days), all day (weekends) (default)",0.7950607253895671,0.7950607253895671,0.7950607253895671,0.7950607253895671,1,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/EMEB-2014-15.xlsx,National Grid East Midlands,12.0,2014,RED,EMEB,16:00-19:00 (weekdays) (default),0.956,1.085,1.011077922077922,1.006,308,p/kWh
dno_data_enhanced/EMEB-2014-15.xlsx,National Grid East Midlands,12.0,2014,AMBER,EMEB,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.97,1.053,1.0114999999999998,1.053,2,p/kWh
dno_data_enhanced/EMEB-2014-15.xlsx,National Grid East Midlands,12.0,2014,GREEN,EMEB,"23:00-07:00 (all days), all day (weekends) (default)",0.961,1.084,1.0075247524752475,1.003,303,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.06,3.0,1.931590909090909,2.429,22,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.61,1.8784090909090911,2.133,22,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.043,2.0,1.3726315789473684,1.723,19,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.85,1.511,1.513,15,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.01,1.06,1.0338333333333334,1.056,6,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,AMBER,Annex 5 LLFs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.009,1.011,1.0096666666666667,1.01,6,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.469387755102041,1.0,49,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx,National Grid East Midlands,12.0,2015,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4567901234567902,1.0,162,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.898,3.11,2.2043181818181816,2.291,22,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.11,1.9981818181818185,2.06,22,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.628,2.12,1.5660526315789474,1.603,19,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.12,1.595,1.441,15,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.011,1.068,1.0187666666666666,1.014,30,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,AMBER,Annex 5 LLFs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.012,1.091,1.0518333333333334,1.09,6,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,GREEN,Annex 5 LLFs,"23:00-07:00 (all days), all day (weekends) (default)",1.012,1.026,1.0143333333333333,1.014,12,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables - 2019 V.0.2 SOLR.xlsx,National Grid East Midlands,12.0,2019,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.935,11.0,4.487727272727273,2.0,22,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.935,8.743,3.607521739130435,1.868,23,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.65,6.075,2.532368421052632,1.298,19,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.65,6.075,2.520130434782609,1.298,23,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.067,5.34,2.745227272727273,2.672,22,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,5.34,2.8258333333333336,2.365,18,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.045,4.05,1.969736842105263,1.79,19,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.05,2.4146666666666667,1.584,15,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.018,1.023,1.021,1.022,3,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 5 LLFs,"23:00-07:00 (all days), all day (weekends) (default)",1.003,1.023,1.015,1.018,12,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2023,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.124,11.0,4.116388888888888,1.493,18,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2023,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.124,11.38,4.7304615384615385,4.0,26,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2023,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.087,4.613,1.9143333333333337,1.043,15,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2023,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.087,8.05,3.3976086956521745,1.043,23,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.834,3.35,2.255227272727273,2.339,22,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.35,2.069318181818182,2.085,22,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.58,2.33,1.615,1.627,19,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.33,1.682,1.45,15,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2020 v2.xlsx,National Grid East Midlands,12.0,2020,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.089,11.0,4.083611111111111,1.209,18,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.089,13.33,5.294913043478261,1.209,23,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.062,4.742,1.8823333333333332,0.843,15,p/kWh
dno_data_enhanced/EMEB-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.062,9.31,3.695652173913043,0.843,23,p/kWh
dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2025,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.242,34.0,8.934722222222222,1.63,18,p/kWh
dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2025,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.242,11.93,5.751173913043478,1.63,23,p/kWh
dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2025,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.159,6.506,2.579,1.072,15,p/kWh
dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,National Grid East Midlands,12.0,2025,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.159,7.84,3.7806956521739137,1.072,23,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,National Grid East Midlands,12.0,2025,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.142,11.0,5.265555555555555,1.943,18,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,National Grid East Midlands,12.0,2025,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.142,10.271,5.020217391304348,1.943,23,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,National Grid East Midlands,12.0,2025,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.098,7.101,2.8473333333333333,1.343,15,p/kWh
dno_data_enhanced/EMEB - Schedule of charges and other tables- 2025 V.0.2 for publishing.xlsx,National Grid East Midlands,12.0,2025,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.098,7.101,3.469173913043478,1.343,23,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.069,4.0,2.4124999999999996,2.646,22,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.9,2.3074999999999997,2.227,18,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.046,2.61,1.5860526315789472,1.771,19,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.61,1.8076666666666663,1.491,15,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.018,1.023,1.021,1.022,3,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,GREEN,Annex 5 LLFs,"23:00-07:00 (all days), all day (weekends) (default)",1.003,1.023,1.015,1.018,12,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid East Midlands,12.0,2017,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.09,34.0,7.628611111111111,0.951,18,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.09,16.39,5.856347826086957,0.951,23,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.059,3.99,1.5596666666666663,0.63,15,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2022 V.0.1.xlsx,National Grid East Midlands,12.0,2022,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.059,10.89,3.888,0.63,23,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.067,4.4799999999999995,2.3718181818181816,2.489,22,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.4799999999999995,2.391363636363636,2.146,22,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.047,3.5599999999999996,1.828157894736842,1.74,19,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.5599999999999996,2.1906666666666665,1.5,15,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.01,1.06,1.0220833333333337,1.011,12,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,AMBER,Annex 5 LLFs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.009,1.011,1.0096666666666667,1.01,6,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,Annex 5 LLFs,"23:00-07:00 (all days), all day (weekends) (default)",1.01,1.011,1.0103333333333333,1.01,6,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx,National Grid East Midlands,12.0,2016,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),1.169,34.0,7.449090909090909,2.0,22,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",1.169,7.704,3.772695652173913,1.903,23,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.774,5.104,2.299736842105263,1.261,19,p/kWh
dno_data_enhanced/MIDE-Schedule of charges and other tables-2021 V.0.2.xlsx,National Grid East Midlands,12.0,2021,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.774,5.104,2.5169565217391305,1.261,23,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.807,3.31,2.205,2.185,22,p/kWh
dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx,National Grid East Midlands,12.0,2018,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.31,2.029318181818182,1.957,22,p/kWh
