file_path,dno_name,mpan_code,year,band,sheet_name,time_period,min_rate,max_rate,mean_rate,median_rate,count,unit
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Fixed inputs,16:00-19:00 (weekdays) (default),1.0,1.0,1.0,1.0,7,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,AMBER,Fixed inputs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,6,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,GREEN,Fixed inputs,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,5,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,MEAV,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Capitalised,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Rev allocation,16:00-19:00 (weekdays) (default),0.0277541303765591,1.0,0.3289923165742675,0.2094777661909504,32,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,AMBER,Rev allocation,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.2013272824484832,1.0,0.4402018465173947,0.2575565773703093,11,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,GREEN,Rev allocation,"23:00-07:00 (all days), all day (weekends) (default)",0.1501491106686862,1.0,0.5142170263491445,0.3926891169212574,12,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,EDCM discounts,16:00-19:00 (weekdays) (default),0.0101151388948648,1.0,0.3446266377539975,0.1155907209951265,14,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,AMBER,EDCM discounts,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.7185125800980855,1.0,0.909802424892304,0.9721024313914156,24,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,GREEN,EDCM discounts,"23:00-07:00 (all days), all day (weekends) (default)",0.3170965474558803,1.0,0.7601364731446446,0.7807448204112789,23,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 Schedule of charges and other tables v0.2.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.257,5.294,2.34,1.741,19,p/kWh
