table_name,column_name,current_type,suggested_bq_type,note
bmrs_boalf,_dataset,STRING,STRING,Text / identifier
bmrs_boalf,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_boalf,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_boalf,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_boalf,acceptanceNumber,INTEGER,INT64,Whole number / code
bmrs_boalf,acceptanceTime,STRING,TIMESTAMP,UTC timestamp
bmrs_boalf,amendmentFlag,STRING,BOOL,Boolean indicator
bmrs_boalf,bmUnit,STRING,STRING,Text / identifier
bmrs_boalf,dataset,STRING,STRING,Text / identifier
bmrs_boalf,deemedBoFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_boalf,levelFrom,INTEGER,INT64,Whole number / code
bmrs_boalf,levelTo,INTEGER,INT64,Whole number / code
bmrs_boalf,nationalGridBmUnit,STRING,STRING,Text / identifier
bmrs_boalf,rrFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_boalf,settlementDate,STRING,DATE,Calendar date
bmrs_boalf,settlementPeriodFrom,INTEGER,STRING,Text / identifier
bmrs_boalf,settlementPeriodTo,INTEGER,STRING,Text / identifier
bmrs_boalf,soFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_boalf,storFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_boalf,timeFrom,STRING,TIMESTAMP,UTC timestamp
bmrs_boalf,timeTo,STRING,TIMESTAMP,UTC timestamp
bmrs_bod,_dataset,STRING,STRING,Text / identifier
bmrs_bod,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_bod,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_bod,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_bod,bid,FLOAT,STRING,Text / identifier
bmrs_bod,bmUnit,STRING,STRING,Text / identifier
bmrs_bod,dataset,STRING,STRING,Text / identifier
bmrs_bod,levelFrom,INTEGER,INT64,Whole number / code
bmrs_bod,levelTo,INTEGER,INT64,Whole number / code
bmrs_bod,nationalGridBmUnit,STRING,STRING,Text / identifier
bmrs_bod,offer,FLOAT,STRING,Text / identifier
bmrs_bod,pairId,INTEGER,INT64,Whole number / code
bmrs_bod,settlementDate,STRING,DATE,Calendar date
bmrs_bod,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_bod,timeFrom,STRING,TIMESTAMP,UTC timestamp
bmrs_bod,timeTo,STRING,TIMESTAMP,UTC timestamp
bmrs_disbsad,_dataset,STRING,STRING,Text / identifier
bmrs_disbsad,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_disbsad,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_disbsad,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_disbsad,assetId,STRING,STRING,Text / identifier
bmrs_disbsad,cost,FLOAT,NUMERIC,Numeric quantity
bmrs_disbsad,dataset,STRING,STRING,Text / identifier
bmrs_disbsad,id,INTEGER,STRING,Text / identifier
bmrs_disbsad,isTendered,BOOLEAN,BOOL,Boolean indicator
bmrs_disbsad,partyId,STRING,STRING,Text / identifier
bmrs_disbsad,service,STRING,STRING,Text / identifier
bmrs_disbsad,settlementDate,STRING,DATE,Calendar date
bmrs_disbsad,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_disbsad,soFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_disbsad,storFlag,BOOLEAN,BOOL,Boolean indicator
bmrs_disbsad,volume,FLOAT,NUMERIC,Numeric quantity
bmrs_fou2t14d,_dataset,STRING,STRING,Text / identifier
bmrs_fou2t14d,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t14d,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t14d,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t14d,biddingZone,STRING,STRING,Text / identifier
bmrs_fou2t14d,dataset,STRING,STRING,Text / identifier
bmrs_fou2t14d,forecastDate,STRING,DATE,Calendar date
bmrs_fou2t14d,forecastDateTimezone,STRING,STRING,Text / identifier
bmrs_fou2t14d,fuelType,STRING,STRING,Text / identifier
bmrs_fou2t14d,interconnector,BOOLEAN,BOOL,Boolean indicator
bmrs_fou2t14d,interconnectorName,STRING,STRING,Text / identifier
bmrs_fou2t14d,outputUsable,INTEGER,STRING,Text / identifier
bmrs_fou2t14d,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t14d,systemZone,STRING,STRING,Text / identifier
bmrs_fou2t3yw,_dataset,STRING,STRING,Text / identifier
bmrs_fou2t3yw,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t3yw,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t3yw,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t3yw,biddingZone,STRING,STRING,Text / identifier
bmrs_fou2t3yw,calendarWeekNumber,INTEGER,INT64,Whole number / code
bmrs_fou2t3yw,dataset,STRING,STRING,Text / identifier
bmrs_fou2t3yw,fuelType,STRING,STRING,Text / identifier
bmrs_fou2t3yw,interconnector,BOOLEAN,BOOL,Boolean indicator
bmrs_fou2t3yw,interconnectorName,STRING,STRING,Text / identifier
bmrs_fou2t3yw,outputUsable,INTEGER,STRING,Text / identifier
bmrs_fou2t3yw,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fou2t3yw,systemZone,STRING,STRING,Text / identifier
bmrs_fou2t3yw,year,INTEGER,INT64,Whole number / code
bmrs_freq,_dataset,STRING,STRING,Text / identifier
bmrs_freq,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_freq,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_freq,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_freq,dataset,STRING,STRING,Text / identifier
bmrs_freq,frequency,FLOAT,STRING,Text / identifier
bmrs_freq,measurementTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelhh,_dataset,STRING,STRING,Text / identifier
bmrs_fuelhh,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelhh,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelhh,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelhh,dataset,STRING,STRING,Text / identifier
bmrs_fuelhh,fuelType,STRING,STRING,Text / identifier
bmrs_fuelhh,generation,INTEGER,NUMERIC,Numeric quantity
bmrs_fuelhh,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelhh,settlementDate,STRING,DATE,Calendar date
bmrs_fuelhh,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_fuelhh,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelinst,_dataset,STRING,STRING,Text / identifier
bmrs_fuelinst,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelinst,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelinst,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelinst,dataset,STRING,STRING,Text / identifier
bmrs_fuelinst,fuelType,STRING,STRING,Text / identifier
bmrs_fuelinst,generation,INTEGER,NUMERIC,Numeric quantity
bmrs_fuelinst,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_fuelinst,settlementDate,STRING,DATE,Calendar date
bmrs_fuelinst,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_fuelinst,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_imbalngc,_dataset,STRING,STRING,Text / identifier
bmrs_imbalngc,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_imbalngc,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_imbalngc,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_imbalngc,boundary,STRING,STRING,Text / identifier
bmrs_imbalngc,dataset,STRING,STRING,Text / identifier
bmrs_imbalngc,imbalance,INTEGER,NUMERIC,Numeric quantity
bmrs_imbalngc,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_imbalngc,settlementDate,STRING,DATE,Calendar date
bmrs_imbalngc,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_imbalngc,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_inddem,_dataset,STRING,STRING,Text / identifier
bmrs_inddem,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_inddem,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_inddem,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_inddem,boundary,STRING,STRING,Text / identifier
bmrs_inddem,dataset,STRING,STRING,Text / identifier
bmrs_inddem,demand,INTEGER,NUMERIC,Numeric quantity
bmrs_inddem,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_inddem,settlementDate,STRING,DATE,Calendar date
bmrs_inddem,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_inddem,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_indgen,_dataset,STRING,STRING,Text / identifier
bmrs_indgen,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indgen,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indgen,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indgen,boundary,STRING,STRING,Text / identifier
bmrs_indgen,dataset,STRING,STRING,Text / identifier
bmrs_indgen,generation,INTEGER,NUMERIC,Numeric quantity
bmrs_indgen,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_indgen,settlementDate,STRING,DATE,Calendar date
bmrs_indgen,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_indgen,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_indo,_dataset,STRING,STRING,Text / identifier
bmrs_indo,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indo,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indo,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_indo,dataset,STRING,STRING,Text / identifier
bmrs_indo,demand,INTEGER,NUMERIC,Numeric quantity
bmrs_indo,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_indo,settlementDate,STRING,DATE,Calendar date
bmrs_indo,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_indo,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_itsdo,_dataset,STRING,STRING,Text / identifier
bmrs_itsdo,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_itsdo,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_itsdo,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_itsdo,dataset,STRING,STRING,Text / identifier
bmrs_itsdo,demand,INTEGER,NUMERIC,Numeric quantity
bmrs_itsdo,publishTime,STRING,TIMESTAMP,UTC timestamp
bmrs_itsdo,settlementDate,STRING,DATE,Calendar date
bmrs_itsdo,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_itsdo,startTime,STRING,TIMESTAMP,UTC timestamp
bmrs_mdp,_dataset,STRING,STRING,Text / identifier
bmrs_mdp,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdp,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdp,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdp,bmUnit,STRING,STRING,Text / identifier
bmrs_mdp,dataset,STRING,STRING,Text / identifier
bmrs_mdp,nationalGridBmUnit,STRING,STRING,Text / identifier
bmrs_mdp,periodMax,INTEGER,INT64,Whole number / code
bmrs_mdp,settlementDate,STRING,DATE,Calendar date
bmrs_mdp,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_mdp,time,STRING,TIMESTAMP,UTC timestamp
bmrs_mdv,_dataset,STRING,STRING,Text / identifier
bmrs_mdv,_ingested_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdv,_window_from_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdv,_window_to_utc,STRING,TIMESTAMP,UTC timestamp
bmrs_mdv,bmUnit,STRING,STRING,Text / identifier
bmrs_mdv,dataset,STRING,STRING,Text / identifier
bmrs_mdv,nationalGridBmUnit,STRING,STRING,Text / identifier
bmrs_mdv,settlementDate,STRING,DATE,Calendar date
bmrs_mdv,settlementPeriod,INTEGER,INT64,Whole number / code
bmrs_mdv,time,STRING,TIMESTAMP,UTC timestamp
