customer_id,customer_name,postcode,MPAN
100001,Smith Enterprises,SW1A 1AA,1000000000005
100002,Johnson Ltd,M1 1AA,1200000000003
100003,Williams & Co,B1 1AA,1600000000008
100004,Jones Services,EH1 1AA,1700000000006
100005,Brown Associates,G1 1AA,1700000000006
100006,Davis Manufacturing,NE1 1AA,1500000000000
100007,Miller Energy,LS1 1AA,2300000000007
100008,Wilson Power,CF1 1AA,2100000000002
100009,Moore Electricity,SA1 1AA,2100000000002
100010,Taylor Utilities,BS1 1AA,2200000000001
100011,Anderson Group,PL1 1AA,2200000000001
100012,Thomas Corp,L1 1AA,1300000000004
100013,Jackson Power,CH1 1AA,1300000000004
100014,White Energy,BN1 1AA,2000000000009
100015,Harris Utilities,SO1 1AA,2000000000009
100016,Martin Enterprises,S1234 5AA,1900000000007
100017,Thompson Ltd,OX1 1AA,1000000000005
100018,Garcia Energy,S-00 100 1200 0000 0000 3,1200000000003
100019,Martinez Power,S 00 123 4567 9012 3,1234567890123
100020,Robinson Utilities,16-00000-00008,1600000000008
