name,area,rating,notes
The Churchill Arms,Kensington,4.8,Amazing flower-covered pub
The Anchor,Bankside,4.3,Riverside pub with Thames views
The Harp,Covent Garden,4.7,Great cask ales
Ye Olde Cheshire Cheese,Fleet Street,4.5,Historic pub dating to 1667
The Spaniards Inn,Hampstead Heath,4.6,Classic 16th century pub
The Mayflower,Rotherhithe,4.4,Historic pub with river terrace
The Holly Bush,Hampstead,4.7,Traditional Victorian pub
The French House,Soho,4.5,Legendary Soho pub
The Dove,Hammersmith,4.6,Thames-side pub with great beer
The Lamb,Bloomsbury,4.5,Victorian pub with snob screens
The Jerusalem Tavern,Clerkenwell,4.6,Tiny pub serving St. Peter's Brewery beers
The Princess Louise,Holborn,4.7,Stunning Victorian pub interior
The Ten Bells,Spitalfields,4.2,Jack the Ripper associations
The Grapes,Limehouse,4.5,Dickens' favourite riverside pub
The George Inn,Southwark,4.6,Only surviving galleried coaching inn
