dataset_code,description,start_date,end_date,endpoint,notes
METADATA,Latest publish times for each dataset,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/METADATA/data,Use ISO8601 startTime and endTime params. format=json
BOAL,Bid Offer Acceptance Level,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/BOAL/data,Use ISO8601 startTime and endTime params. format=json
BOD,Bid Offer Data,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/BOD/data,Use ISO8601 startTime and endTime params. format=json
DISBSAD,Balancing Services Adjustment Data,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/DISBSAD/data,Use ISO8601 startTime and endTime params. format=json
FOU2T14D,2 to 14 Days Ahead Generation (aggregated by Fuel Type),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FOU2T14D/data,Use ISO8601 startTime and endTime params. format=json
FOU2T3YW,2 to 156 Weeks Ahead Generation (Raw) (aggregated by Fuel Type),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FOU2T3YW/data,Use ISO8601 startTime and endTime params. format=json
FOUT2T14D,2 to 14 Days Ahead Generation (Raw) (aggregated by Fuel Type),2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FOUT2T14D/data,Use ISO8601 startTime and endTime params. format=json
FREQ,System Frequency,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FREQ/data,Use ISO8601 startTime and endTime params. format=json
FUELHH,Half‑hourly generation outturn by fuel type,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FUELHH/data,Use ISO8601 startTime and endTime params. format=json
FUELINST,Instantaneous generation outturn by fuel type,2016-01-01,2025-08-26,https://data.elexon.co.uk/api/v1/datasets/FUELINST/data,Use ISO8601 startTime and endTime params. format=json
