from,to,intensity.forecast,intensity.actual,intensity.index
2025-10-22T23:00Z,2025-10-22T23:30Z,209,136,moderate
2025-10-22T23:30Z,2025-10-23T00:00Z,179,118,moderate
2025-10-23T00:00Z,2025-10-23T00:30Z,125,114,moderate
2025-10-23T00:30Z,2025-10-23T01:00Z,111,106,moderate
2025-10-23T01:00Z,2025-10-23T01:30Z,104,101,moderate
2025-10-23T01:30Z,2025-10-23T02:00Z,101,89,low
2025-10-23T02:00Z,2025-10-23T02:30Z,94,83,low
2025-10-23T02:30Z,2025-10-23T03:00Z,85,71,low
2025-10-23T03:00Z,2025-10-23T03:30Z,84,68,low
2025-10-23T03:30Z,2025-10-23T04:00Z,71,68,low
2025-10-23T04:00Z,2025-10-23T04:30Z,67,65,low
2025-10-23T04:30Z,2025-10-23T05:00Z,67,74,low
2025-10-23T05:00Z,2025-10-23T05:30Z,74,84,low
2025-10-23T05:30Z,2025-10-23T06:00Z,76,95,low
2025-10-23T06:00Z,2025-10-23T06:30Z,89,100,moderate
2025-10-23T06:30Z,2025-10-23T07:00Z,99,102,moderate
2025-10-23T07:00Z,2025-10-23T07:30Z,93,102,moderate
2025-10-23T07:30Z,2025-10-23T08:00Z,94,103,moderate
2025-10-23T08:00Z,2025-10-23T08:30Z,95,101,moderate
2025-10-23T08:30Z,2025-10-23T09:00Z,98,95,low
2025-10-23T09:00Z,2025-10-23T09:30Z,94,88,low
2025-10-23T09:30Z,2025-10-23T10:00Z,92,81,low
2025-10-23T10:00Z,2025-10-23T10:30Z,77,74,low
2025-10-23T10:30Z,2025-10-23T11:00Z,65,65,low
2025-10-23T11:00Z,2025-10-23T11:30Z,75,56,low
2025-10-23T11:30Z,2025-10-23T12:00Z,61,49,low
2025-10-23T12:00Z,2025-10-23T12:30Z,52,45,low
2025-10-23T12:30Z,2025-10-23T13:00Z,42,41,low
2025-10-23T13:00Z,2025-10-23T13:30Z,39,45,low
2025-10-23T13:30Z,2025-10-23T14:00Z,37,50,low
2025-10-23T14:00Z,2025-10-23T14:30Z,39,54,low
2025-10-23T14:30Z,2025-10-23T15:00Z,42,58,low
2025-10-23T15:00Z,2025-10-23T15:30Z,48,64,low
2025-10-23T15:30Z,2025-10-23T16:00Z,52,74,low
2025-10-23T16:00Z,2025-10-23T16:30Z,59,77,low
2025-10-23T16:30Z,2025-10-23T17:00Z,73,81,low
2025-10-23T17:00Z,2025-10-23T17:30Z,72,79,low
2025-10-23T17:30Z,2025-10-23T18:00Z,72,75,low
2025-10-23T18:00Z,2025-10-23T18:30Z,71,64,low
2025-10-23T18:30Z,2025-10-23T19:00Z,70,61,low
2025-10-23T19:00Z,2025-10-23T19:30Z,64,52,low
2025-10-23T19:30Z,2025-10-23T20:00Z,62,52,low
2025-10-23T20:00Z,2025-10-23T20:30Z,53,50,low
2025-10-23T20:30Z,2025-10-23T21:00Z,50,52,low
2025-10-23T21:00Z,2025-10-23T21:30Z,45,54,low
2025-10-23T21:30Z,2025-10-23T22:00Z,43,51,low
2025-10-23T22:00Z,2025-10-23T22:30Z,54,50,low
2025-10-23T22:30Z,2025-10-23T23:00Z,49,51,low
2025-10-23T23:00Z,2025-10-23T23:30Z,53,49,low
2025-10-23T23:30Z,2025-10-24T00:00Z,55,54,low
2025-10-24T00:00Z,2025-10-24T00:30Z,51,55,low
2025-10-24T00:30Z,2025-10-24T01:00Z,47,52,low
2025-10-24T01:00Z,2025-10-24T01:30Z,59,52,low
2025-10-24T01:30Z,2025-10-24T02:00Z,49,58,low
2025-10-24T02:00Z,2025-10-24T02:30Z,49,58,low
2025-10-24T02:30Z,2025-10-24T03:00Z,51,56,low
2025-10-24T03:00Z,2025-10-24T03:30Z,54,54,low
2025-10-24T03:30Z,2025-10-24T04:00Z,51,56,low
2025-10-24T04:00Z,2025-10-24T04:30Z,49,58,low
2025-10-24T04:30Z,2025-10-24T05:00Z,51,55,low
2025-10-24T05:00Z,2025-10-24T05:30Z,73,63,low
2025-10-24T05:30Z,2025-10-24T06:00Z,53,75,low
2025-10-24T06:00Z,2025-10-24T06:30Z,58,82,low
2025-10-24T06:30Z,2025-10-24T07:00Z,72,85,low
2025-10-24T07:00Z,2025-10-24T07:30Z,78,81,low
2025-10-24T07:30Z,2025-10-24T08:00Z,82,78,low
2025-10-24T08:00Z,2025-10-24T08:30Z,79,72,low
2025-10-24T08:30Z,2025-10-24T09:00Z,70,65,low
2025-10-24T09:00Z,2025-10-24T09:30Z,66,57,low
2025-10-24T09:30Z,2025-10-24T10:00Z,61,54,low
2025-10-24T10:00Z,2025-10-24T10:30Z,52,55,low
2025-10-24T10:30Z,2025-10-24T11:00Z,52,53,low
2025-10-24T11:00Z,2025-10-24T11:30Z,50,54,low
2025-10-24T11:30Z,2025-10-24T12:00Z,48,56,low
2025-10-24T12:00Z,2025-10-24T12:30Z,49,56,low
2025-10-24T12:30Z,2025-10-24T13:00Z,50,57,low
2025-10-24T13:00Z,2025-10-24T13:30Z,50,58,low
2025-10-24T13:30Z,2025-10-24T14:00Z,52,61,low
2025-10-24T14:00Z,2025-10-24T14:30Z,54,64,low
2025-10-24T14:30Z,2025-10-24T15:00Z,59,66,low
2025-10-24T15:00Z,2025-10-24T15:30Z,61,71,low
2025-10-24T15:30Z,2025-10-24T16:00Z,62,73,low
2025-10-24T16:00Z,2025-10-24T16:30Z,65,76,low
2025-10-24T16:30Z,2025-10-24T17:00Z,65,76,low
2025-10-24T17:00Z,2025-10-24T17:30Z,70,73,low
2025-10-24T17:30Z,2025-10-24T18:00Z,65,76,low
2025-10-24T18:00Z,2025-10-24T18:30Z,65,70,low
2025-10-24T18:30Z,2025-10-24T19:00Z,64,70,low
2025-10-24T19:00Z,2025-10-24T19:30Z,64,64,low
2025-10-24T19:30Z,2025-10-24T20:00Z,64,70,low
2025-10-24T20:00Z,2025-10-24T20:30Z,60,68,low
2025-10-24T20:30Z,2025-10-24T21:00Z,57,60,low
2025-10-24T21:00Z,2025-10-24T21:30Z,62,55,low
2025-10-24T21:30Z,2025-10-24T22:00Z,54,55,low
2025-10-24T22:00Z,2025-10-24T22:30Z,48,54,low
2025-10-24T22:30Z,2025-10-24T23:00Z,53,54,low
2025-10-24T23:00Z,2025-10-24T23:30Z,50,52,low
2025-10-24T23:30Z,2025-10-25T00:00Z,48,51,low
2025-10-25T00:00Z,2025-10-25T00:30Z,53,55,low
2025-10-25T00:30Z,2025-10-25T01:00Z,52,59,low
2025-10-25T01:00Z,2025-10-25T01:30Z,55,57,low
2025-10-25T01:30Z,2025-10-25T02:00Z,57,54,low
2025-10-25T02:00Z,2025-10-25T02:30Z,60,51,low
2025-10-25T02:30Z,2025-10-25T03:00Z,53,51,low
2025-10-25T03:00Z,2025-10-25T03:30Z,51,51,low
2025-10-25T03:30Z,2025-10-25T04:00Z,50,52,low
2025-10-25T04:00Z,2025-10-25T04:30Z,48,54,low
2025-10-25T04:30Z,2025-10-25T05:00Z,49,53,low
2025-10-25T05:00Z,2025-10-25T05:30Z,54,54,low
