DATE,CTIME,GDATETIME,NATIONALDEMAND
2025-10-31,30,2025-10-31T00:30:00,20108
2025-10-31,100,2025-10-31T01:00:00,20206
2025-10-31,130,2025-10-31T01:30:00,19813
2025-10-31,200,2025-10-31T02:00:00,19118
2025-10-31,230,2025-10-31T02:30:00,18611
2025-10-31,300,2025-10-31T03:00:00,18191
2025-10-31,330,2025-10-31T03:30:00,18080
2025-10-31,400,2025-10-31T04:00:00,18071
2025-10-31,430,2025-10-31T04:30:00,17863
2025-10-31,500,2025-10-31T05:00:00,17882
2025-10-31,530,2025-10-31T05:30:00,18356
2025-10-31,600,2025-10-31T06:00:00,19132
2025-10-31,630,2025-10-31T06:30:00,21298
2025-10-31,700,2025-10-31T07:00:00,23217
2025-10-31,730,2025-10-31T07:30:00,25671
2025-10-31,800,2025-10-31T08:00:00,27061
2025-10-31,830,2025-10-31T08:30:00,28481
2025-10-31,900,2025-10-31T09:00:00,29191
2025-10-31,930,2025-10-31T09:30:00,29407
2025-10-31,1000,2025-10-31T10:00:00,29407
2025-10-31,1030,2025-10-31T10:30:00,29129
2025-10-31,1100,2025-10-31T11:00:00,28941
2025-10-31,1130,2025-10-31T11:30:00,28976
2025-10-31,1200,2025-10-31T12:00:00,28923
2025-10-31,1230,2025-10-31T12:30:00,28478
2025-10-31,1300,2025-10-31T13:00:00,28595
2025-10-31,1330,2025-10-31T13:30:00,28837
2025-10-31,1400,2025-10-31T14:00:00,28511
2025-10-31,1430,2025-10-31T14:30:00,28700
2025-10-31,1500,2025-10-31T15:00:00,28798
2025-10-31,1530,2025-10-31T15:30:00,29230
2025-10-31,1600,2025-10-31T16:00:00,29598
2025-10-31,1630,2025-10-31T16:30:00,30744
2025-10-31,1700,2025-10-31T17:00:00,32159
2025-10-31,1730,2025-10-31T17:30:00,33495
2025-10-31,1800,2025-10-31T18:00:00,33442
2025-10-31,1830,2025-10-31T18:30:00,32883
2025-10-31,1900,2025-10-31T19:00:00,32078
2025-10-31,1930,2025-10-31T19:30:00,31647
2025-10-31,2000,2025-10-31T20:00:00,30742
2025-10-31,2030,2025-10-31T20:30:00,29605
2025-10-31,2100,2025-10-31T21:00:00,28325
2025-10-31,2130,2025-10-31T21:30:00,27210
2025-10-31,2200,2025-10-31T22:00:00,25923
2025-10-31,2230,2025-10-31T22:30:00,24570
2025-10-31,2300,2025-10-31T23:00:00,23066
2025-10-31,2330,2025-10-31T23:30:00,21973
2025-10-31,2400,2025-11-01T00:00:00,21056
2025-11-01,30,2025-11-01T00:30:00,20877
2025-11-01,100,2025-11-01T01:00:00,21009
2025-11-01,130,2025-11-01T01:30:00,20460
2025-11-01,200,2025-11-01T02:00:00,19746
2025-11-01,230,2025-11-01T02:30:00,19121
2025-11-01,300,2025-11-01T03:00:00,18636
2025-11-01,330,2025-11-01T03:30:00,18543
2025-11-01,400,2025-11-01T04:00:00,18239
2025-11-01,430,2025-11-01T04:30:00,17912
2025-11-01,500,2025-11-01T05:00:00,17834
2025-11-01,530,2025-11-01T05:30:00,17915
2025-11-01,600,2025-11-01T06:00:00,18223
2025-11-01,630,2025-11-01T06:30:00,19071
2025-11-01,700,2025-11-01T07:00:00,20028
2025-11-01,730,2025-11-01T07:30:00,21246
2025-11-01,800,2025-11-01T08:00:00,21974
2025-11-01,830,2025-11-01T08:30:00,23596
2025-11-01,900,2025-11-01T09:00:00,24030
2025-11-01,930,2025-11-01T09:30:00,24766
2025-11-01,1000,2025-11-01T10:00:00,24687
2025-11-01,1030,2025-11-01T10:30:00,24317
2025-11-01,1100,2025-11-01T11:00:00,23614
2025-11-01,1130,2025-11-01T11:30:00,23395
2025-11-01,1200,2025-11-01T12:00:00,23168
2025-11-01,1230,2025-11-01T12:30:00,23182
2025-11-01,1300,2025-11-01T13:00:00,23150
2025-11-01,1330,2025-11-01T13:30:00,23388
2025-11-01,1400,2025-11-01T14:00:00,23582
2025-11-01,1430,2025-11-01T14:30:00,23723
2025-11-01,1500,2025-11-01T15:00:00,25193
2025-11-01,1530,2025-11-01T15:30:00,26753
2025-11-01,1600,2025-11-01T16:00:00,28105
2025-11-01,1630,2025-11-01T16:30:00,30041
2025-11-01,1700,2025-11-01T17:00:00,31651
2025-11-01,1730,2025-11-01T17:30:00,32532
2025-11-01,1800,2025-11-01T18:00:00,32763
2025-11-01,1830,2025-11-01T18:30:00,32611
2025-11-01,1900,2025-11-01T19:00:00,31583
2025-11-01,1930,2025-11-01T19:30:00,30444
2025-11-01,2000,2025-11-01T20:00:00,29580
2025-11-01,2030,2025-11-01T20:30:00,29253
2025-11-01,2100,2025-11-01T21:00:00,27899
2025-11-01,2130,2025-11-01T21:30:00,26837
2025-11-01,2200,2025-11-01T22:00:00,26030
2025-11-01,2230,2025-11-01T22:30:00,24629
2025-11-01,2300,2025-11-01T23:00:00,23498
2025-11-01,2330,2025-11-01T23:30:00,22384
2025-11-01,2400,2025-11-02T00:00:00,21755
2025-11-02,30,2025-11-02T00:30:00,21334
2025-11-02,100,2025-11-02T01:00:00,21392
2025-11-02,130,2025-11-02T01:30:00,20967
2025-11-02,200,2025-11-02T02:00:00,20095
2025-11-02,230,2025-11-02T02:30:00,19538
2025-11-02,300,2025-11-02T03:00:00,19111
2025-11-02,330,2025-11-02T03:30:00,18833
2025-11-02,400,2025-11-02T04:00:00,18397
2025-11-02,430,2025-11-02T04:30:00,18098
2025-11-02,500,2025-11-02T05:00:00,17909
2025-11-02,530,2025-11-02T05:30:00,18006
2025-11-02,600,2025-11-02T06:00:00,17931
2025-11-02,630,2025-11-02T06:30:00,18572
2025-11-02,700,2025-11-02T07:00:00,18973
2025-11-02,730,2025-11-02T07:30:00,19763
2025-11-02,800,2025-11-02T08:00:00,19919
2025-11-02,830,2025-11-02T08:30:00,20760
2025-11-02,900,2025-11-02T09:00:00,21407
2025-11-02,930,2025-11-02T09:30:00,22042
2025-11-02,1000,2025-11-02T10:00:00,22377
2025-11-02,1030,2025-11-02T10:30:00,22487
2025-11-02,1100,2025-11-02T11:00:00,22363
2025-11-02,1130,2025-11-02T11:30:00,22458
2025-11-02,1200,2025-11-02T12:00:00,22419
2025-11-02,1230,2025-11-02T12:30:00,22807
2025-11-02,1300,2025-11-02T13:00:00,23608
2025-11-02,1330,2025-11-02T13:30:00,24223
2025-11-02,1400,2025-11-02T14:00:00,24563
2025-11-02,1430,2025-11-02T14:30:00,25724
2025-11-02,1500,2025-11-02T15:00:00,26931
2025-11-02,1530,2025-11-02T15:30:00,28615
2025-11-02,1600,2025-11-02T16:00:00,30571
2025-11-02,1630,2025-11-02T16:30:00,31899
2025-11-02,1700,2025-11-02T17:00:00,33404
2025-11-02,1730,2025-11-02T17:30:00,34553
2025-11-02,1800,2025-11-02T18:00:00,34535
2025-11-02,1830,2025-11-02T18:30:00,34018
2025-11-02,1900,2025-11-02T19:00:00,33339
2025-11-02,1930,2025-11-02T19:30:00,32198
2025-11-02,2000,2025-11-02T20:00:00,30971
2025-11-02,2030,2025-11-02T20:30:00,29793
2025-11-02,2100,2025-11-02T21:00:00,28622
2025-11-02,2130,2025-11-02T21:30:00,27365
2025-11-02,2200,2025-11-02T22:00:00,25949
2025-11-02,2230,2025-11-02T22:30:00,24650
2025-11-02,2300,2025-11-02T23:00:00,23083
2025-11-02,2330,2025-11-02T23:30:00,21568
2025-11-02,2400,2025-11-03T00:00:00,20811
2025-11-03,30,2025-11-03T00:30:00,20563
2025-11-03,100,2025-11-03T01:00:00,20442
2025-11-03,130,2025-11-03T01:30:00,19918
2025-11-03,200,2025-11-03T02:00:00,19443
2025-11-03,230,2025-11-03T02:30:00,18847
2025-11-03,300,2025-11-03T03:00:00,18506
2025-11-03,330,2025-11-03T03:30:00,18079
2025-11-03,400,2025-11-03T04:00:00,17745
2025-11-03,430,2025-11-03T04:30:00,17389
2025-11-03,500,2025-11-03T05:00:00,17403
2025-11-03,530,2025-11-03T05:30:00,17878
2025-11-03,600,2025-11-03T06:00:00,18835
2025-11-03,630,2025-11-03T06:30:00,21535
2025-11-03,700,2025-11-03T07:00:00,24211
2025-11-03,730,2025-11-03T07:30:00,26822
2025-11-03,800,2025-11-03T08:00:00,27913
2025-11-03,830,2025-11-03T08:30:00,29173
2025-11-03,900,2025-11-03T09:00:00,29399
2025-11-03,930,2025-11-03T09:30:00,29757
2025-11-03,1000,2025-11-03T10:00:00,29968
2025-11-03,1030,2025-11-03T10:30:00,29685
2025-11-03,1100,2025-11-03T11:00:00,29401
2025-11-03,1130,2025-11-03T11:30:00,29096
2025-11-03,1200,2025-11-03T12:00:00,29148
2025-11-03,1230,2025-11-03T12:30:00,28634
2025-11-03,1300,2025-11-03T13:00:00,28765
2025-11-03,1330,2025-11-03T13:30:00,29032
2025-11-03,1400,2025-11-03T14:00:00,29238
2025-11-03,1430,2025-11-03T14:30:00,29126
2025-11-03,1500,2025-11-03T15:00:00,29564
2025-11-03,1530,2025-11-03T15:30:00,29965
2025-11-03,1600,2025-11-03T16:00:00,31089
2025-11-03,1630,2025-11-03T16:30:00,32045
2025-11-03,1700,2025-11-03T17:00:00,33133
2025-11-03,1730,2025-11-03T17:30:00,34228
2025-11-03,1800,2025-11-03T18:00:00,34513
