DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point,FORECAST_TIMESTAMP
2,2020-09-24,21110,1F,F,30,30,,2020-09-22T16:39:33Z
2,2020-09-24,19961,1S,T,100,130,,2020-09-22T16:39:33Z
2,2020-09-24,19728,1A,P,200,230,,2020-09-22T16:39:33Z
2,2020-09-24,18763,L04,F,400,400,Om,2020-09-22T16:39:33Z
2,2020-09-24,18770,1B,T,430,730,,2020-09-22T16:39:33Z
2,2020-09-24,29199,2F,P,800,900,DM,2020-09-22T16:39:33Z
2,2020-09-24,28795,2A,P,930,1030,,2020-09-22T16:39:33Z
2,2020-09-24,28510,2B,P,1100,1300,,2020-09-22T16:39:33Z
2,2020-09-24,26536,3B,T,1330,1630,Dm,2020-09-22T16:39:33Z
2,2020-09-24,32610,3C,P,1700,1800,,2020-09-22T16:39:33Z
2,2020-09-24,33024,4A,T,1830,1900,,2020-09-22T16:39:33Z
2,2020-09-24,34170,4B,P,1930,2000,EM,2020-09-22T16:39:33Z
2,2020-09-24,22136,4C,F,2400,2400,,2020-09-22T16:39:33Z
3,2020-09-25,21493,1F,F,30,30,,2020-09-22T16:39:33Z
3,2020-09-25,20552,1S,T,100,130,,2020-09-22T16:39:33Z
3,2020-09-25,20495,1A,P,200,230,,2020-09-22T16:39:33Z
3,2020-09-25,19207,L04,F,400,400,Om,2020-09-22T16:39:33Z
3,2020-09-25,19270,1B,T,430,730,,2020-09-22T16:39:33Z
3,2020-09-25,29742,2F,P,800,900,DM,2020-09-22T16:39:33Z
3,2020-09-25,28925,2A,P,930,1030,,2020-09-22T16:39:33Z
3,2020-09-25,27053,2B,P,1100,1300,,2020-09-22T16:39:33Z
3,2020-09-25,25184,3B,T,1330,1630,Dm,2020-09-22T16:39:33Z
3,2020-09-25,30600,3C,P,1700,1800,,2020-09-22T16:39:33Z
3,2020-09-25,31325,4A,T,1830,1900,,2020-09-22T16:39:33Z
3,2020-09-25,32768,4B,P,1930,2000,EM,2020-09-22T16:39:33Z
3,2020-09-25,21659,4C,F,2400,2400,,2020-09-22T16:39:33Z
4,2020-09-26,20484,1F,F,30,30,,2020-09-22T16:39:33Z
4,2020-09-26,19590,1S,T,100,130,,2020-09-22T16:39:33Z
4,2020-09-26,19588,1A,P,200,230,,2020-09-22T16:39:33Z
4,2020-09-26,18101,L04,F,400,400,,2020-09-22T16:39:33Z
4,2020-09-26,18020,1B,T,430,730,Om,2020-09-22T16:39:33Z
4,2020-09-26,24038,2F,P,800,900,,2020-09-22T16:39:33Z
4,2020-09-26,24551,2A,P,930,1030,DM,2020-09-22T16:39:33Z
4,2020-09-26,23499,2B,P,1100,1300,,2020-09-22T16:39:33Z
4,2020-09-26,21839,3B,T,1330,1630,Dm,2020-09-22T16:39:33Z
4,2020-09-26,29081,3C,P,1700,1800,,2020-09-22T16:39:33Z
4,2020-09-26,30281,4A,T,1830,1900,,2020-09-22T16:39:33Z
4,2020-09-26,31623,4B,P,1930,2000,EM,2020-09-22T16:39:33Z
4,2020-09-26,21673,4C,F,2400,2400,,2020-09-22T16:39:33Z
5,2020-09-27,20883,1F,F,30,30,,2020-09-22T16:39:33Z
5,2020-09-27,20135,1S,T,100,130,,2020-09-22T16:39:33Z
5,2020-09-27,20093,1A,P,200,230,,2020-09-22T16:39:33Z
5,2020-09-27,18714,L04,F,400,400,,2020-09-22T16:39:33Z
5,2020-09-27,18515,1B,T,430,730,Om,2020-09-22T16:39:33Z
5,2020-09-27,23631,2F,P,800,900,,2020-09-22T16:39:33Z
5,2020-09-27,24737,2A,P,930,1030,,2020-09-22T16:39:33Z
