Date,SP,BSUoS £/MWh,Half hourly cost £,Half hourly volume MWh
01-Dec-18,1,2.13,51634,24266
01-Dec-18,2,2.95,71127,24135
01-Dec-18,3,2.56,60601,23683
01-Dec-18,4,2.91,67394,23158
01-Dec-18,5,2.76,63497,23001
01-Dec-18,6,2.72,61939,22796
01-Dec-18,7,2.94,65328,22211
01-Dec-18,8,3.43,74829,21789
01-Dec-18,9,3.92,85446,21779
01-Dec-18,10,3.9,85841,22002
01-Dec-18,11,4.21,94365,22430
01-Dec-18,12,3.85,89993,23365
01-Dec-18,13,3.86,94420,24471
01-Dec-18,14,2.86,74315,25943
01-Dec-18,15,1.32,35035,26532
01-Dec-18,16,1.37,38530,28061
01-Dec-18,17,1.72,51451,29983
01-Dec-18,18,1.69,52390,30963
01-Dec-18,19,1.64,52709,32182
01-Dec-18,20,0.91,29784,32568
01-Dec-18,21,1.1,35544,32344
01-Dec-18,22,1.0,32524,32484
01-Dec-18,23,1.32,43729,33064
01-Dec-18,24,0.94,31186,33289
01-Dec-18,25,0.81,26734,32977
01-Dec-18,26,0.24,7695,32011
01-Dec-18,27,0.54,17021,31620
01-Dec-18,28,0.48,15317,31766
01-Dec-18,29,1.98,63079,31919
01-Dec-18,30,0.29,9301,32245
01-Dec-18,31,0.55,18173,32759
01-Dec-18,32,0.24,8118,33637
01-Dec-18,33,0.79,27813,34996
01-Dec-18,34,1.34,48641,36318
01-Dec-18,35,1.1,40517,36788
01-Dec-18,36,0.0,0,36408
01-Dec-18,37,1.16,41635,35801
01-Dec-18,38,0.86,29923,34798
01-Dec-18,39,1.12,37919,33841
01-Dec-18,40,1.11,36851,33302
01-Dec-18,41,0.9,29309,32478
01-Dec-18,42,0.12,3677,31382
01-Dec-18,43,1.6,48365,30310
01-Dec-18,44,1.23,36076,29217
01-Dec-18,45,1.13,31797,28150
01-Dec-18,46,0.73,19617,26975
01-Dec-18,47,2.35,60781,25866
01-Dec-18,48,1.98,49827,25152
02-Dec-18,1,3.11,74553,23951
02-Dec-18,2,3.76,88724,23607
02-Dec-18,3,4.02,92914,23111
02-Dec-18,4,3.84,87273,22723
02-Dec-18,5,3.72,83367,22407
02-Dec-18,6,4.01,88399,22031
02-Dec-18,7,4.11,88287,21488
02-Dec-18,8,4.12,87574,21233
02-Dec-18,9,4.27,89231,20922
02-Dec-18,10,4.33,89507,20689
02-Dec-18,11,4.45,92205,20732
02-Dec-18,12,4.06,86634,21334
02-Dec-18,13,4.59,101386,22103
02-Dec-18,14,3.62,83483,23037
02-Dec-18,15,1.21,28595,23571
02-Dec-18,16,0.6,14596,24475
02-Dec-18,17,0.96,24793,25789
02-Dec-18,18,1.15,31357,27242
02-Dec-18,19,0.73,20795,28469
02-Dec-18,20,1.36,39854,29387
02-Dec-18,21,0.69,20669,29862
02-Dec-18,22,0.31,9262,30058
02-Dec-18,23,0.98,29562,30313
02-Dec-18,24,0.76,23212,30593
02-Dec-18,25,0.3,9409,30973
02-Dec-18,26,0.82,25466,31127
02-Dec-18,27,0.05,1580,30859
02-Dec-18,28,0.66,20330,30857
02-Dec-18,29,0.13,4057,31208
02-Dec-18,30,0.18,5701,31672
02-Dec-18,31,0.09,3031,32459
02-Dec-18,32,0.62,21043,33909
02-Dec-18,33,0.47,16618,35639
02-Dec-18,34,1.14,41764,36575
02-Dec-18,35,1.64,60052,36613
02-Dec-18,36,1.75,63735,36336
02-Dec-18,37,1.78,63629,35783
02-Dec-18,38,1.49,52159,34926
02-Dec-18,39,1.56,52613,33785
02-Dec-18,40,1.57,51657,32824
02-Dec-18,41,1.42,45299,31967
02-Dec-18,42,0.99,30675,30853
02-Dec-18,43,0.78,23138,29505
02-Dec-18,44,1.21,33727,27979
02-Dec-18,45,1.85,49323,26645
02-Dec-18,46,0.68,17095,25150
02-Dec-18,47,2.31,54613,23628
02-Dec-18,48,2.28,53705,23600
03-Dec-18,1,2.39,58590,24515
03-Dec-18,2,3.12,76448,24519
03-Dec-18,3,2.8,67594,24131
03-Dec-18,4,3.37,78483,23318
03-Dec-18,5,3.65,83011,22741
03-Dec-18,6,3.68,82343,22366
03-Dec-18,7,3.81,83815,22007
03-Dec-18,8,3.75,81552,21723
03-Dec-18,9,4.15,90069,21728
03-Dec-18,10,4.21,93542,22206
03-Dec-18,11,4.16,95777,23034
03-Dec-18,12,3.89,96979,24955
03-Dec-18,13,3.87,107458,27744
03-Dec-18,14,2.53,78910,31130
03-Dec-18,15,2.11,69431,32943
03-Dec-18,16,1.89,64494,34050
03-Dec-18,17,1.94,68629,35331
03-Dec-18,18,1.32,46769,35435
03-Dec-18,19,1.52,53780,35441
03-Dec-18,20,1.82,64066,35124
03-Dec-18,21,1.67,57832,34691
03-Dec-18,22,1.26,43324,34469
03-Dec-18,23,1.77,60885,34379
03-Dec-18,24,1.42,49042,34426
03-Dec-18,25,1.36,47061,34500
03-Dec-18,26,1.46,50297,34559
03-Dec-18,27,1.3,45186,34735
03-Dec-18,28,1.4,49364,35183
03-Dec-18,29,0.88,31508,35672
03-Dec-18,30,1.02,36754,36117
03-Dec-18,31,0.96,35836,37180
03-Dec-18,32,1.18,45683,38867
03-Dec-18,33,1.19,47557,40030
03-Dec-18,34,2.07,83694,40504
03-Dec-18,35,2.01,82262,40936
03-Dec-18,36,1.78,72743,40897
03-Dec-18,37,2.13,86033,40370
03-Dec-18,38,3.08,122841,39947
03-Dec-18,39,2.15,84850,39378
03-Dec-18,40,2.05,78565,38232
03-Dec-18,41,1.73,63441,36715
03-Dec-18,42,1.67,58840,35212
03-Dec-18,43,1.32,44378,33601
03-Dec-18,44,5.71,181701,31804
03-Dec-18,45,6.31,189627,30036
03-Dec-18,46,5.14,144494,28132
03-Dec-18,47,6.27,167778,26772
03-Dec-18,48,6.43,169474,26352
04-Dec-18,1,2.48,66505,26830
04-Dec-18,2,3.36,89766,26756
04-Dec-18,3,3.21,85079,26494
04-Dec-18,4,3.19,82783,25966
04-Dec-18,5,3.66,93280,25476
04-Dec-18,6,2.62,66002,25201
04-Dec-18,7,2.71,67398,24886
04-Dec-18,8,2.48,61290,24668
04-Dec-18,9,3.88,95328,24585
04-Dec-18,10,3.85,96044,24946
04-Dec-18,11,4.6,116432,25301
04-Dec-18,12,3.86,105710,27379
04-Dec-18,13,3.96,119689,30259
04-Dec-18,14,3.17,106490,33637
04-Dec-18,15,2.74,97910,35714
04-Dec-18,16,1.85,67965,36761
04-Dec-18,17,1.78,66716,37453
04-Dec-18,18,1.66,62353,37611
04-Dec-18,19,2.12,80618,38038
04-Dec-18,20,2.12,80466,37977
04-Dec-18,21,1.76,66324,37774
04-Dec-18,22,1.36,51162,37671
04-Dec-18,23,1.81,68130,37602
04-Dec-18,24,1.8,67869,37652
04-Dec-18,25,1.62,61007,37685
04-Dec-18,26,1.8,67616,37561
04-Dec-18,27,1.52,57101,37490
04-Dec-18,28,1.62,60912,37615
04-Dec-18,29,1.01,38383,37820
04-Dec-18,30,1.3,49507,38089
04-Dec-18,31,0.86,33247,38800
04-Dec-18,32,1.38,55416,40186
04-Dec-18,33,1.31,54548,41584
04-Dec-18,34,1.74,73734,42318
04-Dec-18,35,1.97,83367,42353
04-Dec-18,36,1.93,81122,42035
04-Dec-18,37,2.95,122414,41534
04-Dec-18,38,2.54,104573,41115
04-Dec-18,39,2.3,92741,40379
04-Dec-18,40,1.88,73339,39093
04-Dec-18,41,1.5,56669,37724
04-Dec-18,42,1.56,56410,36095
04-Dec-18,43,1.1,37567,34168
04-Dec-18,44,1.11,35673,32262
04-Dec-18,45,1.46,44572,30478
04-Dec-18,46,0.6,17001,28420
04-Dec-18,47,1.32,35054,26655
04-Dec-18,48,1.54,40428,26264
05-Dec-18,1,1.47,37410,25449
05-Dec-18,2,2.78,71017,25506
05-Dec-18,3,2.58,64903,25174
05-Dec-18,4,2.61,64972,24851
05-Dec-18,5,2.46,60789,24759
05-Dec-18,6,1.89,46350,24577
05-Dec-18,7,2.19,52995,24227
05-Dec-18,8,2.38,56821,23919
05-Dec-18,9,2.35,55873,23818
05-Dec-18,10,2.08,50409,24181
05-Dec-18,11,2.89,72396,25008
05-Dec-18,12,2.45,66556,27121
05-Dec-18,13,3.31,99387,30020
05-Dec-18,14,2.1,70434,33545
05-Dec-18,15,2.6,91870,35359
05-Dec-18,16,1.91,69050,36173
05-Dec-18,17,2.74,101973,37181
05-Dec-18,18,1.57,59235,37674
05-Dec-18,19,1.94,74316,38219
05-Dec-18,20,1.53,58545,38266
05-Dec-18,21,1.74,67059,38454
05-Dec-18,22,1.79,69166,38595
05-Dec-18,23,1.73,66246,38390
05-Dec-18,24,1.71,65124,38170
05-Dec-18,25,1.66,63068,37912
05-Dec-18,26,0.73,27696,37850
05-Dec-18,27,1.39,52633,37843
05-Dec-18,28,1.47,55750,37856
05-Dec-18,29,0.91,34269,37721
05-Dec-18,30,0.9,33665,37599
05-Dec-18,31,0.86,33037,38516
05-Dec-18,32,0.65,26109,40204
05-Dec-18,33,0.49,20230,41578
05-Dec-18,34,1.62,68124,41999
05-Dec-18,35,1.97,82288,41777
05-Dec-18,36,2.74,113168,41284
05-Dec-18,37,2.99,121514,40659
05-Dec-18,38,2.63,106134,40369
05-Dec-18,39,2.43,96802,39897
05-Dec-18,40,1.75,68124,38897
05-Dec-18,41,1.35,50672,37563
05-Dec-18,42,0.15,5277,35927
05-Dec-18,43,1.06,36066,34175
05-Dec-18,44,0.85,27443,32224
05-Dec-18,45,1.25,38076,30350
05-Dec-18,46,0.85,24186,28465
05-Dec-18,47,0.72,19428,27071
05-Dec-18,48,4.52,116980,25866
06-Dec-18,1,2.86,70910,24765
06-Dec-18,2,3.17,79245,25019
06-Dec-18,3,3.68,91629,24879
06-Dec-18,4,3.44,84338,24487
06-Dec-18,5,3.21,79089,24631
06-Dec-18,6,2.61,63859,24485
06-Dec-18,7,2.86,67975,23804
06-Dec-18,8,2.76,64558,23361
06-Dec-18,9,2.94,68029,23143
06-Dec-18,10,2.4,56281,23441
06-Dec-18,11,2.9,70122,24185
06-Dec-18,12,2.4,62685,26166
06-Dec-18,13,3.35,97482,29134
06-Dec-18,14,2.29,74345,32506
06-Dec-18,15,1.31,44866,34269
06-Dec-18,16,0.64,22333,35154
06-Dec-18,17,1.17,41951,35902
06-Dec-18,18,0.74,26844,36099
06-Dec-18,19,1.37,49900,36530
06-Dec-18,20,1.24,45303,36534
06-Dec-18,21,1.72,63074,36601
06-Dec-18,22,1.29,47180,36604
06-Dec-18,23,1.29,46911,36415
06-Dec-18,24,1.99,72089,36271
06-Dec-18,25,1.53,55073,36093
06-Dec-18,26,1.17,42225,36022
06-Dec-18,27,1.03,37045,36051
06-Dec-18,28,0.68,24656,36000
06-Dec-18,29,0.75,26807,35942
06-Dec-18,30,0.49,17541,36031
06-Dec-18,31,0.36,13254,36780
06-Dec-18,32,0.75,28845,38208
06-Dec-18,33,0.85,33765,39593
06-Dec-18,34,1.38,55293,40181
06-Dec-18,35,2.71,108561,40118
06-Dec-18,36,2.58,102746,39767
06-Dec-18,37,2.01,78829,39194
06-Dec-18,38,2.36,91546,38773
06-Dec-18,39,2.11,80577,38112
06-Dec-18,40,1.44,53402,37043
06-Dec-18,41,1.33,47552,35779
06-Dec-18,42,0.0,0,34407
06-Dec-18,43,0.52,17059,32750
06-Dec-18,44,1.0,30963,30837
06-Dec-18,45,0.75,21907,29159
06-Dec-18,46,0.96,26156,27307
06-Dec-18,47,1.45,37040,25572
06-Dec-18,48,2.41,59362,24661
07-Dec-18,1,3.32,80832,24343
07-Dec-18,2,3.79,92683,24426
07-Dec-18,3,4.15,99567,24007
07-Dec-18,4,4.19,97883,23369
07-Dec-18,5,4.36,100346,23013
07-Dec-18,6,4.24,96318,22717
07-Dec-18,7,4.51,99223,22015
07-Dec-18,8,4.99,107522,21549
07-Dec-18,9,7.58,163148,21517
07-Dec-18,10,8.77,191358,21830
07-Dec-18,11,8.51,191201,22476
07-Dec-18,12,7.57,185110,24451
07-Dec-18,13,7.12,186174,26135
07-Dec-18,14,4.84,140686,29063
07-Dec-18,15,3.08,97989,31786
07-Dec-18,16,2.53,84196,33227
