Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP
Mar-21,5.873473856,26.03365389,4.92957284,52.31741842,8.604210636,1.07832329,0.0,0.183436292,9.1905458,12.34604162,0.993529805,5.895287644,0.73791039,3.803446752,131.9868512,40.51654535,18.9210411,1.462264151,3.879159863,61.99995235,4.8
Apr-21,7.475156886,15.29295896,5.167662387,22.79334315,7.641157825,2.023895,0.0,0.404275131,9.036835996,13.78172563,1.14423862,6.693909268,3.01394728,3.8,98.26910613,40.0353369,23.26027397,0.98630137,3.18008268,32.45839597,4.8
May-21,9.935949782,11.95581867,5.575822434,28.46571772,9.181803086,2.403376,0.0,0.895486509,8.973187964,14.61984275,0.869565856,7.491611393,2.96319145,3.804109589,107.1354832,37.85580184,24.03561644,1.019178082,3.618739297,40.05089681,4.8
Jun-21,10.15072689,10.83371286,5.434767887,31.25924715,10.76912097,2.782856,0.0,1.643863178,8.81344767,13.89731356,1.007946391,7.039395612,2.577322236,3.808219178,110.0179396,35.66265147,23.26027397,0.98630137,3.899444074,44.81122412,4.8
Jul-21,11.34196978,10.97041804,5.962998065,22.56428172,11.52777604,2.972596,0.0,1.846568357,9.082911269,14.60594994,1.171890175,6.925799438,2.561929697,3.812328767,105.3474173,36.43757197,24.03561644,1.019178082,3.710516495,37.06465376,4.8
Aug-21,10.71611978,11.24764188,5.817931184,33.21152572,12.78844004,3.035843,0.0,1.666469361,9.597955749,15.11400302,1.284052818,6.793286042,1.545159449,3.816438356,116.6348664,36.73089089,24.03561644,1.019178082,3.988186983,49.03580876,4.8
Sep-21,12.04283689,14.12836031,6.307976992,43.82243315,11.81177597,3.035843,0.0,1.761269194,8.773887424,13.27196226,1.049152513,6.559580884,1.071485672,3.820547945,127.4571122,38.16667331,23.26027397,0.98630137,4.100532584,58.67005212,4.8
Oct-21,13.36458978,16.37231884,6.226388327,73.03922572,12.52777604,2.972596,0.0,1.210690085,9.101970386,13.27284192,0.886843321,6.741886035,2.071198826,3.824657534,161.6129828,40.7483452,24.03561644,1.019178082,4.698786574,88.53959776,4.8
Nov-21,12.83547689,16.14733682,7.428685335,82.12977415,11.469199,3.567115,0.0,0.502129387,9.388502548,13.13397774,0.916175573,6.475297161,0.577171661,3.828767123,168.3996084,48.75424973,23.26027397,0.98630137,4.049825088,97.16608815,4.8
Dec-21,13.15414978,18.85168112,7.470250666,70.15034872,10.426545,2.529869,0.0,0.467609764,10.04094001,13.34064569,0.882285583,7.070326985,1.022065437,3.832876712,159.2395945,49.68226405,24.03561644,1.019178082,3.806074312,83.10676272,4.8
