Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-3.274793005,0.0
Apr-20,12.47490709,4.945659625,2.3629482,59.37209822,1.4916887,5.06824327,0.582595049,0.584283647,7.39378997,13.25732449,1.89991576,6.35032524,6.574389862,3.53645192,125.894621,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,3.92269089,67.52262823,17.43287986,3.107817461,18.98023807,0.622402452,7.786018137,8.694498918,2.63415965,5.85088747,5.39170198,3.81930967,162.8789635,29.13981067,18.9210411,0.0,0.0
Jun-20,7.63347279,3.752765952,3.41306666,74.63017731,0.525368486,5.68175167,13.72338873,0.216292208,8.752224675,7.003456183,1.83438343,4.83190316,4.04357963,3.62355609,139.665387,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.127988556,3.13976984,69.37954723,0.507914966,7.909918062,21.77115445,0.172425853,7.063122879,8.130359932,2.45797819,4.657779675,1.833570782,3.427589461,139.3235329,33.09527572,18.9210411,0.0,0.0
Aug-20,6.805479684,4.832442835,2.729741,41.86042167,0.602101152,13.11254771,22.37150674,0.502974483,8.454086369,7.212986196,1.89593922,4.514916985,2.642679339,3.328288,120.8661114,33.4138163,18.9210411,0.0,0.0
Sep-20,8.452984388,8.70791607,2.662405209,43.06871923,10.74321316,19.01864153,17.92286523,0.55154745,9.663712668,8.209586381,1.9374665,4.13878916,1.862589113,8.863820909,145.804257,34.52607672,18.31068493,0.0,0.0
Oct-20,10.88096507,11.07172318,3.134693,59.51275747,7.950651424,17.2957812,0.93535839,0.516081836,9.209869133,12.63520918,1.5717264,4.47673092,3.496099929,7.575866364,150.2635135,39.56064793,18.9210411,0.0,0.0
Nov-20,7.678167698,13.76143275,3.796248365,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.55958553,14.42085399,1.61695359,5.3675471,1.219255025,7.929371769,205.4443201,39.91218329,18.31068493,0.0,0.0
Dec-20,12.32238814,17.96283464,4.095435398,60.63988621,17.32554227,13.18174357,1.40992015,0.275127782,10.98302503,15.56398872,1.47050375,5.91945756,0.974761967,4.465479399,166.5900946,44.55669877,18.9210411,0.0,0.0
Jan-21,6.526740521,50.29923771,3.017070424,32.75045475,1.346954089,6.481973433,0.48748071,0.046330544,11.4231847,15.04738025,1.19394905,5.28711167,2.953809543,8.014953877,144.8766313,46.46314145,18.9210411,1.462264151,4.8
Feb-21,7.820089365,23.44579113,2.724095225,36.93000754,57.56246513,6.404009848,0.227064304,0.288600506,9.345485472,11.00319558,1.4420246,5.378063067,0.693769737,3.887243135,167.1519046,38.67514565,17.0899726,1.320754717,4.8
Mar-21,5.873473856,26.03365389,4.92957284,52.31741842,8.604210636,1.07832329,0.0,0.183436292,9.1905458,12.34604162,0.993529805,5.895287644,0.73791039,3.803446752,131.9868512,40.51654535,18.9210411,1.462264151,4.8
Apr-21,7.475156886,15.29295896,5.167662387,22.79334315,7.641157825,2.023895,0.0,0.404275131,9.036835996,13.78172563,1.14423862,6.693909268,3.01394728,3.8,98.26910613,40.0353369,23.26027397,0.98630137,4.8
May-21,9.935949782,11.95581867,5.575822434,28.46571772,9.181803086,2.403376,0.0,0.895486509,8.973187964,14.61984275,0.869565856,7.491611393,2.96319145,3.804109589,107.1354832,37.85580184,24.03561644,1.019178082,4.8
Jun-21,10.15072689,10.83371286,5.434767887,31.25924715,10.76912097,2.782856,0.0,1.643863178,8.81344767,13.89731356,1.007946391,7.039395612,2.577322236,3.808219178,110.0179396,35.66265147,23.26027397,0.98630137,4.8
Jul-21,11.34196978,10.97041804,5.962998065,22.56428172,11.52777604,2.972596,0.0,1.846568357,9.082911269,14.60594994,1.171890175,6.925799438,2.561929697,3.812328767,105.3474173,36.43757197,24.03561644,1.019178082,4.8
Aug-21,10.71611978,11.24764188,5.817931184,33.21152572,12.78844004,3.035843,0.0,1.666469361,9.597955749,15.11400302,1.284052818,6.793286042,1.545159449,3.816438356,116.6348664,36.73089089,24.03561644,1.019178082,4.8
Sep-21,12.04283689,14.12836031,6.307976992,43.82243315,11.81177597,3.035843,0.0,1.761269194,8.773887424,13.27196226,1.049152513,6.559580884,1.071485672,3.820547945,127.4571122,38.16667331,23.26027397,0.98630137,4.8
Oct-21,13.36458978,16.37231884,6.226388327,73.03922572,12.52777604,2.972596,0.0,1.210690085,9.101970386,13.27284192,0.886843321,6.741886035,2.071198826,3.824657534,161.6129828,40.7483452,24.03561644,1.019178082,4.8
Nov-21,12.83547689,16.14733682,7.428685335,82.12977415,11.469199,3.567115,0.0,0.502129387,9.388502548,13.13397774,0.916175573,6.475297161,0.577171661,3.828767123,168.3996084,48.75424973,23.26027397,0.98630137,4.8
Dec-21,13.15414978,18.85168112,7.470250666,70.15034872,10.426545,2.529869,0.0,0.467609764,10.04094001,13.34064569,0.882285583,7.070326985,1.022065437,3.832876712,159.2395945,49.68226405,24.03561644,1.019178082,4.8
Jan-22,13.94207978,21.09988493,7.574538827,46.33577372,8.914696,2.163038,0.0,0.643814364,10.29715057,13.13944231,0.851570155,7.006655566,-0.550027602,3.836986301,135.2556029,53.73228459,24.03561644,1.019178082,4.8
Feb-22,14.62155231,20.94033321,6.5184684,104.3570043,7.550256586,1.831974345,0.0,0.119231031,8.712608818,12.30505549,0.890712455,5.703072033,2.251210838,3.84109589,189.6425757,44.70451251,21.70958904,0.920547945,4.8
Mar-22,0.833437012,18.20761728,7.399366707,109.5534615,6.323774924,1.534384429,0.0,0.223143885,9.713440979,13.40504392,1.043739528,6.093592728,0.284658128,3.845205479,178.4608665,45.98619204,24.03561644,1.019178082,4.8
Apr-22,5.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.849315068,100.7841746,40.0353369,23.26027397,0.98630137,4.8
May-22,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.853424658,102.5327435,37.85580184,24.03561644,1.019178082,4.8
Jun-22,8.178124146,10.83371286,5.434767887,25.67020605,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.857534247,100.5330081,35.66265147,23.26027397,0.98630137,4.8
Jul-22,9.303613618,10.97041804,5.962998065,25.98893925,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.861643836,104.7446776,36.43757197,24.03561644,1.019178082,0.0
Aug-22,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.865753425,113.0321267,36.73089089,24.03561644,1.019178082,0.0
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.869863014,117.9721807,38.16667331,23.26027397,0.98630137,0.0
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.873972603,125.0102431,40.7483452,24.03561644,1.019178082,0.0
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.878082192,119.9146769,48.75424973,23.26027397,0.98630137,0.0
Dec-22,11.11579362,18.85168112,7.470250666,33.57500625,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.882191781,118.6368547,49.68226405,24.03561644,1.019178082,0.0
Jan-23,11.90372362,21.09988493,7.574538827,28.76043125,8.914696,2.163038,0.0,0.643814364,10.29715057,11.10108615,0.851570155,7.006655566,-0.550027602,3.88630137,113.6528632,53.73228459,24.03561644,1.019178082,0.0
Feb-23,12.78045642,20.94033321,6.5184684,35.92700658,7.550256586,1.831974345,0.0,0.119231031,8.712608818,10.4639596,0.890712455,5.703072033,2.251210838,3.890410959,117.5797013,44.70451251,21.70958904,0.920547945,0.0
