Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Aug-19,2.364457702,6.299960779,4.36504667,41.74072359,1.759033133,11.57870068,1.934083127,1.420734911,6.903874887,13.56289998,2.18345252,5.679899977,5.485161067,3.42107205,108.6991011,33.98003341,25.72091233,1.019178082,0.0
Sep-19,2.52478751,7.37330577,3.794746832,35.10699899,10.526843,8.777626608,2.911031176,2.030727987,8.227442964,15.93820675,1.49788392,5.844230348,2.926777357,3.58783412,111.0684433,34.87660055,24.89120548,0.98630137,0.0
Oct-19,7.408021949,7.602164291,6.341800118,47.38258212,18.26056439,8.554413169,1.221912447,0.304595177,8.418330053,15.12650795,1.40321489,5.540945482,2.826340873,3.72154706,134.11294,41.64583326,25.72091233,-1.387649062,2.4
Nov-19,5.969088952,9.65637985,3.898636774,20.50400879,5.883672148,5.965766207,2.346262816,0.081643019,8.087092215,14.60384139,1.33819261,4.860643719,3.325690291,3.60243076,90.12334955,44.880098,24.89120548,-2.452023121,2.4
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.316092297,0.170087236,7.695803087,13.90617515,1.11941381,5.36542794,1.586794001,4.703572216,134.8164804,44.48154561,25.72091233,-2.533757225,2.4
Jan-20,8.833733035,8.49204686,4.129534176,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.351784142,13.89218366,1.20648735,4.86862663,1.532666954,5.312605405,150.2510449,45.07890281,25.72091233,-2.533757225,2.4
Feb-20,10.67661454,7.443089983,3.329784127,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.49467858,12.6241648,1.82113008,3.807055122,1.214817723,3.372421496,152.6364659,40.21178875,23.23179178,-2.288554913,0.0
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-2.533757225,0.0
Apr-20,12.47490709,4.945659625,2.34457812,59.37209822,1.4916887,5.06824327,0.487175549,0.584283647,7.39104748,13.21504016,1.89991576,6.31703242,5.912293342,3.62116712,125.1251305,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,0.62443713,67.52262823,17.43287986,3.107817461,18.87872671,0.622402452,7.755649597,8.674615768,2.63415965,5.81375169,8.66135126,3.91156567,162.7537162,29.13981067,18.9210411,0.0,0.0
Jun-20,7.635731452,3.751716496,2.7893869,75.20302994,0.525368486,5.116937902,13.62515193,0.206257019,8.728995811,6.752107134,1.83438343,4.80777999,4.107481942,3.71283609,138.7971645,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.087166795,2.67314008,69.42068486,0.507914966,7.909897325,21.84519722,0.172130712,7.586155329,7.808530642,2.33097502,4.65899586,2.407399621,3.43473802,139.5873395,33.09527572,18.9210411,0.0,0.0
