Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.316092297,0.170087236,7.695803087,13.90617515,1.11941381,5.36542794,1.586794001,4.703572216,134.8164804,44.48154561,25.72091233,-3.274793005,2.4
Jan-20,8.833733035,8.49204686,4.129534176,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.351784142,13.89218366,1.20648735,4.86862663,1.532666954,5.312605405,150.2510449,45.07890281,25.72091233,-3.274793005,2.4
Feb-20,10.67661454,7.443089983,3.329784127,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.49467858,12.6241648,1.82113008,3.807055122,1.214817723,3.372421496,152.6364659,40.21178875,23.23179178,-2.981781933,0.0
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-3.274793005,0.0
Apr-20,12.47490709,4.945659625,2.36237184,59.37209822,1.4916887,5.06824327,0.586396649,0.584283647,7.42149158,13.2853546,1.89991576,6.33861467,6.574422762,3.53645192,125.9419003,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,3.8865443,67.52262823,17.43287986,3.107817461,18.98416639,0.622402452,7.777917707,8.721539718,2.63415965,5.83960342,5.51987697,3.81930967,162.9825765,29.13981067,18.9210411,0.0,0.0
Jun-20,7.63347279,3.752765952,2.94213658,74.63017731,0.525368486,5.68175167,13.72719033,0.216292208,8.746722785,7.029132373,1.83438343,4.82407476,4.04293443,3.62355609,139.2099592,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.127988556,3.16117452,69.37954723,0.507914966,7.909918062,21.76464277,0.172425853,7.063122879,8.132484652,2.45797819,4.648980795,1.923321222,3.427589461,139.4215022,33.09527572,18.9210411,0.0,0.0
Aug-20,6.805479684,4.832442835,2.7223342,41.86042167,0.602101152,13.11254771,22.31616753,0.502974483,8.454086369,7.212986196,1.89593922,4.504134045,2.644237289,3.328288,120.7941404,33.4138163,18.9210411,0.0,0.0
Sep-20,8.458612889,8.729130508,2.494254613,43.05356387,10.75124065,19.00221667,17.92666683,0.546948464,9.683689722,8.217222354,1.9374665,4.11367249,2.023624899,8.863820909,145.8021314,34.52607672,18.31068493,0.0,0.0
Oct-20,10.88096507,11.07172318,3.10879688,59.51275747,7.950651424,17.2957812,0.93929199,0.516081836,8.955294113,12.69102125,1.5717264,4.46779022,3.485434259,7.575866364,150.0231817,39.56064793,18.9210411,0.0,0.0
Nov-20,7.678167698,13.76143275,3.742933775,119.9017266,0.862512539,15.8861971,1.830958285,0.350384557,9.974285122,11.68946518,1.61420724,5.099489634,1.181230434,6.837261408,200.4102524,39.91218329,18.31068493,0.0,0.0
