Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Jul-19,-0.361219963,4.392274228,4.399289652,23.97946034,1.576607742,3.207615697,2.445267697,0.103470228,7.625239343,10.14303533,1.23849219,5.65550386,2.805951277,3.84607255,71.05706017,35.62080484,25.72091233,1.019178082,0.0
Aug-19,2.364457702,6.299960779,4.36504667,41.74072359,1.759033133,11.57870068,1.934083127,1.420734911,6.903874887,13.56289998,2.18345252,5.679899977,5.485161067,3.42107205,108.6991011,33.98003341,25.72091233,1.019178082,0.0
Sep-19,2.52478751,7.37330577,3.794746832,35.10699899,10.526843,8.777626608,2.911031176,2.030727987,8.227442964,15.93820675,1.49788392,5.844230348,2.926777357,3.58783412,111.0684433,34.87660055,24.89120548,0.98630137,0.0
Oct-19,7.408021949,7.602164291,6.341800118,47.38258212,18.26056439,8.554413169,1.221912447,0.304595177,8.418330053,15.12650795,1.40321489,5.540945482,2.826340873,3.72154706,134.11294,41.64583326,25.72091233,-1.387649062,2.4
Nov-19,5.969088952,9.65637985,3.898636774,20.50400879,5.883672148,5.965766207,2.346262816,0.081643019,8.087092215,14.60384139,1.33819261,4.860643719,3.325690291,3.60243076,90.12334955,44.880098,24.89120548,-2.452023121,2.4
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.316092297,0.170087236,7.695803087,13.90617515,1.11941381,5.36542794,1.586794001,4.703572216,134.8164804,44.48154561,25.72091233,-2.533757225,2.4
Jan-20,8.833733035,8.49204686,4.129534176,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.351784142,13.89218366,1.20648735,4.86862663,1.532666954,5.312605405,150.2510449,45.07890281,25.72091233,-2.533757225,2.4
Feb-20,10.67661454,7.443089983,3.329784127,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.49467858,12.6241648,1.82113008,3.807055122,1.214817723,3.372421496,152.6364659,40.21178875,23.23179178,-2.288554913,0.0
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-2.533757225,0.0
Apr-20,12.47490709,4.945659625,2.32503486,59.66298734,1.4916887,5.06824327,0.376279586,0.584283647,7.27430472,13.20570156,1.80754407,6.31703242,5.909524092,3.42750635,124.8706973,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,-0.2581451,67.54780191,17.43287986,3.107817461,19.15729702,0.622402452,7.811958017,8.648116368,2.56261135,5.81375169,9.43358396,3.71132551,162.7051312,29.13981067,18.9210411,0.0,0.0
Jun-20,7.635731452,3.974228908,2.61787748,74.35305776,0.525368486,7.042434361,16.52009904,0.206257019,8.728549561,6.816322034,1.83785359,4.7978092,3.84349004,3.89613438,142.7952133,30.53097181,18.31068493,0.0,0.0
