Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Mar-19,0.215763367,4.426823481,5.052728475,23.32458662,30.82923852,31.55677467,6.517999894,0.104437587,8.215331714,11.54459979,1.32010499,6.036476657,12.58089077,5.32283393,147.0485905,41.18329294,16.09452055,1.273972603,0.0
Apr-19,-0.799302361,4.682104954,3.757880631,16.78886746,17.33397683,4.10467585,5.228571426,0.26770067,8.64196288,9.689274718,1.4557327,5.90649694,3.108903372,3.62743881,83.79428488,38.22659295,24.89120548,0.98630137,0.0
May-19,-0.00041649,4.844755061,3.951591694,14.77832478,0.368023236,6.008949981,2.415984044,0.147089854,7.383980519,10.98970279,1.51450896,6.70274245,1.717589813,3.593600498,64.4164272,36.73272839,25.72091233,1.019178082,0.0
Jun-19,2.161700314,4.636289996,4.628765121,43.25819281,0.142384265,1.109221359,1.351087146,0.714147144,7.61959487,10.29243617,1.43946411,6.08258236,2.178160164,3.23797422,88.85200005,34.05321869,24.89120548,0.98630137,0.0
Jul-19,-0.361219963,4.392274228,4.377774192,23.97946034,1.576607742,3.207615697,2.445267697,0.103470228,7.624817673,10.14063564,1.25004219,5.65550386,2.894748186,3.84607255,71.13307026,35.62080484,25.72091233,1.019178082,0.0
Aug-19,2.364457702,6.299960779,4.34839419,41.74072359,1.759033133,11.57870068,1.934083127,1.420734911,6.910523407,13.97597614,2.15212127,5.679899977,5.318728516,3.42107205,108.9044095,33.98003341,25.72091233,1.019178082,0.0
Sep-19,2.52478751,7.37330577,3.749739362,34.10561892,10.526843,9.779006677,2.911031176,2.030727987,8.239250964,15.92533631,1.49788392,5.844230348,2.961718444,3.58783412,111.0573145,34.87660055,24.89120548,0.98630137,0.0
Oct-19,7.408021949,7.602164291,6.267855088,47.38258212,18.26056439,8.554413169,1.221912447,0.304595177,8.418330053,15.11414971,1.40321489,5.540945482,2.908846916,3.62133706,134.0089327,41.64583326,25.72091233,-1.387649062,2.4
Nov-19,5.969088952,9.65637985,3.876880084,20.50400879,5.883672148,5.965766207,2.318874016,0.081643019,7.733919595,14.56020573,1.33819261,4.860643719,3.406932178,3.49084726,89.64705417,44.880098,24.89120548,-2.452023121,2.4
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.287790537,0.170087236,7.249620757,13.78067018,1.11941381,5.36542794,1.59908375,3.654373446,133.1795823,44.48154561,25.72091233,-2.533757225,2.4
Jan-20,8.833733035,8.49204686,4.125383456,33.00837573,22.70440624,36.37498869,2.086191497,0.429112719,7.257674202,13.75702516,1.20648735,4.86862663,1.526930373,3.660662195,148.3316441,45.07890281,25.72091233,-2.533757225,2.4
Feb-20,10.67622345,7.443471546,3.234816257,21.803573,17.89889526,57.76638001,2.079868974,0.275789122,5.260798709,12.63414892,1.70719574,3.74869027,0.507645198,3.3365761,148.3740726,40.21178875,23.23179178,-2.288554913,2.4
