Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Nov-19,5.969088952,9.65637985,3.898636774,20.50400879,5.883672148,5.965766207,2.346262816,0.081643019,8.087092215,14.60384139,1.33819261,4.860643719,3.325690291,3.60243076,90.12334955,44.880098,24.89120548,-3.169154521,2.4
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.316092297,0.170087236,7.695803087,13.90617515,1.11941381,5.36542794,1.586794001,4.703572216,134.8164804,44.48154561,25.72091233,-3.274793005,2.4
Jan-20,8.833733035,8.49204686,4.129534176,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.351784142,13.89218366,1.20648735,4.86862663,1.532666954,5.312605405,150.2510449,45.07890281,25.72091233,-3.274793005,2.4
Feb-20,10.67661454,7.443089983,3.329784127,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.49467858,12.6241648,1.82113008,3.807055122,1.214817723,3.372421496,152.6364659,40.21178875,23.23179178,-2.981781933,0.0
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-3.274793005,0.0
Apr-20,12.47490709,4.945659625,2.36237184,59.37209822,1.4916887,5.06824327,0.586396649,0.584283647,7.39104748,13.28477764,1.89991576,6.33861467,6.575772052,3.53645192,125.9122286,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,3.8865443,67.52262823,17.43287986,3.107817461,18.98416639,0.622402452,7.755649597,8.694254838,2.63415965,5.83960342,5.54106794,3.81930967,162.9542145,29.13981067,18.9210411,0.0,0.0
Jun-20,7.63347279,3.752765952,2.93537713,74.63017731,0.525368486,5.68175167,13.72719033,0.216292208,8.733091895,7.029132373,1.83438343,4.82407476,4.04293417,3.62355609,139.1895686,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.127988556,3.1330329,69.37954723,0.507914966,7.909918062,21.76464277,0.172425853,7.063122879,8.128611772,2.45797819,4.648980795,1.955392512,3.427589461,139.421559,33.09527572,18.9210411,0.0,0.0
Aug-20,6.805479684,4.832442835,2.7223342,41.86042167,0.602101152,13.11254771,22.31616753,0.502974483,8.514938869,7.210798036,1.89870715,4.656618665,2.647044349,3.328288,121.0108643,33.4138163,18.9210411,0.0,0.0
Sep-20,8.458612889,8.729130508,2.331650673,43.05356387,10.75124065,19.00221667,17.92666683,0.546948464,8.598302322,8.254573544,1.9374665,3.99699142,1.986720669,8.726858666,144.3009437,34.52607672,18.31068493,0.0,0.0
Oct-20,10.88096507,11.07172318,2.95382082,59.51275747,7.950651424,17.2957812,0.70134824,0.516081836,9.273174613,12.77969117,1.5198231,4.45358058,3.484979275,7.06069335,149.4550713,39.56064793,18.9210411,0.0,0.0
