Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,BSUoS Cost Recovery £m,ALoMCP £m,CMP345/350 Deferred Costs £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Apr-22,9.6,123.2,1.9,68.5,15.5,180.3,4.0,403.0,31.5,0.0,1.1,0.0,2.9,40.0
May-22,9.8,123.4,1.9,62.7,16.2,190.2,4.0,408.2,32.6,0.0,1.1,0.0,3.0,37.9
Jun-22,9.7,121.3,1.9,62.1,13.4,186.5,6.0,400.9,31.5,0.0,1.1,0.0,2.9,35.7
Jul-22,9.7,119.8,1.9,55.8,14.7,186.9,5.0,393.8,32.6,0.0,1.1,0.0,3.0,36.4
Aug-22,9.8,116.5,1.9,48.8,15.1,200.8,5.0,397.9,32.6,0.0,1.1,0.0,3.0,36.7
Sep-22,10.0,111.7,1.9,41.5,16.3,200.8,4.0,386.2,31.5,0.0,1.1,0.0,2.9,38.2
Oct-22,,,,,,,,381.3,32.6,0.0,0.0,0.0,3.0,40.7
Nov-22,,,,,,,,350.9,31.5,0.0,0.0,0.0,2.9,48.8
Dec-22,,,,,,,,334.9,32.6,0.0,0.0,0.0,3.0,49.7
Jan-23,,,,,,,,292.4,32.6,0.0,0.0,0.0,3.0,53.7
Feb-23,,,,,,,,305.3,29.4,0.0,0.0,0.0,2.7,44.7
Mar-23,,,,,,,,296.2,32.6,0.0,0.0,0.0,3.0,46.0
Apr-23,,,,,,,,285.6,25.6,0.0,0.0,0.0,0.0,40.0
May-23,,,,,,,,294.0,26.5,0.0,0.0,0.0,0.0,37.9
Jun-23,,,,,,,,285.3,25.6,0.0,0.0,0.0,0.0,35.7
Jul-23,,,,,,,,269.7,26.5,0.0,0.0,0.0,0.0,36.4
Aug-23,,,,,,,,293.5,26.5,0.0,0.0,0.0,0.0,36.7
Sep-23,,,,,,,,316.4,25.6,0.0,0.0,0.0,0.0,38.2
Oct-23,,,,,,,,328.7,26.5,0.0,0.0,0.0,0.0,40.7
Nov-23,,,,,,,,292.6,25.6,0.0,0.0,0.0,0.0,48.8
Dec-23,,,,,,,,316.5,26.5,0.0,0.0,0.0,0.0,49.7
Jan-24,,,,,,,,266.2,26.5,0.0,0.0,0.0,0.0,53.7
Feb-24,,,,,,,,269.9,24.8,0.0,0.0,0.0,0.0,44.7
Mar-24,,,,,,,,277.0,26.5,0.0,0.0,0.0,0.0,46.0
,,,,,,,,,,,,,,
